date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2018-05-28,ADBL,330.0,347.0,328.0,340.0,5764.0,1932420.0,,aabishkar2_nepse_data,0.7
2018-05-28,AHPC,158.0,170.0,158.0,170.0,2865.0,475365.0,,aabishkar2_nepse_data,0.7
2018-05-28,AKPL,299.0,315.0,295.0,315.0,1667.0,517225.0,,aabishkar2_nepse_data,0.7
2018-05-28,ALICL,761.0,790.0,760.0,790.0,326.0,248220.0,,aabishkar2_nepse_data,0.7
2018-05-28,API,304.0,328.0,295.0,328.0,7004.0,2183501.0,,aabishkar2_nepse_data,0.7
2018-05-28,BARUN,156.0,163.0,156.0,163.0,7168.0,1154932.0,,aabishkar2_nepse_data,0.7
2018-05-28,BFC,128.0,128.0,128.0,128.0,100.0,12800.0,,aabishkar2_nepse_data,0.7
2018-05-28,BOKL,320.0,330.0,320.0,330.0,10704.0,3489939.0,,aabishkar2_nepse_data,0.7
2018-05-28,BPCL,467.0,480.0,460.0,470.0,12320.0,5759051.0,,aabishkar2_nepse_data,0.7
2018-05-28,CBL,162.0,168.0,160.0,168.0,23298.0,3810947.0,,aabishkar2_nepse_data,0.7
2018-05-28,CCBL,178.0,186.0,177.0,186.0,11350.0,2064803.0,,aabishkar2_nepse_data,0.7
2018-05-28,CFCL,122.0,122.0,122.0,122.0,656.0,80032.0,,aabishkar2_nepse_data,0.7
2018-05-28,CHCL,820.0,851.0,815.0,841.0,10230.0,8527914.0,,aabishkar2_nepse_data,0.7
2018-05-28,CHL,144.0,149.0,144.0,149.0,74.0,10826.0,,aabishkar2_nepse_data,0.7
2018-05-28,CIT,2704.0,2735.0,2685.0,2735.0,2740.0,7389882.0,,aabishkar2_nepse_data,0.7
2018-05-28,CORBL,120.0,120.0,116.0,116.0,1590.0,185480.0,,aabishkar2_nepse_data,0.7
2018-05-28,CZBIL,263.0,268.0,254.0,265.0,13843.0,3621177.0,,aabishkar2_nepse_data,0.7
2018-05-28,DHPL,112.0,112.0,112.0,112.0,10.0,1120.0,,aabishkar2_nepse_data,0.7
2018-05-28,EBL,705.0,735.0,702.0,731.0,8205.0,5926852.0,,aabishkar2_nepse_data,0.7
2018-05-28,EDBL,338.0,350.0,337.0,343.0,3027.0,1042532.0,,aabishkar2_nepse_data,0.7
2018-05-28,GBBL,188.0,194.0,186.0,193.0,12556.0,2395972.0,,aabishkar2_nepse_data,0.7
2018-05-28,GBIME,300.0,311.0,300.0,311.0,48292.0,14846018.0,,aabishkar2_nepse_data,0.7
2018-05-28,GFCL,127.0,129.0,125.0,129.0,554.0,70574.0,,aabishkar2_nepse_data,0.7
2018-05-28,GLICL,950.0,990.0,948.0,985.0,4625.0,4484788.0,,aabishkar2_nepse_data,0.7
2018-05-28,GMFIL,142.0,142.0,142.0,142.0,20.0,2840.0,,aabishkar2_nepse_data,0.7
2018-05-28,GRDBL,150.0,150.0,150.0,150.0,20.0,3000.0,,aabishkar2_nepse_data,0.7
2018-05-28,GUFL,112.0,116.0,112.0,116.0,1027.0,119044.0,,aabishkar2_nepse_data,0.7
2018-05-28,HBL,595.0,609.0,589.0,607.0,5033.0,3014667.0,,aabishkar2_nepse_data,0.7
2018-05-28,HIDCL,160.0,168.0,160.0,168.0,5783.0,943616.0,,aabishkar2_nepse_data,0.7
2018-05-28,HPPL,307.0,330.0,300.0,330.0,560.0,174810.0,,aabishkar2_nepse_data,0.7
2018-05-28,ICFC,184.0,189.0,182.0,189.0,5054.0,936985.0,,aabishkar2_nepse_data,0.7
2018-05-28,JBBL,142.0,149.0,142.0,149.0,4207.0,610995.0,,aabishkar2_nepse_data,0.7
2018-05-28,JFL,178.0,184.0,178.0,181.0,1677.0,302620.0,,aabishkar2_nepse_data,0.7
2018-05-28,KBL,234.0,241.0,233.0,241.0,17685.0,4191645.0,,aabishkar2_nepse_data,0.7
2018-05-28,KKHC,113.0,113.0,110.0,113.0,584.0,64460.0,,aabishkar2_nepse_data,0.7
2018-05-28,KRBL,115.0,123.0,115.0,123.0,318.0,37948.0,,aabishkar2_nepse_data,0.7
2018-05-28,KSBBL,160.0,166.0,158.0,165.0,17792.0,2844904.0,,aabishkar2_nepse_data,0.7
2018-05-28,LBBL,153.0,161.0,153.0,160.0,5114.0,815410.0,,aabishkar2_nepse_data,0.7
2018-05-28,LBL,264.0,278.0,263.0,278.0,10279.0,2806252.0,,aabishkar2_nepse_data,0.7
2018-05-28,LICN,1700.0,1773.0,1700.0,1773.0,1682.0,2952021.0,,aabishkar2_nepse_data,0.7
2018-05-28,MBL,222.0,236.0,222.0,234.0,11142.0,2562879.0,,aabishkar2_nepse_data,0.7
2018-05-28,MDB,295.0,315.0,295.0,315.0,4525.0,1407720.0,,aabishkar2_nepse_data,0.7
2018-05-28,MEGA,306.0,306.0,281.0,281.0,425.0,120105.0,,aabishkar2_nepse_data,0.7
2018-05-28,MFIL,122.0,131.0,122.0,131.0,4804.0,612745.0,,aabishkar2_nepse_data,0.7
2018-05-28,MLBL,175.0,183.0,175.0,181.0,49155.0,8648453.0,,aabishkar2_nepse_data,0.7
2018-05-28,MNBBL,395.0,418.0,395.0,418.0,8937.0,3611752.0,,aabishkar2_nepse_data,0.7
2018-05-28,NABIL,989.0,1012.0,985.0,1012.0,4170.0,4168432.0,,aabishkar2_nepse_data,0.7
2018-05-28,NBB,224.0,238.0,224.0,235.0,18737.0,4334700.0,,aabishkar2_nepse_data,0.7
2018-05-28,NBL,324.0,338.0,322.0,338.0,48262.0,15895332.0,,aabishkar2_nepse_data,0.7
2018-05-28,NCCB,254.0,268.0,254.0,268.0,6715.0,1751594.0,,aabishkar2_nepse_data,0.7
2018-05-28,NGPL,190.0,198.0,189.0,198.0,123.0,23568.0,,aabishkar2_nepse_data,0.7
2018-05-28,NHDL,177.0,177.0,174.0,175.0,150.0,26380.0,,aabishkar2_nepse_data,0.7
2018-05-28,NHPC,89.0,92.0,89.0,92.0,16200.0,1470160.0,,aabishkar2_nepse_data,0.7
2018-05-28,NIB,645.0,659.0,634.0,656.0,17293.0,11175770.0,,aabishkar2_nepse_data,0.7
2018-05-28,NICA,328.0,341.0,328.0,333.0,5608.0,1874106.0,,aabishkar2_nepse_data,0.7
2018-05-28,NLIC,1110.0,1155.0,1110.0,1150.0,9520.0,10795588.0,,aabishkar2_nepse_data,0.7
2018-05-28,NLICL,1355.0,1400.0,1350.0,1385.0,4367.0,5993198.0,,aabishkar2_nepse_data,0.7
2018-05-28,NMB,430.0,452.0,430.0,444.0,12893.0,5684770.0,,aabishkar2_nepse_data,0.7
2018-05-28,OHL,553.0,589.0,553.0,589.0,4598.0,2609417.0,,aabishkar2_nepse_data,0.7
2018-05-28,PCBL,307.0,319.0,306.0,319.0,13139.0,4130701.0,,aabishkar2_nepse_data,0.7
2018-05-28,PFL,154.0,156.0,150.0,155.0,2820.0,431738.0,,aabishkar2_nepse_data,0.7
2018-05-28,PLIC,645.0,682.0,645.0,682.0,2329.0,1543568.0,,aabishkar2_nepse_data,0.7
2018-05-28,PROFL,161.0,161.0,161.0,161.0,100.0,16100.0,,aabishkar2_nepse_data,0.7
2018-05-28,PRVU,207.0,219.0,206.0,219.0,34862.0,7335365.0,,aabishkar2_nepse_data,0.7
2018-05-28,RADHI,226.0,237.0,223.0,233.0,1020.0,234620.0,,aabishkar2_nepse_data,0.7
2018-05-28,RHPC,126.0,130.0,126.0,130.0,1019.0,132332.0,,aabishkar2_nepse_data,0.7
2018-05-28,RLFL,123.0,125.0,123.0,124.0,589.0,73029.0,,aabishkar2_nepse_data,0.7
2018-05-28,SADBL,164.0,179.0,164.0,175.0,8215.0,1414061.0,,aabishkar2_nepse_data,0.7
2018-05-28,SANIMA,342.0,354.0,342.0,354.0,14440.0,5033432.0,,aabishkar2_nepse_data,0.7
2018-05-28,SBI,520.0,538.0,515.0,533.0,12777.0,6682189.0,,aabishkar2_nepse_data,0.7
2018-05-28,SBL,316.0,331.0,315.0,329.0,12862.0,4202292.0,,aabishkar2_nepse_data,0.7
2018-05-28,SCB,800.0,830.0,798.0,817.0,12843.0,10335874.0,,aabishkar2_nepse_data,0.7
2018-05-28,SFCL,109.0,110.0,109.0,110.0,200.0,21900.0,,aabishkar2_nepse_data,0.7
2018-05-28,SHINE,295.0,302.0,295.0,302.0,1077.0,320783.0,,aabishkar2_nepse_data,0.7
2018-05-28,SHL,253.0,268.0,251.0,268.0,3018.0,783276.0,,aabishkar2_nepse_data,0.7
2018-05-28,SHPC,360.0,374.0,358.0,374.0,27806.0,10295928.0,,aabishkar2_nepse_data,0.7
2018-05-28,SIFC,223.0,224.0,220.0,224.0,1000.0,221500.0,,aabishkar2_nepse_data,0.7
2018-05-28,SINDU,136.0,143.0,135.0,143.0,946.0,130774.0,,aabishkar2_nepse_data,0.7
2018-05-28,SLICL,705.0,723.0,701.0,723.0,1695.0,1201130.0,,aabishkar2_nepse_data,0.7
2018-05-28,SPDL,131.0,137.0,131.0,135.0,590.0,78934.0,,aabishkar2_nepse_data,0.7
2018-05-28,SRBL,235.0,246.0,233.0,246.0,9318.0,2242797.0,,aabishkar2_nepse_data,0.7
2018-05-28,TRH,270.0,284.0,270.0,284.0,990.0,280370.0,,aabishkar2_nepse_data,0.7
2018-05-28,UMHL,183.0,191.0,183.0,191.0,421.0,79700.0,,aabishkar2_nepse_data,0.7
