date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2025-11-09,ADBL,318.0,318.8,312.0,315.0,,,121484.0,38117064.4,,aabishkar2_nepse_data,0.7
2025-11-09,AHPC,282.5,287.0,280.0,282.0,,,109890.0,30994852.0,,aabishkar2_nepse_data,0.7
2025-11-09,AKJCL,188.0,192.0,187.0,187.0,,,37217.0,7033841.8,,aabishkar2_nepse_data,0.7
2025-11-09,AKPL,247.0,248.0,241.0,244.0,,,90609.0,22088977.7,,aabishkar2_nepse_data,0.7
2025-11-09,ALICL,472.0,473.8,465.7,468.2,,,17031.0,7954239.3,,aabishkar2_nepse_data,0.7
2025-11-09,API,280.0,281.9,275.0,277.0,,,78651.0,21802167.8,,aabishkar2_nepse_data,0.7
2025-11-09,BARUN,337.0,337.0,328.0,328.0,,,25099.0,8286373.5,,aabishkar2_nepse_data,0.7
2025-11-09,BFC,488.0,504.0,482.6,494.1,,,45093.0,22168348.9,,aabishkar2_nepse_data,0.7
2025-11-09,BPCL,762.0,769.0,730.1,736.0,,,184087.0,136868323.6,,aabishkar2_nepse_data,0.7
2025-11-09,CFCL,495.0,506.0,486.2,492.0,,,17622.0,8674385.5,,aabishkar2_nepse_data,0.7
2025-11-09,CGH,937.3,937.3,896.0,900.0,,,35827.0,32518435.0,,aabishkar2_nepse_data,0.7
2025-11-09,CHCL,482.0,492.0,481.8,486.6,,,16590.0,8070120.6,,aabishkar2_nepse_data,0.7
2025-11-09,CHDC,2312.0,2389.9,2312.0,2335.0,,,18069.0,42233368.5,,aabishkar2_nepse_data,0.7
2025-11-09,CHL,252.8,252.8,244.3,246.0,,,23841.0,5896942.4,,aabishkar2_nepse_data,0.7
2025-11-09,CIT,1840.0,1850.0,1835.0,1840.0,,,3729.0,6861581.6,,aabishkar2_nepse_data,0.7
2025-11-09,CORBL,1740.0,1750.0,1686.6,1723.0,,,2689.0,4608351.6,,aabishkar2_nepse_data,0.7
2025-11-09,CZBIL,197.0,197.0,194.0,194.2,,,54757.0,10667404.0,,aabishkar2_nepse_data,0.7
2025-11-09,DHPL,287.7,300.0,283.2,287.0,,,4864.0,1408684.1,,aabishkar2_nepse_data,0.7
2025-11-09,EBL,630.0,632.0,625.1,628.5,,,22341.0,14050848.1,,aabishkar2_nepse_data,0.7
2025-11-09,EDBL,600.8,666.0,588.9,593.0,,,9419.0,5715411.5,,aabishkar2_nepse_data,0.7
2025-11-09,GBBL,394.2,394.2,382.2,383.0,,,20641.0,7933230.9,,aabishkar2_nepse_data,0.7
2025-11-09,GBIME,231.5,233.0,228.4,229.0,,,194076.0,44695138.9,,aabishkar2_nepse_data,0.7
2025-11-09,GFCL,605.5,607.0,595.0,599.0,,,7990.0,4806233.0,,aabishkar2_nepse_data,0.7
2025-11-09,GHL,217.3,217.3,214.1,215.0,,,33106.0,7120200.7,,aabishkar2_nepse_data,0.7
2025-11-09,GLH,262.0,262.0,254.2,254.9,,,28304.0,7269750.5,,aabishkar2_nepse_data,0.7
2025-11-09,GMFIL,470.4,470.4,454.0,462.8,,,22362.0,10323875.3,,aabishkar2_nepse_data,0.7
2025-11-09,GRDBL,1038.0,1050.0,1019.0,1039.0,,,22511.0,23063178.9,,aabishkar2_nepse_data,0.7
2025-11-09,GUFL,525.1,527.0,507.0,520.0,,,18880.0,9764031.3,,aabishkar2_nepse_data,0.7
2025-11-09,HBL,204.0,204.0,192.8,193.5,,,69290.0,13467991.5,,aabishkar2_nepse_data,0.7
2025-11-09,HDHPC,175.0,179.0,173.0,175.0,,,41795.0,7313418.4,,aabishkar2_nepse_data,0.7
2025-11-09,HIDCL,271.0,273.9,264.0,264.9,,,83521.0,22174240.4,,aabishkar2_nepse_data,0.7
2025-11-09,HPPL,493.6,493.6,461.0,464.5,,,112257.0,52762780.3,,aabishkar2_nepse_data,0.7
2025-11-09,HURJA,220.0,224.4,220.0,220.0,,,41489.0,9165571.0,,aabishkar2_nepse_data,0.7
2025-11-09,ICFC,655.0,660.0,632.0,632.0,,,21599.0,13855122.7,,aabishkar2_nepse_data,0.7
2025-11-09,JBBL,315.6,320.0,314.5,318.0,,,13115.0,4145721.5,,aabishkar2_nepse_data,0.7
2025-11-09,JFL,450.0,450.0,437.0,438.0,,,8853.0,3914394.2,,aabishkar2_nepse_data,0.7
2025-11-09,JOSHI,324.0,324.0,312.1,314.9,,,9879.0,3112648.9,,aabishkar2_nepse_data,0.7
2025-11-09,KBL,185.0,185.0,182.5,183.4,,,78332.0,14345786.3,,aabishkar2_nepse_data,0.7
2025-11-09,KKHC,251.0,251.0,237.7,245.0,,,21065.0,5132369.2,,aabishkar2_nepse_data,0.7
2025-11-09,KPCL,568.9,568.9,547.0,551.0,,,50846.0,28023130.0,,aabishkar2_nepse_data,0.7
2025-11-09,KSBBL,425.2,430.0,419.0,423.0,,,31185.0,13158175.5,,aabishkar2_nepse_data,0.7
2025-11-09,LBBL,477.1,477.1,460.0,464.0,,,196579.0,91758880.3,,aabishkar2_nepse_data,0.7
2025-11-09,LEC,199.0,202.1,196.6,197.9,,,51400.0,10212265.8,,aabishkar2_nepse_data,0.7
2025-11-09,LICN,882.7,882.7,847.0,848.0,,,11282.0,9617628.3,,aabishkar2_nepse_data,0.7
2025-11-09,MBL,215.0,215.0,210.1,210.1,,,41341.0,8733357.0,,aabishkar2_nepse_data,0.7
2025-11-09,MDB,579.0,580.0,565.0,566.0,,,17425.0,9901762.9,,aabishkar2_nepse_data,0.7
2025-11-09,MEN,634.4,659.9,634.4,640.0,,,232021.0,149134482.9,,aabishkar2_nepse_data,0.7
2025-11-09,MFIL,587.0,600.0,581.0,586.9,,,10858.0,6359767.4,,aabishkar2_nepse_data,0.7
2025-11-09,MHNL,242.6,247.4,237.0,243.9,,,13840.0,3301043.5,,aabishkar2_nepse_data,0.7
2025-11-09,MKJC,573.1,586.0,558.0,564.8,,,19190.0,10792331.7,,aabishkar2_nepse_data,0.7
2025-11-09,MLBL,380.1,382.9,376.5,379.9,,,36893.0,13981718.2,,aabishkar2_nepse_data,0.7
2025-11-09,MNBBL,364.1,364.1,353.5,353.6,,,36008.0,12773121.9,,aabishkar2_nepse_data,0.7
2025-11-09,MPFL,550.0,560.0,533.0,533.0,,,17562.0,9525927.2,,aabishkar2_nepse_data,0.7
2025-11-09,NABBC,791.0,798.8,785.1,785.1,,,24904.0,19728656.0,,aabishkar2_nepse_data,0.7
2025-11-09,NABIL,510.0,514.9,507.0,508.5,,,39600.0,20165989.7,,aabishkar2_nepse_data,0.7
2025-11-09,NBL,248.0,248.0,242.0,244.0,,,70096.0,17038904.5,,aabishkar2_nepse_data,0.7
2025-11-09,NFS,695.8,707.0,660.0,662.0,,,80662.0,54277027.2,,aabishkar2_nepse_data,0.7
2025-11-09,NGPL,380.0,381.0,372.0,374.0,,,135990.0,51001766.3,,aabishkar2_nepse_data,0.7
2025-11-09,NHDL,687.0,689.6,676.1,677.0,,,2524.0,1710198.3,,aabishkar2_nepse_data,0.7
2025-11-09,NHPC,189.2,192.0,189.2,191.0,,,26904.0,5126463.5,,aabishkar2_nepse_data,0.7
2025-11-09,NICA,320.0,320.0,315.0,316.2,,,57077.0,18076491.1,,aabishkar2_nepse_data,0.7
2025-11-09,NIFRA,269.0,269.1,264.6,265.0,,,115292.0,30715351.2,,aabishkar2_nepse_data,0.7
2025-11-09,NLIC,823.0,823.0,805.0,810.0,,,45570.0,36914021.8,,aabishkar2_nepse_data,0.7
2025-11-09,NLICL,610.0,612.0,600.0,600.0,,,12985.0,7814911.8,,aabishkar2_nepse_data,0.7
2025-11-09,NMB,238.1,240.0,235.0,235.4,,,49135.0,11652676.1,,aabishkar2_nepse_data,0.7
2025-11-09,NRN,2150.0,2150.0,2040.0,2041.0,,,105387.0,218980312.8,,aabishkar2_nepse_data,0.7
2025-11-09,NYADI,400.1,400.1,387.5,390.0,,,12935.0,5046499.3,,aabishkar2_nepse_data,0.7
2025-11-09,OHL,696.0,717.0,689.9,703.0,,,14739.0,10225503.2,,aabishkar2_nepse_data,0.7
2025-11-09,PCBL,243.0,245.0,240.0,240.1,,,64122.0,15489566.4,,aabishkar2_nepse_data,0.7
2025-11-09,PFL,397.0,397.0,387.0,390.0,,,3479.0,1355943.6,,aabishkar2_nepse_data,0.7
2025-11-09,PMHPL,332.1,332.1,317.0,321.0,,,56530.0,18222723.8,,aabishkar2_nepse_data,0.7
2025-11-09,PPCL,323.4,328.8,315.7,317.0,,,18341.0,5864350.7,,aabishkar2_nepse_data,0.7
2025-11-09,PROFL,482.0,487.0,471.0,479.0,,,10647.0,5073389.8,,aabishkar2_nepse_data,0.7
2025-11-09,PRVU,198.0,198.0,195.0,195.5,,,104188.0,20442271.7,,aabishkar2_nepse_data,0.7
2025-11-09,RADHI,807.8,807.8,775.1,777.0,,,277297.0,216941339.7,,aabishkar2_nepse_data,0.7
2025-11-09,RHPL,265.0,269.0,264.0,266.0,,,14975.0,3985393.0,,aabishkar2_nepse_data,0.7
2025-11-09,RLFL,446.0,446.2,436.0,438.0,,,27575.0,12094842.3,,aabishkar2_nepse_data,0.7
2025-11-09,RURU,740.0,830.0,740.0,830.0,,,29757.0,22433037.3,,aabishkar2_nepse_data,0.7
2025-11-09,SADBL,405.0,405.0,395.0,396.9,,,43017.0,17081256.3,,aabishkar2_nepse_data,0.7
2025-11-09,SAHAS,660.0,664.9,656.0,660.0,,,127890.0,84199643.9,,aabishkar2_nepse_data,0.7
2025-11-09,SANIMA,314.0,319.9,308.7,309.0,,,108962.0,33847628.5,,aabishkar2_nepse_data,0.7
2025-11-09,SAPDBL,812.8,813.0,795.1,797.1,,,33102.0,26575848.7,,aabishkar2_nepse_data,0.7
2025-11-09,SBI,403.0,403.0,392.0,399.0,,,32720.0,13046696.3,,aabishkar2_nepse_data,0.7
2025-11-09,SBL,339.0,339.0,331.5,335.0,,,54931.0,18312473.4,,aabishkar2_nepse_data,0.7
2025-11-09,SCB,644.0,644.0,634.5,636.0,,,29856.0,18997594.1,,aabishkar2_nepse_data,0.7
2025-11-09,SFCL,418.5,422.0,402.0,402.0,,,22224.0,9052757.6,,aabishkar2_nepse_data,0.7
2025-11-09,SHEL,287.0,291.0,284.0,284.0,,,128140.0,36656783.7,,aabishkar2_nepse_data,0.7
2025-11-09,SHINE,415.0,418.0,407.0,408.0,,,26268.0,10761823.0,,aabishkar2_nepse_data,0.7
2025-11-09,SHL,545.0,545.0,535.0,540.0,,,35370.0,19097279.8,,aabishkar2_nepse_data,0.7
2025-11-09,SHPC,504.1,504.1,495.1,497.1,,,59964.0,29927507.8,,aabishkar2_nepse_data,0.7
2025-11-09,SIFC,507.0,507.0,488.7,489.0,,,9045.0,4451802.6,,aabishkar2_nepse_data,0.7
