date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2018-12-25,AKJCL,102.0,102.0,98.0,101.0,590.0,58880.0,,aabishkar2_nepse_data,0.7
2018-12-26,AKJCL,100.0,102.0,100.0,101.0,390.0,39490.0,,aabishkar2_nepse_data,0.7
2018-12-27,AKJCL,100.0,102.0,99.0,99.0,840.0,84240.0,,aabishkar2_nepse_data,0.7
2018-12-30,AKJCL,100.0,100.0,98.0,99.0,420.0,41400.0,,aabishkar2_nepse_data,0.7
2018-12-31,AKJCL,99.0,100.0,98.0,99.0,1270.0,126090.0,,aabishkar2_nepse_data,0.7
2019-01-01,AKJCL,98.0,98.0,96.0,97.0,1030.0,100150.0,,aabishkar2_nepse_data,0.7
2019-01-02,AKJCL,96.0,96.0,95.0,96.0,570.0,54690.0,,aabishkar2_nepse_data,0.7
2019-01-03,AKJCL,95.0,96.0,93.0,93.0,760.0,71540.0,,aabishkar2_nepse_data,0.7
2019-01-06,AKJCL,94.0,95.0,92.0,95.0,2540.0,237220.0,,aabishkar2_nepse_data,0.7
2019-01-07,AKJCL,94.0,94.0,90.0,91.0,1770.0,161160.0,,aabishkar2_nepse_data,0.7
2019-01-08,AKJCL,90.0,95.0,89.0,95.0,1560.0,142000.0,,aabishkar2_nepse_data,0.7
2019-01-09,AKJCL,94.0,95.0,92.0,94.0,1186.0,110724.0,,aabishkar2_nepse_data,0.7
2019-01-10,AKJCL,95.0,95.0,92.0,94.0,1480.0,138550.0,,aabishkar2_nepse_data,0.7
2019-01-13,AKJCL,93.0,93.0,88.0,90.0,1170.0,107100.0,,aabishkar2_nepse_data,0.7
2019-01-14,AKJCL,90.0,91.0,89.0,89.0,1280.0,115446.0,,aabishkar2_nepse_data,0.7
2019-01-15,AKJCL,89.0,92.0,89.0,92.0,2000.0,181410.0,,aabishkar2_nepse_data,0.7
2019-01-16,AKJCL,91.0,91.0,90.0,91.0,470.0,42560.0,,aabishkar2_nepse_data,0.7
2019-01-17,AKJCL,90.0,91.0,89.0,89.0,1120.0,100610.0,,aabishkar2_nepse_data,0.7
2019-01-20,AKJCL,89.0,89.0,86.0,87.0,120.0,10470.0,,aabishkar2_nepse_data,0.7
2019-01-21,AKJCL,86.0,87.0,79.0,81.0,1570.0,130240.0,,aabishkar2_nepse_data,0.7
2019-01-22,AKJCL,80.0,82.0,79.0,80.0,1080.0,86530.0,,aabishkar2_nepse_data,0.7
2019-01-23,AKJCL,80.0,86.0,80.0,86.0,620.0,51730.0,,aabishkar2_nepse_data,0.7
2019-01-24,AKJCL,85.0,86.0,83.0,86.0,911.0,76784.0,,aabishkar2_nepse_data,0.7
2019-01-27,AKJCL,86.0,88.0,84.0,86.0,1230.0,106280.0,,aabishkar2_nepse_data,0.7
2019-01-28,AKJCL,85.0,86.0,83.0,84.0,500.0,42300.0,,aabishkar2_nepse_data,0.7
2019-01-29,AKJCL,83.0,85.0,82.0,84.0,999.0,82628.0,,aabishkar2_nepse_data,0.7
2019-01-30,AKJCL,83.0,86.0,83.0,84.0,1130.0,96130.0,,aabishkar2_nepse_data,0.7
2019-01-31,AKJCL,84.0,86.0,84.0,85.0,1080.0,91970.0,,aabishkar2_nepse_data,0.7
2019-02-03,AKJCL,84.0,85.0,83.0,85.0,779.0,65726.0,,aabishkar2_nepse_data,0.7
2019-02-04,AKJCL,84.0,84.0,78.0,81.0,610.0,49780.0,,aabishkar2_nepse_data,0.7
2019-02-05,AKJCL,80.0,85.0,80.0,85.0,400.0,33200.0,,aabishkar2_nepse_data,0.7
2019-02-06,AKJCL,85.0,85.0,84.0,84.0,780.0,66140.0,,aabishkar2_nepse_data,0.7
2019-02-07,AKJCL,84.0,85.0,81.0,83.0,1050.0,87650.0,,aabishkar2_nepse_data,0.7
2019-02-10,AKJCL,84.0,85.0,81.0,82.0,990.0,82380.0,,aabishkar2_nepse_data,0.7
2019-02-11,AKJCL,81.0,83.0,80.0,81.0,670.0,54760.0,,aabishkar2_nepse_data,0.7
2019-02-12,AKJCL,81.0,84.0,81.0,84.0,510.0,41950.0,,aabishkar2_nepse_data,0.7
2019-02-13,AKJCL,83.0,83.0,80.0,82.0,770.0,62820.0,,aabishkar2_nepse_data,0.7
2019-02-14,AKJCL,82.0,85.0,81.0,81.0,710.0,58180.0,,aabishkar2_nepse_data,0.7
