date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2014-06-18,CCBL,336.0,338.0,320.0,323.0,34780.0,11519897.0,,aabishkar2_nepse_data,0.7
2014-06-19,CCBL,323.0,320.0,308.0,308.0,38719.0,12111033.0,,aabishkar2_nepse_data,0.7
2014-06-23,CCBL,308.0,314.0,303.0,310.0,19638.0,6001845.0,,aabishkar2_nepse_data,0.7
2014-06-24,CCBL,310.0,325.0,298.0,314.0,28200.0,8757127.0,,aabishkar2_nepse_data,0.7
2014-06-25,CCBL,314.0,320.0,310.0,311.0,27323.0,8588877.0,,aabishkar2_nepse_data,0.7
2014-06-26,CCBL,311.0,326.0,307.0,320.0,34601.0,10866630.0,,aabishkar2_nepse_data,0.7
2014-06-29,CCBL,320.0,326.0,315.0,320.0,28891.0,9244631.0,,aabishkar2_nepse_data,0.7
2014-06-30,CCBL,320.0,319.0,314.0,318.0,26483.0,8355000.0,,aabishkar2_nepse_data,0.7
2014-07-01,CCBL,318.0,320.0,310.0,317.0,18947.0,5986501.0,,aabishkar2_nepse_data,0.7
2014-07-02,CCBL,317.0,317.0,312.0,316.0,28593.0,9006144.0,,aabishkar2_nepse_data,0.7
2014-07-03,CCBL,316.0,320.0,312.0,316.0,23235.0,7336948.0,,aabishkar2_nepse_data,0.7
2014-07-06,CCBL,316.0,320.0,310.0,319.0,35908.0,11345629.0,,aabishkar2_nepse_data,0.7
2014-07-07,CCBL,319.0,329.0,314.0,327.0,40097.0,12988091.0,,aabishkar2_nepse_data,0.7
2014-07-08,CCBL,327.0,339.0,324.0,332.0,29840.0,9919199.0,,aabishkar2_nepse_data,0.7
2014-07-09,CCBL,332.0,333.0,326.0,326.0,22179.0,7303807.0,,aabishkar2_nepse_data,0.7
2014-07-10,CCBL,326.0,340.0,320.0,335.0,17900.0,5884010.0,,aabishkar2_nepse_data,0.7
2014-07-13,CCBL,335.0,358.0,335.0,340.0,48036.0,16464867.0,,aabishkar2_nepse_data,0.7
2014-07-14,CCBL,340.0,342.0,328.0,332.0,18449.0,6187381.0,,aabishkar2_nepse_data,0.7
2014-07-15,CCBL,332.0,334.0,324.0,329.0,22616.0,7433477.0,,aabishkar2_nepse_data,0.7
2014-07-16,CCBL,329.0,340.0,328.0,331.0,22560.0,7535735.0,,aabishkar2_nepse_data,0.7
2014-07-17,CCBL,331.0,340.0,328.0,340.0,20556.0,6898570.0,,aabishkar2_nepse_data,0.7
2014-07-20,CCBL,340.0,351.0,340.0,349.0,40194.0,13960644.0,,aabishkar2_nepse_data,0.7
2014-07-21,CCBL,349.0,382.0,349.0,360.0,39296.0,14169286.0,,aabishkar2_nepse_data,0.7
2014-07-22,CCBL,360.0,364.0,351.0,364.0,29289.0,10406807.0,,aabishkar2_nepse_data,0.7
2014-07-23,CCBL,364.0,372.0,354.0,370.0,31024.0,11353450.0,,aabishkar2_nepse_data,0.7
2014-07-24,CCBL,370.0,375.0,366.0,370.0,29450.0,10895335.0,,aabishkar2_nepse_data,0.7
2014-07-27,CCBL,370.0,371.0,357.0,364.0,16924.0,6136455.0,,aabishkar2_nepse_data,0.7
2014-07-28,CCBL,364.0,365.0,350.0,355.0,8857.0,3151361.0,,aabishkar2_nepse_data,0.7
2014-07-30,CCBL,355.0,360.0,345.0,352.0,26602.0,9351710.0,,aabishkar2_nepse_data,0.7
2014-07-31,CCBL,352.0,358.0,348.0,354.0,21923.0,7729198.0,,aabishkar2_nepse_data,0.7
2014-08-03,CCBL,354.0,352.0,340.0,343.0,11652.0,4039356.0,,aabishkar2_nepse_data,0.7
2014-08-04,CCBL,343.0,347.0,335.0,339.0,20964.0,7139237.0,,aabishkar2_nepse_data,0.7
2014-08-05,CCBL,339.0,346.0,335.0,346.0,18455.0,6304970.0,,aabishkar2_nepse_data,0.7
2014-08-06,CCBL,346.0,346.0,331.0,336.0,16391.0,5530666.0,,aabishkar2_nepse_data,0.7
2014-08-07,CCBL,336.0,349.0,326.0,338.0,23218.0,7791096.0,,aabishkar2_nepse_data,0.7
2014-08-12,CCBL,338.0,334.0,326.0,329.0,4335.0,1431771.0,,aabishkar2_nepse_data,0.7
2014-08-13,CCBL,329.0,340.0,315.0,330.0,19453.0,6356155.0,,aabishkar2_nepse_data,0.7
2014-08-14,CCBL,330.0,335.0,324.0,330.0,10462.0,3453121.0,,aabishkar2_nepse_data,0.7
2014-08-18,CCBL,330.0,330.0,311.0,318.0,13306.0,4259491.0,,aabishkar2_nepse_data,0.7
2014-08-19,CCBL,318.0,332.0,318.0,325.0,18825.0,6131712.0,,aabishkar2_nepse_data,0.7
2014-08-20,CCBL,325.0,325.0,312.0,315.0,10831.0,3420412.0,,aabishkar2_nepse_data,0.7
2014-08-21,CCBL,315.0,325.0,300.0,325.0,20477.0,6443973.0,,aabishkar2_nepse_data,0.7
2014-08-24,CCBL,325.0,326.0,310.0,315.0,10161.0,3225487.0,,aabishkar2_nepse_data,0.7
2014-08-25,CCBL,315.0,310.0,296.0,304.0,18445.0,5583055.0,,aabishkar2_nepse_data,0.7
2014-08-26,CCBL,304.0,327.0,300.0,300.0,13485.0,4173405.0,,aabishkar2_nepse_data,0.7
2014-08-27,CCBL,300.0,320.0,306.0,315.0,20282.0,6346578.0,,aabishkar2_nepse_data,0.7
2014-08-28,CCBL,315.0,322.0,311.0,322.0,27336.0,8633124.0,,aabishkar2_nepse_data,0.7
2014-08-31,CCBL,322.0,320.0,298.0,306.0,22503.0,6900913.0,,aabishkar2_nepse_data,0.7
2014-09-01,CCBL,306.0,309.0,297.0,302.0,9771.0,2939887.0,,aabishkar2_nepse_data,0.7
2014-09-03,CCBL,302.0,310.0,297.0,301.0,19163.0,5813435.0,,aabishkar2_nepse_data,0.7
2014-09-04,CCBL,301.0,305.0,288.0,295.0,21562.0,6371218.0,,aabishkar2_nepse_data,0.7
2014-09-07,CCBL,295.0,296.0,270.0,275.0,18002.0,5019283.0,,aabishkar2_nepse_data,0.7
2014-09-09,CCBL,275.0,302.0,275.0,302.0,10197.0,3000902.0,,aabishkar2_nepse_data,0.7
2014-09-10,CCBL,302.0,314.0,287.0,292.0,24239.0,7318029.0,,aabishkar2_nepse_data,0.7
2014-09-11,CCBL,292.0,300.0,282.0,294.0,18762.0,5428917.0,,aabishkar2_nepse_data,0.7
2014-09-14,CCBL,294.0,295.0,281.0,295.0,8866.0,2541791.0,,aabishkar2_nepse_data,0.7
2014-09-15,CCBL,295.0,295.0,285.0,289.0,8593.0,2496745.0,,aabishkar2_nepse_data,0.7
2014-09-16,CCBL,289.0,292.0,284.0,285.0,14342.0,4127915.0,,aabishkar2_nepse_data,0.7
2014-09-17,CCBL,285.0,290.0,281.0,285.0,8288.0,2363514.0,,aabishkar2_nepse_data,0.7
2014-09-18,CCBL,285.0,288.0,280.0,282.0,6925.0,1962927.0,,aabishkar2_nepse_data,0.7
2014-09-21,CCBL,282.0,286.0,265.0,270.0,9109.0,2493003.0,,aabishkar2_nepse_data,0.7
2014-09-22,CCBL,270.0,277.0,269.0,276.0,12823.0,3498776.0,,aabishkar2_nepse_data,0.7
2014-09-23,CCBL,276.0,286.0,266.0,285.0,9922.0,2783322.0,,aabishkar2_nepse_data,0.7
2014-09-24,CCBL,285.0,290.0,278.0,287.0,9516.0,2717001.0,,aabishkar2_nepse_data,0.7
2014-09-28,CCBL,287.0,297.0,287.0,293.0,10129.0,2951883.0,,aabishkar2_nepse_data,0.7
2014-09-29,CCBL,293.0,304.0,288.0,301.0,7995.0,2367520.0,,aabishkar2_nepse_data,0.7
2014-09-30,CCBL,301.0,299.0,286.0,295.0,8806.0,2548918.0,,aabishkar2_nepse_data,0.7
2014-10-08,CCBL,295.0,298.0,279.0,286.0,2554.0,735220.0,,aabishkar2_nepse_data,0.7
2014-10-09,CCBL,286.0,285.0,281.0,283.0,2441.0,690944.0,,aabishkar2_nepse_data,0.7
2014-10-12,CCBL,283.0,288.0,277.0,280.0,7010.0,1965234.0,,aabishkar2_nepse_data,0.7
2014-10-13,CCBL,280.0,285.0,276.0,279.0,12047.0,3359592.0,,aabishkar2_nepse_data,0.7
2014-10-14,CCBL,279.0,283.0,276.0,278.0,17504.0,4887299.0,,aabishkar2_nepse_data,0.7
2014-10-15,CCBL,278.0,282.0,261.0,280.0,19231.0,5343466.0,,aabishkar2_nepse_data,0.7
2014-10-16,CCBL,280.0,289.0,279.0,282.0,10377.0,2954005.0,,aabishkar2_nepse_data,0.7
2014-10-19,CCBL,282.0,283.0,276.0,280.0,5854.0,1634080.0,,aabishkar2_nepse_data,0.7
2014-10-20,CCBL,280.0,290.0,264.0,285.0,9488.0,2681999.0,,aabishkar2_nepse_data,0.7
2014-10-21,CCBL,285.0,285.0,277.0,281.0,6821.0,1902874.0,,aabishkar2_nepse_data,0.7
2014-10-22,CCBL,281.0,290.0,280.0,287.0,5623.0,1608258.0,,aabishkar2_nepse_data,0.7
2014-10-26,CCBL,287.0,289.0,284.0,284.0,1452.0,418104.0,,aabishkar2_nepse_data,0.7
2014-10-27,CCBL,284.0,289.0,280.0,282.0,12057.0,3399852.0,,aabishkar2_nepse_data,0.7
2014-10-28,CCBL,282.0,285.0,280.0,285.0,7558.0,2140665.0,,aabishkar2_nepse_data,0.7
2014-10-30,CCBL,285.0,286.0,280.0,281.0,4238.0,1199763.0,,aabishkar2_nepse_data,0.7
2014-11-02,CCBL,281.0,282.0,277.0,278.0,10725.0,3005798.0,,aabishkar2_nepse_data,0.7
2014-11-03,CCBL,278.0,279.0,270.0,275.0,10222.0,2810761.0,,aabishkar2_nepse_data,0.7
2014-11-04,CCBL,275.0,276.0,265.0,270.0,9489.0,2549398.0,,aabishkar2_nepse_data,0.7
2014-11-05,CCBL,270.0,277.0,261.0,272.0,15837.0,4278428.0,,aabishkar2_nepse_data,0.7
2014-11-06,CCBL,272.0,275.0,269.0,272.0,16386.0,4427099.0,,aabishkar2_nepse_data,0.7
2014-11-09,CCBL,272.0,275.0,266.0,269.0,8400.0,2263525.0,,aabishkar2_nepse_data,0.7
2014-11-10,CCBL,269.0,269.0,255.0,260.0,21037.0,5462838.0,,aabishkar2_nepse_data,0.7
2014-11-11,CCBL,260.0,270.0,257.0,270.0,5767.0,1507421.0,,aabishkar2_nepse_data,0.7
2014-11-12,CCBL,270.0,271.0,264.0,268.0,11078.0,2953070.0,,aabishkar2_nepse_data,0.7
2014-11-13,CCBL,268.0,268.0,263.0,265.0,3351.0,889803.0,,aabishkar2_nepse_data,0.7
2014-11-16,CCBL,265.0,265.0,255.0,259.0,6544.0,1701472.0,,aabishkar2_nepse_data,0.7
2014-11-17,CCBL,259.0,268.0,245.0,253.0,4442.0,1112662.0,,aabishkar2_nepse_data,0.7
