date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2021-07-05,CHDC,625.0,669.0,620.0,654.0,51282.0,33328063.0,,aabishkar2_nepse_data,0.7
2021-07-06,CHDC,663.0,663.0,630.0,643.0,26520.0,17217690.0,,aabishkar2_nepse_data,0.7
2021-07-07,CHDC,635.0,645.0,625.0,635.0,21037.0,13344093.0,,aabishkar2_nepse_data,0.7
2021-07-08,CHDC,623.0,636.0,617.0,623.0,18339.0,11462081.0,,aabishkar2_nepse_data,0.7
2021-07-11,CHDC,610.0,644.0,610.0,635.0,30632.0,19366527.0,,aabishkar2_nepse_data,0.7
2021-07-12,CHDC,635.0,645.0,616.0,620.0,20503.0,12839503.0,,aabishkar2_nepse_data,0.7
2021-07-13,CHDC,613.0,620.0,608.0,610.0,15988.0,9810703.0,,aabishkar2_nepse_data,0.7
2021-07-14,CHDC,610.0,628.0,604.0,620.0,10935.0,6746705.0,,aabishkar2_nepse_data,0.7
2021-07-15,CHDC,620.0,630.0,611.0,619.0,12077.0,7453652.0,,aabishkar2_nepse_data,0.7
2021-07-18,CHDC,620.0,626.0,614.0,620.1,12597.0,7791193.0,,aabishkar2_nepse_data,0.7
2021-07-19,CHDC,625.0,644.0,620.0,642.0,28160.0,17844606.0,,aabishkar2_nepse_data,0.7
2021-07-20,CHDC,631.4,700.0,630.0,690.0,85932.0,58010019.2,,aabishkar2_nepse_data,0.7
2021-07-22,CHDC,700.0,759.0,690.0,759.0,105781.0,78166684.5,,aabishkar2_nepse_data,0.7
2021-07-25,CHDC,760.0,810.0,758.0,806.0,106809.0,84892159.0,,aabishkar2_nepse_data,0.7
2021-07-26,CHDC,822.1,840.0,777.0,836.0,87376.0,70532485.6,,aabishkar2_nepse_data,0.7
2021-07-27,CHDC,836.0,850.0,805.0,827.0,54095.0,44868020.5,,aabishkar2_nepse_data,0.7
2021-07-28,CHDC,816.0,830.0,785.0,817.0,48150.0,38921256.0,,aabishkar2_nepse_data,0.7
2021-07-29,CHDC,817.0,818.0,787.0,800.0,51189.0,41059604.5,,aabishkar2_nepse_data,0.7
2021-08-01,CHDC,800.0,880.0,800.0,877.0,78768.0,65684547.0,,aabishkar2_nepse_data,0.7
2021-08-02,CHDC,890.0,894.5,844.0,845.0,78313.0,67466456.0,,aabishkar2_nepse_data,0.7
2021-08-03,CHDC,845.0,912.8,835.0,912.8,65324.0,56854735.8,,aabishkar2_nepse_data,0.7
2021-08-04,CHDC,931.0,1000.0,913.0,975.0,91969.0,89763361.7,,aabishkar2_nepse_data,0.7
2021-08-05,CHDC,975.0,992.0,937.0,941.0,59129.0,56473288.0,,aabishkar2_nepse_data,0.7
