date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2008-03-26,EDBL,630.0,630.0,630.0,630.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-03-30,EDBL,630.0,630.0,630.0,630.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-03-31,EDBL,630.0,630.0,630.0,630.0,500.0,0.0,,aabishkar2_nepse_data,0.7
2008-04-01,EDBL,630.0,618.0,580.0,580.0,700.0,0.0,,aabishkar2_nepse_data,0.7
2008-04-27,EDBL,580.0,580.0,580.0,580.0,160.0,0.0,,aabishkar2_nepse_data,0.7
2008-04-29,EDBL,580.0,569.0,558.0,558.0,40.0,0.0,,aabishkar2_nepse_data,0.7
2008-04-30,EDBL,558.0,569.0,569.0,569.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-06,EDBL,569.0,558.0,558.0,558.0,120.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-08,EDBL,558.0,591.0,569.0,591.0,60.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-11,EDBL,591.0,639.0,602.0,639.0,120.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-12,EDBL,639.0,627.0,603.0,615.0,130.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-15,EDBL,615.0,651.0,627.0,651.0,70.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-18,EDBL,651.0,664.0,664.0,664.0,650.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-21,EDBL,664.0,651.0,651.0,651.0,30.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-22,EDBL,651.0,664.0,664.0,664.0,10.0,0.0,,aabishkar2_nepse_data,0.7
2008-05-25,EDBL,664.0,680.0,677.0,680.0,50.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-04,EDBL,680.0,693.0,693.0,693.0,10.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-05,EDBL,693.0,693.0,693.0,693.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-11,EDBL,693.0,680.0,680.0,680.0,200.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-17,EDBL,680.0,693.0,693.0,693.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-18,EDBL,693.0,725.0,706.0,725.0,190.0,0.0,,aabishkar2_nepse_data,0.7
2008-06-30,EDBL,725.0,797.0,739.0,797.0,200.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-02,EDBL,797.0,828.0,812.0,828.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-03,EDBL,828.0,844.0,844.0,844.0,10.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-06,EDBL,844.0,840.0,840.0,840.0,1270.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-07,EDBL,840.0,856.0,856.0,856.0,20.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-10,EDBL,856.0,839.0,823.0,823.0,120.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-17,EDBL,823.0,850.0,839.0,850.0,140.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-22,EDBL,850.0,833.0,817.0,817.0,130.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-23,EDBL,817.0,812.0,806.0,812.0,140.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-27,EDBL,812.0,816.0,800.0,816.0,240.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-30,EDBL,816.0,821.0,821.0,821.0,10.0,0.0,,aabishkar2_nepse_data,0.7
2008-07-31,EDBL,821.0,840.0,830.0,840.0,50.0,0.0,,aabishkar2_nepse_data,0.7
2008-08-05,EDBL,840.0,856.0,856.0,856.0,30.0,0.0,,aabishkar2_nepse_data,0.7
