date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2011-06-05,GBBL,132.0,134.0,128.0,128.0,,,810.0,105900.0,,aabishkar2_nepse_data,0.7
2011-06-06,GBBL,128.0,130.0,123.0,123.0,,,1990.0,255370.0,,aabishkar2_nepse_data,0.7
2011-06-07,GBBL,123.0,122.0,116.0,116.0,,,1980.0,233910.0,,aabishkar2_nepse_data,0.7
2011-06-08,GBBL,116.0,118.0,112.0,112.0,,,590.0,67160.0,,aabishkar2_nepse_data,0.7
2011-06-09,GBBL,112.0,114.0,112.0,112.0,,,60.0,6800.0,,aabishkar2_nepse_data,0.7
2011-06-12,GBBL,112.0,111.0,108.0,111.0,,,370.0,40480.0,,aabishkar2_nepse_data,0.7
2011-06-13,GBBL,111.0,110.0,106.0,106.0,,,1470.0,159890.0,,aabishkar2_nepse_data,0.7
2011-06-14,GBBL,106.0,108.0,107.0,107.0,,,620.0,66380.0,,aabishkar2_nepse_data,0.7
2011-06-15,GBBL,107.0,109.0,107.0,107.0,,,440.0,47560.0,,aabishkar2_nepse_data,0.7
2011-06-16,GBBL,107.0,113.0,106.0,113.0,,,990.0,110960.0,,aabishkar2_nepse_data,0.7
2011-06-19,GBBL,113.0,124.0,113.0,124.0,,,210.0,25180.0,,aabishkar2_nepse_data,0.7
2011-06-20,GBBL,113.0,124.0,113.0,124.0,,,210.0,25180.0,,aabishkar2_nepse_data,0.7
2011-06-21,GBBL,135.0,140.0,136.0,140.0,,,1010.0,140340.0,,aabishkar2_nepse_data,0.7
2011-06-23,GBBL,140.0,154.0,142.0,154.0,,,2890.0,436150.0,,aabishkar2_nepse_data,0.7
2011-06-26,GBBL,154.0,151.0,151.0,151.0,,,100.0,15100.0,,aabishkar2_nepse_data,0.7
2011-06-27,GBBL,151.0,148.0,146.0,146.0,,,40.0,5860.0,,aabishkar2_nepse_data,0.7
2011-06-29,GBBL,146.0,146.0,146.0,146.0,,,40.0,5840.0,,aabishkar2_nepse_data,0.7
2011-06-30,GBBL,146.0,139.0,135.0,135.0,,,1200.0,165640.0,,aabishkar2_nepse_data,0.7
2011-07-04,GBBL,135.0,129.0,129.0,129.0,,,280.0,36120.0,,aabishkar2_nepse_data,0.7
2011-07-05,GBBL,129.0,127.0,123.0,123.0,,,250.0,31250.0,,aabishkar2_nepse_data,0.7
2011-07-06,GBBL,123.0,131.0,117.0,129.0,,,850.0,105390.0,,aabishkar2_nepse_data,0.7
2011-07-07,GBBL,129.0,129.0,127.0,127.0,,,140.0,17920.0,,aabishkar2_nepse_data,0.7
2011-07-10,GBBL,127.0,125.0,123.0,125.0,,,300.0,37350.0,,aabishkar2_nepse_data,0.7
2011-07-11,GBBL,125.0,131.0,125.0,130.0,,,1010.0,128240.0,,aabishkar2_nepse_data,0.7
2011-07-12,GBBL,130.0,132.0,128.0,128.0,,,1210.0,157120.0,,aabishkar2_nepse_data,0.7
2011-07-13,GBBL,128.0,135.0,130.0,132.0,,,1260.0,165900.0,,aabishkar2_nepse_data,0.7
2011-07-14,GBBL,132.0,134.0,130.0,130.0,,,430.0,56540.0,,aabishkar2_nepse_data,0.7
2011-07-18,GBBL,130.0,136.0,132.0,134.0,,,680.0,91120.0,,aabishkar2_nepse_data,0.7
2011-07-19,GBBL,134.0,138.0,134.0,138.0,,,870.0,118120.0,,aabishkar2_nepse_data,0.7
2011-07-20,GBBL,138.0,140.0,136.0,140.0,,,630.0,87480.0,,aabishkar2_nepse_data,0.7
2011-07-21,GBBL,140.0,144.0,142.0,142.0,,,170.0,24180.0,,aabishkar2_nepse_data,0.7
2011-07-24,GBBL,142.0,142.0,134.0,134.0,,,760.0,106120.0,,aabishkar2_nepse_data,0.7
2011-07-25,GBBL,134.0,132.0,128.0,128.0,,,160.0,20840.0,,aabishkar2_nepse_data,0.7
2011-07-26,GBBL,128.0,132.0,128.0,132.0,,,990.0,129760.0,,aabishkar2_nepse_data,0.7
2011-07-27,GBBL,132.0,138.0,131.0,138.0,,,1030.0,137400.0,,aabishkar2_nepse_data,0.7
2011-07-28,GBBL,138.0,136.0,133.0,134.0,,,1080.0,145660.0,,aabishkar2_nepse_data,0.7
2011-07-31,GBBL,134.0,134.0,130.0,132.0,,,460.0,60380.0,,aabishkar2_nepse_data,0.7
2011-08-01,GBBL,132.0,141.0,132.0,140.0,,,3220.0,442180.0,,aabishkar2_nepse_data,0.7
2011-08-02,GBBL,140.0,140.0,135.0,135.0,,,1560.0,215440.0,,aabishkar2_nepse_data,0.7
2011-08-03,GBBL,135.0,136.0,132.0,136.0,,,1230.0,165850.0,,aabishkar2_nepse_data,0.7
2011-08-04,GBBL,136.0,141.0,137.0,139.0,,,2930.0,402650.0,,aabishkar2_nepse_data,0.7
2011-08-07,GBBL,139.0,140.0,135.0,136.0,,,3000.0,409140.0,,aabishkar2_nepse_data,0.7
2011-08-08,GBBL,136.0,136.0,134.0,135.0,,,4610.0,626030.0,,aabishkar2_nepse_data,0.7
2011-08-09,GBBL,135.0,136.0,134.0,136.0,,,810.0,109610.0,,aabishkar2_nepse_data,0.7
2011-08-10,GBBL,136.0,137.0,132.0,136.0,,,1260.0,169420.0,,aabishkar2_nepse_data,0.7
2011-08-11,GBBL,136.0,139.0,136.0,138.0,,,3860.0,531810.0,,aabishkar2_nepse_data,0.7
2011-08-15,GBBL,138.0,140.0,137.0,140.0,,,1950.0,271310.0,,aabishkar2_nepse_data,0.7
2011-08-16,GBBL,140.0,142.0,138.0,138.0,,,1030.0,144280.0,,aabishkar2_nepse_data,0.7
2011-08-17,GBBL,138.0,141.0,136.0,137.0,,,5710.0,787920.0,,aabishkar2_nepse_data,0.7
2011-08-18,GBBL,137.0,141.0,136.0,141.0,,,2140.0,295630.0,,aabishkar2_nepse_data,0.7
