date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2011-10-20,GLICL,129.0,127.0,119.0,119.0,290.0,34710.0,,aabishkar2_nepse_data,0.7
2011-10-23,GLICL,119.0,114.0,108.0,108.0,1130.0,122320.0,,aabishkar2_nepse_data,0.7
2011-10-24,GLICL,108.0,104.0,99.0,102.0,12310.0,1255260.0,,aabishkar2_nepse_data,0.7
2011-10-25,GLICL,102.0,103.0,100.0,101.0,11240.0,1137280.0,,aabishkar2_nepse_data,0.7
2011-10-30,GLICL,101.0,107.0,100.0,105.0,13420.0,1379730.0,,aabishkar2_nepse_data,0.7
2011-10-31,GLICL,105.0,108.0,101.0,106.0,9880.0,1041190.0,,aabishkar2_nepse_data,0.7
2011-11-02,GLICL,106.0,116.0,108.0,116.0,2440.0,281360.0,,aabishkar2_nepse_data,0.7
2011-11-03,GLICL,116.0,114.0,105.0,108.0,5160.0,558940.0,,aabishkar2_nepse_data,0.7
2011-11-06,GLICL,108.0,109.0,107.0,108.0,14960.0,1614710.0,,aabishkar2_nepse_data,0.7
2011-11-08,GLICL,108.0,109.0,106.0,108.0,11430.0,1223610.0,,aabishkar2_nepse_data,0.7
2011-11-09,GLICL,108.0,109.0,106.0,107.0,6420.0,689000.0,,aabishkar2_nepse_data,0.7
2011-11-10,GLICL,107.0,108.0,106.0,107.0,21310.0,2281040.0,,aabishkar2_nepse_data,0.7
2011-11-13,GLICL,107.0,107.0,103.0,104.0,8140.0,858560.0,,aabishkar2_nepse_data,0.7
2011-11-14,GLICL,104.0,105.0,102.0,104.0,7960.0,827220.0,,aabishkar2_nepse_data,0.7
2011-11-15,GLICL,104.0,105.0,103.0,104.0,14980.0,1556520.0,,aabishkar2_nepse_data,0.7
2011-11-16,GLICL,104.0,105.0,103.0,103.0,6740.0,700940.0,,aabishkar2_nepse_data,0.7
2011-11-17,GLICL,103.0,104.0,102.0,104.0,4240.0,438220.0,,aabishkar2_nepse_data,0.7
2011-11-20,GLICL,104.0,105.0,102.0,104.0,5770.0,598190.0,,aabishkar2_nepse_data,0.7
2011-11-21,GLICL,104.0,104.0,103.0,103.0,1560.0,161310.0,,aabishkar2_nepse_data,0.7
2011-11-22,GLICL,103.0,105.0,103.0,104.0,7740.0,809510.0,,aabishkar2_nepse_data,0.7
2011-11-23,GLICL,104.0,105.0,103.0,104.0,3910.0,408110.0,,aabishkar2_nepse_data,0.7
2011-11-24,GLICL,104.0,104.0,103.0,103.0,8410.0,868010.0,,aabishkar2_nepse_data,0.7
2011-11-27,GLICL,103.0,104.0,102.0,103.0,10440.0,1075250.0,,aabishkar2_nepse_data,0.7
2011-11-28,GLICL,103.0,104.0,101.0,101.0,4330.0,441790.0,,aabishkar2_nepse_data,0.7
2011-12-01,GLICL,102.0,102.0,100.0,102.0,3700.0,372840.0,,aabishkar2_nepse_data,0.7
2011-12-04,GLICL,102.0,102.0,100.0,101.0,2900.0,292770.0,,aabishkar2_nepse_data,0.7
2011-12-05,GLICL,101.0,102.0,101.0,101.0,4590.0,463690.0,,aabishkar2_nepse_data,0.7
2011-12-06,GLICL,101.0,102.0,100.0,101.0,3680.0,371000.0,,aabishkar2_nepse_data,0.7
2011-12-07,GLICL,101.0,101.0,99.0,99.0,4510.0,451010.0,,aabishkar2_nepse_data,0.7
2011-12-08,GLICL,99.0,101.0,98.0,99.0,3820.0,380790.0,,aabishkar2_nepse_data,0.7
2011-12-11,GLICL,99.0,100.0,98.0,98.0,4360.0,432830.0,,aabishkar2_nepse_data,0.7
2011-12-12,GLICL,98.0,102.0,98.0,99.0,13560.0,1345290.0,,aabishkar2_nepse_data,0.7
2011-12-13,GLICL,99.0,104.0,98.0,104.0,3870.0,395790.0,,aabishkar2_nepse_data,0.7
2011-12-14,GLICL,104.0,102.0,98.0,102.0,10250.0,1034520.0,,aabishkar2_nepse_data,0.7
2011-12-15,GLICL,102.0,101.0,97.0,97.0,2010.0,196970.0,,aabishkar2_nepse_data,0.7
2011-12-18,GLICL,97.0,102.0,97.0,100.0,3130.0,311620.0,,aabishkar2_nepse_data,0.7
2011-12-19,GLICL,100.0,100.0,98.0,100.0,2030.0,200350.0,,aabishkar2_nepse_data,0.7
2011-12-20,GLICL,100.0,101.0,99.0,101.0,1970.0,198010.0,,aabishkar2_nepse_data,0.7
2011-12-21,GLICL,101.0,100.0,98.0,99.0,6430.0,636590.0,,aabishkar2_nepse_data,0.7
2011-12-22,GLICL,99.0,102.0,99.0,100.0,2500.0,249650.0,,aabishkar2_nepse_data,0.7
2011-12-26,GLICL,100.0,100.0,99.0,100.0,370.0,36790.0,,aabishkar2_nepse_data,0.7
2011-12-27,GLICL,100.0,100.0,99.0,100.0,4720.0,471300.0,,aabishkar2_nepse_data,0.7
2011-12-28,GLICL,100.0,100.0,98.0,99.0,1510.0,149260.0,,aabishkar2_nepse_data,0.7
2011-12-29,GLICL,99.0,100.0,98.0,98.0,960.0,95120.0,,aabishkar2_nepse_data,0.7
2012-01-01,GLICL,98.0,101.0,98.0,99.0,7160.0,714580.0,,aabishkar2_nepse_data,0.7
2012-01-02,GLICL,99.0,102.0,99.0,102.0,4490.0,451270.0,,aabishkar2_nepse_data,0.7
2012-01-03,GLICL,102.0,103.0,99.0,99.0,1940.0,196000.0,,aabishkar2_nepse_data,0.7
2012-01-04,GLICL,99.0,100.0,97.0,99.0,2780.0,276790.0,,aabishkar2_nepse_data,0.7
2012-01-05,GLICL,99.0,99.0,97.0,99.0,3430.0,337610.0,,aabishkar2_nepse_data,0.7
2012-01-08,GLICL,99.0,99.0,97.0,97.0,6780.0,662940.0,,aabishkar2_nepse_data,0.7
2012-01-09,GLICL,97.0,99.0,97.0,98.0,4240.0,417100.0,,aabishkar2_nepse_data,0.7
2012-01-10,GLICL,99.0,99.0,97.0,97.0,2230.0,218100.0,,aabishkar2_nepse_data,0.7
2012-01-11,GLICL,97.0,97.0,97.0,97.0,550.0,53350.0,,aabishkar2_nepse_data,0.7
2012-01-12,GLICL,97.0,98.0,96.0,97.0,2330.0,226220.0,,aabishkar2_nepse_data,0.7
2012-01-16,GLICL,97.0,98.0,96.0,97.0,3690.0,358460.0,,aabishkar2_nepse_data,0.7
2012-01-17,GLICL,97.0,97.0,96.0,97.0,1890.0,181930.0,,aabishkar2_nepse_data,0.7
2012-01-18,GLICL,97.0,97.0,95.0,96.0,6870.0,659520.0,,aabishkar2_nepse_data,0.7
2012-01-19,GLICL,96.0,98.0,96.0,98.0,1890.0,183520.0,,aabishkar2_nepse_data,0.7
2012-01-22,GLICL,98.0,98.0,95.0,97.0,3840.0,367760.0,,aabishkar2_nepse_data,0.7
2012-01-23,GLICL,97.0,97.0,95.0,96.0,5240.0,505110.0,,aabishkar2_nepse_data,0.7
2012-01-25,GLICL,96.0,97.0,96.0,96.0,1960.0,188900.0,,aabishkar2_nepse_data,0.7
2012-01-26,GLICL,96.0,97.0,94.0,95.0,3330.0,316950.0,,aabishkar2_nepse_data,0.7
2012-01-29,GLICL,95.0,96.0,94.0,94.0,3900.0,369480.0,,aabishkar2_nepse_data,0.7
2012-01-31,GLICL,94.0,95.0,94.0,94.0,2780.0,261890.0,,aabishkar2_nepse_data,0.7
2012-02-01,GLICL,94.0,99.0,94.0,94.0,1300.0,124150.0,,aabishkar2_nepse_data,0.7
2012-02-02,GLICL,94.0,95.0,94.0,95.0,3180.0,301670.0,,aabishkar2_nepse_data,0.7
2012-02-05,GLICL,95.0,95.0,90.0,91.0,2700.0,250040.0,,aabishkar2_nepse_data,0.7
2012-02-06,GLICL,91.0,90.0,89.0,90.0,1900.0,169660.0,,aabishkar2_nepse_data,0.7
2012-02-07,GLICL,90.0,91.0,88.0,89.0,900.0,81250.0,,aabishkar2_nepse_data,0.7
2012-02-08,GLICL,89.0,90.0,88.0,88.0,2510.0,223060.0,,aabishkar2_nepse_data,0.7
2012-02-09,GLICL,88.0,90.0,88.0,90.0,1300.0,116530.0,,aabishkar2_nepse_data,0.7
2012-02-12,GLICL,90.0,90.0,87.0,89.0,1480.0,130980.0,,aabishkar2_nepse_data,0.7
2012-02-13,GLICL,89.0,91.0,86.0,91.0,3980.0,352420.0,,aabishkar2_nepse_data,0.7
2012-02-14,GLICL,91.0,95.0,89.0,90.0,3110.0,280790.0,,aabishkar2_nepse_data,0.7
2012-02-15,GLICL,90.0,90.0,86.0,90.0,4880.0,435520.0,,aabishkar2_nepse_data,0.7
2012-02-16,GLICL,90.0,90.0,86.0,87.0,4010.0,350830.0,,aabishkar2_nepse_data,0.7
2012-02-21,GLICL,87.0,87.0,86.0,86.0,1450.0,125680.0,,aabishkar2_nepse_data,0.7
2012-02-23,GLICL,86.0,89.0,85.0,85.0,5580.0,484740.0,,aabishkar2_nepse_data,0.7
2012-02-26,GLICL,85.0,87.0,86.0,87.0,1310.0,113410.0,,aabishkar2_nepse_data,0.7
2012-02-27,GLICL,87.0,90.0,88.0,89.0,980.0,87020.0,,aabishkar2_nepse_data,0.7
2012-02-28,GLICL,89.0,91.0,87.0,91.0,1480.0,132150.0,,aabishkar2_nepse_data,0.7
2012-02-29,GLICL,91.0,91.0,89.0,90.0,1590.0,142530.0,,aabishkar2_nepse_data,0.7
2012-03-01,GLICL,90.0,90.0,88.0,90.0,500.0,44520.0,,aabishkar2_nepse_data,0.7
2012-03-04,GLICL,90.0,91.0,89.0,89.0,1830.0,164560.0,,aabishkar2_nepse_data,0.7
2012-03-05,GLICL,89.0,91.0,89.0,89.0,1000.0,89370.0,,aabishkar2_nepse_data,0.7
2012-03-06,GLICL,89.0,90.0,89.0,89.0,1140.0,101910.0,,aabishkar2_nepse_data,0.7
2012-03-11,GLICL,89.0,88.0,87.0,87.0,500.0,43600.0,,aabishkar2_nepse_data,0.7
2012-03-12,GLICL,87.0,87.0,85.0,86.0,3000.0,257770.0,,aabishkar2_nepse_data,0.7
2012-03-13,GLICL,86.0,88.0,86.0,88.0,350.0,30480.0,,aabishkar2_nepse_data,0.7
2012-03-14,GLICL,88.0,89.0,87.0,87.0,270.0,23790.0,,aabishkar2_nepse_data,0.7
2012-03-15,GLICL,87.0,90.0,88.0,89.0,1890.0,168350.0,,aabishkar2_nepse_data,0.7
2012-03-18,GLICL,89.0,91.0,88.0,88.0,2160.0,192330.0,,aabishkar2_nepse_data,0.7
2012-03-19,GLICL,88.0,89.0,85.0,86.0,1330.0,115340.0,,aabishkar2_nepse_data,0.7
2012-03-20,GLICL,86.0,87.0,86.0,86.0,1130.0,97730.0,,aabishkar2_nepse_data,0.7
2012-03-21,GLICL,86.0,87.0,86.0,87.0,390.0,33780.0,,aabishkar2_nepse_data,0.7
2012-03-25,GLICL,87.0,88.0,85.0,87.0,1990.0,172460.0,,aabishkar2_nepse_data,0.7
2012-03-26,GLICL,87.0,88.0,84.0,87.0,1240.0,107660.0,,aabishkar2_nepse_data,0.7
2012-03-27,GLICL,87.0,88.0,87.0,88.0,1890.0,166230.0,,aabishkar2_nepse_data,0.7
2012-03-28,GLICL,88.0,88.0,88.0,88.0,1010.0,88880.0,,aabishkar2_nepse_data,0.7
2012-03-29,GLICL,88.0,88.0,86.0,86.0,1060.0,92280.0,,aabishkar2_nepse_data,0.7
2012-04-01,GLICL,86.0,86.0,86.0,86.0,420.0,36120.0,,aabishkar2_nepse_data,0.7
2012-04-02,GLICL,86.0,88.0,85.0,87.0,3510.0,303280.0,,aabishkar2_nepse_data,0.7
2012-04-04,GLICL,87.0,86.0,84.0,86.0,3980.0,340490.0,,aabishkar2_nepse_data,0.7
2012-04-05,GLICL,86.0,86.0,85.0,85.0,1740.0,148970.0,,aabishkar2_nepse_data,0.7
2012-04-08,GLICL,85.0,86.0,85.0,85.0,460.0,39360.0,,aabishkar2_nepse_data,0.7
2012-04-09,GLICL,85.0,88.0,86.0,88.0,1450.0,125950.0,,aabishkar2_nepse_data,0.7
2012-04-10,GLICL,88.0,88.0,87.0,87.0,220.0,19320.0,,aabishkar2_nepse_data,0.7
2012-04-11,GLICL,87.0,90.0,88.0,89.0,1160.0,103440.0,,aabishkar2_nepse_data,0.7
2012-04-12,GLICL,89.0,95.0,89.0,94.0,640.0,59650.0,,aabishkar2_nepse_data,0.7
2012-04-15,GLICL,94.0,101.0,95.0,101.0,830.0,82290.0,,aabishkar2_nepse_data,0.7
2012-04-17,GLICL,101.0,109.0,100.0,100.0,1820.0,187320.0,,aabishkar2_nepse_data,0.7
2012-04-18,GLICL,100.0,102.0,98.0,102.0,860.0,85450.0,,aabishkar2_nepse_data,0.7
2012-04-19,GLICL,102.0,106.0,98.0,99.0,1910.0,195460.0,,aabishkar2_nepse_data,0.7
2012-04-22,GLICL,99.0,108.0,99.0,108.0,2630.0,276880.0,,aabishkar2_nepse_data,0.7
2012-04-24,GLICL,108.0,116.0,110.0,116.0,2650.0,307280.0,,aabishkar2_nepse_data,0.7
2012-04-25,GLICL,116.0,122.0,118.0,122.0,330.0,39680.0,,aabishkar2_nepse_data,0.7
2012-04-26,GLICL,122.0,126.0,114.0,123.0,4871.0,585054.0,,aabishkar2_nepse_data,0.7
2012-04-29,GLICL,123.0,125.0,119.0,121.0,8630.0,1059070.0,,aabishkar2_nepse_data,0.7
2012-04-30,GLICL,121.0,119.0,110.0,110.0,1210.0,138020.0,,aabishkar2_nepse_data,0.7
2012-05-02,GLICL,110.0,108.0,104.0,104.0,40.0,4220.0,,aabishkar2_nepse_data,0.7
2012-05-03,GLICL,104.0,106.0,106.0,106.0,910.0,96460.0,,aabishkar2_nepse_data,0.7
2012-05-07,GLICL,106.0,110.0,108.0,110.0,300.0,32420.0,,aabishkar2_nepse_data,0.7
2012-05-09,GLICL,110.0,115.0,111.0,115.0,3810.0,430460.0,,aabishkar2_nepse_data,0.7
2012-05-10,GLICL,115.0,113.0,107.0,108.0,3540.0,386650.0,,aabishkar2_nepse_data,0.7
2012-05-13,GLICL,108.0,106.0,106.0,106.0,50.0,5300.0,,aabishkar2_nepse_data,0.7
2012-05-14,GLICL,106.0,104.0,104.0,104.0,80.0,8320.0,,aabishkar2_nepse_data,0.7
2012-05-15,GLICL,104.0,110.0,104.0,108.0,1020.0,110240.0,,aabishkar2_nepse_data,0.7
2012-05-17,GLICL,108.0,110.0,110.0,110.0,680.0,74800.0,,aabishkar2_nepse_data,0.7
2012-05-21,GLICL,110.0,112.0,105.0,110.0,2030.0,217550.0,,aabishkar2_nepse_data,0.7
2012-05-22,GLICL,110.0,110.0,110.0,110.0,400.0,44000.0,,aabishkar2_nepse_data,0.7
2012-05-23,GLICL,110.0,108.0,104.0,104.0,260.0,27450.0,,aabishkar2_nepse_data,0.7
2012-05-24,GLICL,104.0,106.0,102.0,106.0,750.0,78100.0,,aabishkar2_nepse_data,0.7
2012-05-27,GLICL,106.0,109.0,104.0,109.0,570.0,60570.0,,aabishkar2_nepse_data,0.7
2012-05-29,GLICL,109.0,107.0,99.0,99.0,280.0,28600.0,,aabishkar2_nepse_data,0.7
2012-05-30,GLICL,99.0,98.0,90.0,92.0,2770.0,253710.0,,aabishkar2_nepse_data,0.7
2012-05-31,GLICL,92.0,94.0,91.0,94.0,3110.0,287120.0,,aabishkar2_nepse_data,0.7
2012-06-03,GLICL,94.0,100.0,95.0,99.0,90.0,8820.0,,aabishkar2_nepse_data,0.7
2012-06-04,GLICL,99.0,100.0,98.0,98.0,5280.0,527720.0,,aabishkar2_nepse_data,0.7
2012-06-05,GLICL,98.0,98.0,95.0,95.0,2340.0,223720.0,,aabishkar2_nepse_data,0.7
2012-06-06,GLICL,95.0,95.0,93.0,94.0,2790.0,262250.0,,aabishkar2_nepse_data,0.7
2012-06-07,GLICL,94.0,96.0,92.0,95.0,630.0,59520.0,,aabishkar2_nepse_data,0.7
2012-06-11,GLICL,95.0,98.0,96.0,97.0,330.0,32240.0,,aabishkar2_nepse_data,0.7
2012-06-12,GLICL,97.0,99.0,94.0,96.0,2860.0,277500.0,,aabishkar2_nepse_data,0.7
2012-06-13,GLICL,96.0,96.0,93.0,93.0,1010.0,96190.0,,aabishkar2_nepse_data,0.7
2012-06-14,GLICL,93.0,94.0,91.0,91.0,4490.0,419510.0,,aabishkar2_nepse_data,0.7
2012-06-17,GLICL,91.0,93.0,92.0,93.0,130.0,12000.0,,aabishkar2_nepse_data,0.7
2012-06-18,GLICL,93.0,94.0,93.0,93.0,920.0,85960.0,,aabishkar2_nepse_data,0.7
2012-06-19,GLICL,93.0,92.0,90.0,92.0,1870.0,171270.0,,aabishkar2_nepse_data,0.7
2012-06-20,GLICL,92.0,95.0,92.0,95.0,670.0,62390.0,,aabishkar2_nepse_data,0.7
2012-06-21,GLICL,95.0,94.0,94.0,94.0,20.0,1880.0,,aabishkar2_nepse_data,0.7
2012-06-25,GLICL,94.0,96.0,93.0,95.0,4740.0,441900.0,,aabishkar2_nepse_data,0.7
2012-06-26,GLICL,95.0,95.0,94.0,95.0,1690.0,159050.0,,aabishkar2_nepse_data,0.7
2012-06-27,GLICL,95.0,96.0,95.0,96.0,200.0,19100.0,,aabishkar2_nepse_data,0.7
2012-07-01,GLICL,96.0,95.0,94.0,94.0,710.0,67020.0,,aabishkar2_nepse_data,0.7
2012-07-02,GLICL,94.0,95.0,93.0,95.0,1650.0,155540.0,,aabishkar2_nepse_data,0.7
2012-07-03,GLICL,95.0,94.0,92.0,94.0,190.0,17730.0,,aabishkar2_nepse_data,0.7
2012-07-04,GLICL,94.0,95.0,94.0,95.0,3920.0,369400.0,,aabishkar2_nepse_data,0.7
2012-07-05,GLICL,95.0,97.0,96.0,97.0,580.0,55750.0,,aabishkar2_nepse_data,0.7
2012-07-08,GLICL,97.0,97.0,95.0,95.0,1510.0,144900.0,,aabishkar2_nepse_data,0.7
2012-07-09,GLICL,95.0,95.0,95.0,95.0,200.0,19000.0,,aabishkar2_nepse_data,0.7
2012-07-10,GLICL,95.0,98.0,96.0,97.0,810.0,78400.0,,aabishkar2_nepse_data,0.7
2012-07-11,GLICL,97.0,97.0,96.0,97.0,100.0,9670.0,,aabishkar2_nepse_data,0.7
2012-07-12,GLICL,97.0,100.0,96.0,98.0,1640.0,161990.0,,aabishkar2_nepse_data,0.7
2012-07-15,GLICL,98.0,106.0,99.0,106.0,300.0,31230.0,,aabishkar2_nepse_data,0.7
2012-07-17,GLICL,106.0,104.0,98.0,98.0,830.0,84300.0,,aabishkar2_nepse_data,0.7
2012-07-18,GLICL,98.0,102.0,97.0,98.0,3790.0,371120.0,,aabishkar2_nepse_data,0.7
2012-07-19,GLICL,98.0,107.0,97.0,107.0,2990.0,303050.0,,aabishkar2_nepse_data,0.7
2012-07-22,GLICL,107.0,113.0,108.0,110.0,2900.0,316880.0,,aabishkar2_nepse_data,0.7
2012-07-23,GLICL,110.0,112.0,107.0,107.0,2100.0,229530.0,,aabishkar2_nepse_data,0.7
2012-07-24,GLICL,107.0,107.0,102.0,102.0,1570.0,165560.0,,aabishkar2_nepse_data,0.7
2012-07-25,GLICL,102.0,106.0,104.0,105.0,2560.0,268840.0,,aabishkar2_nepse_data,0.7
2012-07-26,GLICL,105.0,106.0,104.0,106.0,3040.0,320080.0,,aabishkar2_nepse_data,0.7
2012-07-29,GLICL,106.0,106.0,101.0,103.0,2420.0,249810.0,,aabishkar2_nepse_data,0.7
2012-07-30,GLICL,103.0,105.0,105.0,105.0,760.0,79800.0,,aabishkar2_nepse_data,0.7
2012-07-31,GLICL,105.0,107.0,105.0,107.0,3220.0,341240.0,,aabishkar2_nepse_data,0.7
2012-08-01,GLICL,107.0,106.0,104.0,104.0,9010.0,946970.0,,aabishkar2_nepse_data,0.7
2012-08-05,GLICL,104.0,106.0,104.0,106.0,410.0,43140.0,,aabishkar2_nepse_data,0.7
2012-08-06,GLICL,106.0,108.0,102.0,108.0,2060.0,216440.0,,aabishkar2_nepse_data,0.7
2012-08-07,GLICL,108.0,108.0,105.0,106.0,3220.0,342800.0,,aabishkar2_nepse_data,0.7
