date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2017-01-31,GRDBL,490.0,498.0,476.0,480.0,641.0,310316.0,,aabishkar2_nepse_data,0.7
2017-02-01,GRDBL,480.0,489.0,471.0,489.0,547.0,264241.0,,aabishkar2_nepse_data,0.7
2017-02-02,GRDBL,489.0,491.0,480.0,480.0,800.0,389960.0,,aabishkar2_nepse_data,0.7
2017-02-05,GRDBL,480.0,489.0,472.0,475.0,690.0,327660.0,,aabishkar2_nepse_data,0.7
2017-02-06,GRDBL,475.0,475.0,470.0,470.0,340.0,160050.0,,aabishkar2_nepse_data,0.7
2017-02-07,GRDBL,470.0,471.0,471.0,471.0,298.0,140358.0,,aabishkar2_nepse_data,0.7
2017-02-08,GRDBL,471.0,473.0,473.0,473.0,110.0,52030.0,,aabishkar2_nepse_data,0.7
2017-02-09,GRDBL,473.0,464.0,445.0,445.0,350.0,157789.0,,aabishkar2_nepse_data,0.7
2017-02-12,GRDBL,445.0,440.0,419.0,419.0,415.0,178220.0,,aabishkar2_nepse_data,0.7
2017-02-13,GRDBL,419.0,411.0,400.0,400.0,340.0,138540.0,,aabishkar2_nepse_data,0.7
2017-02-14,GRDBL,400.0,401.0,395.0,395.0,580.0,232060.0,,aabishkar2_nepse_data,0.7
2017-02-15,GRDBL,395.0,397.0,381.0,397.0,1486.0,583565.0,,aabishkar2_nepse_data,0.7
2017-02-16,GRDBL,397.0,402.0,395.0,395.0,748.0,298492.0,,aabishkar2_nepse_data,0.7
2017-02-19,GRDBL,395.0,402.0,402.0,402.0,100.0,40200.0,,aabishkar2_nepse_data,0.7
2017-02-20,GRDBL,402.0,415.0,402.0,415.0,200.0,81780.0,,aabishkar2_nepse_data,0.7
2017-02-21,GRDBL,415.0,423.0,410.0,418.0,906.0,376238.0,,aabishkar2_nepse_data,0.7
2017-02-22,GRDBL,418.0,421.0,418.0,418.0,150.0,63000.0,,aabishkar2_nepse_data,0.7
2017-02-23,GRDBL,418.0,410.0,408.0,408.0,110.0,44900.0,,aabishkar2_nepse_data,0.7
