date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2024-01-02,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-03,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-04,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-05,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-08,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-09,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-10,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-11,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-12,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-15,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-16,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-17,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-18,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-19,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-22,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-23,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-24,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-25,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-26,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-29,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-30,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-01-31,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-01,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-02,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-05,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-06,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-07,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-08,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-09,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-12,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-13,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-14,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-15,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-16,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-19,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-20,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-21,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-22,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-23,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-26,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-27,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-28,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2024-02-29,HBL,136.0,141.0,131.0,138.0,83636,9733636,,sharesansar,0.9
2026-05-02,HBL,425.0,430.0,420.0,428.0,75000,32100000,400.0,https://www.sharesansar.com/today-share-price,
