date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2011-05-15,JFL,188.0,188.0,185.0,188.0,,,141.0,26184.0,,aabishkar2_nepse_data,0.7
2011-05-18,JFL,188.0,191.0,191.0,191.0,,,20.0,3820.0,,aabishkar2_nepse_data,0.7
2011-05-19,JFL,191.0,190.0,188.0,190.0,,,97.0,18384.0,,aabishkar2_nepse_data,0.7
2011-05-22,JFL,190.0,188.0,188.0,188.0,,,58.0,10904.0,,aabishkar2_nepse_data,0.7
2011-05-23,JFL,188.0,186.0,186.0,186.0,,,195.0,36270.0,,aabishkar2_nepse_data,0.7
2011-05-24,JFL,186.0,183.0,183.0,183.0,,,60.0,10980.0,,aabishkar2_nepse_data,0.7
2011-05-25,JFL,183.0,189.0,186.0,188.0,,,60.0,11250.0,,aabishkar2_nepse_data,0.7
2011-06-05,JFL,188.0,191.0,191.0,191.0,,,100.0,19100.0,,aabishkar2_nepse_data,0.7
2011-06-09,JFL,191.0,191.0,191.0,191.0,,,48.0,9168.0,,aabishkar2_nepse_data,0.7
2011-06-15,JFL,191.0,188.0,182.0,185.0,,,2336.0,427567.0,,aabishkar2_nepse_data,0.7
2011-06-19,JFL,185.0,184.0,184.0,184.0,,,475.0,87400.0,,aabishkar2_nepse_data,0.7
2011-06-20,JFL,185.0,184.0,184.0,184.0,,,475.0,87400.0,,aabishkar2_nepse_data,0.7
2011-06-21,JFL,193.0,210.0,196.0,210.0,,,100.0,20260.0,,aabishkar2_nepse_data,0.7
2011-06-23,JFL,210.0,218.0,212.0,218.0,,,121.0,26063.0,,aabishkar2_nepse_data,0.7
2011-06-26,JFL,218.0,222.0,222.0,222.0,,,50.0,11100.0,,aabishkar2_nepse_data,0.7
2011-06-29,JFL,222.0,225.0,206.0,206.0,,,1145.0,245090.0,,aabishkar2_nepse_data,0.7
2011-06-30,JFL,206.0,202.0,202.0,202.0,,,30.0,6060.0,,aabishkar2_nepse_data,0.7
2011-07-03,JFL,202.0,198.0,192.0,192.0,,,149.0,29316.0,,aabishkar2_nepse_data,0.7
2011-07-04,JFL,192.0,195.0,195.0,195.0,,,10.0,1950.0,,aabishkar2_nepse_data,0.7
2011-07-05,JFL,195.0,192.0,192.0,192.0,,,100.0,19200.0,,aabishkar2_nepse_data,0.7
2011-07-07,JFL,192.0,189.0,183.0,183.0,,,230.0,42630.0,,aabishkar2_nepse_data,0.7
2011-07-10,JFL,183.0,186.0,186.0,186.0,,,20.0,3720.0,,aabishkar2_nepse_data,0.7
2011-07-12,JFL,186.0,186.0,183.0,183.0,,,87.0,16107.0,,aabishkar2_nepse_data,0.7
2011-07-13,JFL,183.0,189.0,186.0,189.0,,,42.0,7872.0,,aabishkar2_nepse_data,0.7
2011-07-14,JFL,189.0,195.0,189.0,195.0,,,158.0,30105.0,,aabishkar2_nepse_data,0.7
2011-07-19,JFL,195.0,198.0,198.0,198.0,,,69.0,13662.0,,aabishkar2_nepse_data,0.7
2011-07-20,JFL,198.0,195.0,195.0,195.0,,,32.0,6240.0,,aabishkar2_nepse_data,0.7
2011-07-24,JFL,195.0,192.0,186.0,188.0,,,649.0,123201.0,,aabishkar2_nepse_data,0.7
2011-07-25,JFL,188.0,185.0,185.0,185.0,,,100.0,18500.0,,aabishkar2_nepse_data,0.7
2011-07-27,JFL,185.0,182.0,182.0,182.0,,,292.0,53144.0,,aabishkar2_nepse_data,0.7
2011-07-28,JFL,182.0,190.0,182.0,188.0,,,315.0,59285.0,,aabishkar2_nepse_data,0.7
2011-07-31,JFL,188.0,194.0,191.0,191.0,,,195.0,37425.0,,aabishkar2_nepse_data,0.7
2011-08-01,JFL,191.0,193.0,189.0,189.0,,,594.0,112828.0,,aabishkar2_nepse_data,0.7
2011-08-02,JFL,189.0,192.0,192.0,192.0,,,20.0,3840.0,,aabishkar2_nepse_data,0.7
