date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2019-01-17,JOSHI,256.0,256.0,243.0,243.0,,,70.0,17410.0,,aabishkar2_nepse_data,0.7
2019-01-23,JOSHI,231.0,231.0,231.0,231.0,,,500.0,115500.0,,aabishkar2_nepse_data,0.7
2019-01-29,JOSHI,220.0,220.0,220.0,220.0,,,20.0,4400.0,,aabishkar2_nepse_data,0.7
2019-02-07,JOSHI,209.0,209.0,201.0,201.0,,,60.0,12300.0,,aabishkar2_nepse_data,0.7
2019-02-10,JOSHI,191.0,191.0,191.0,191.0,,,20.0,3820.0,,aabishkar2_nepse_data,0.7
2019-02-26,JOSHI,182.0,182.0,176.0,176.0,,,60.0,10740.0,,aabishkar2_nepse_data,0.7
2019-03-03,JOSHI,168.0,168.0,168.0,168.0,,,10.0,1680.0,,aabishkar2_nepse_data,0.7
2019-03-05,JOSHI,160.0,160.0,160.0,160.0,,,20.0,3200.0,,aabishkar2_nepse_data,0.7
2019-04-09,JOSHI,152.0,152.0,147.0,147.0,,,50.0,7440.0,,aabishkar2_nepse_data,0.7
2019-05-13,JOSHI,140.0,140.0,140.0,140.0,,,20.0,2800.0,,aabishkar2_nepse_data,0.7
2019-05-14,JOSHI,133.0,133.0,133.0,133.0,,,50.0,6650.0,,aabishkar2_nepse_data,0.7
2019-05-23,JOSHI,127.0,127.0,123.0,123.0,,,70.0,8750.0,,aabishkar2_nepse_data,0.7
2019-05-26,JOSHI,117.0,117.0,111.0,111.0,,,210.0,23570.0,,aabishkar2_nepse_data,0.7
2019-05-28,JOSHI,106.0,106.0,104.0,104.0,,,20.0,2100.0,,aabishkar2_nepse_data,0.7
2019-05-29,JOSHI,99.0,99.0,94.0,94.0,,,2505.0,235870.0,,aabishkar2_nepse_data,0.7
2019-05-30,JOSHI,95.0,98.0,93.0,94.0,,,4586.0,435640.0,,aabishkar2_nepse_data,0.7
2019-06-02,JOSHI,95.0,95.0,91.0,95.0,,,1100.0,102890.0,,aabishkar2_nepse_data,0.7
2019-06-03,JOSHI,94.0,94.0,94.0,94.0,,,20.0,1880.0,,aabishkar2_nepse_data,0.7
2019-06-04,JOSHI,93.0,93.0,88.0,88.0,,,1800.0,163020.0,,aabishkar2_nepse_data,0.7
2019-06-06,JOSHI,89.0,92.0,89.0,92.0,,,1820.0,164350.0,,aabishkar2_nepse_data,0.7
2019-06-11,JOSHI,91.0,96.0,91.0,94.0,,,3610.0,340130.0,,aabishkar2_nepse_data,0.7
2019-06-12,JOSHI,93.0,93.0,87.0,90.0,,,790.0,70070.0,,aabishkar2_nepse_data,0.7
2019-06-13,JOSHI,89.0,89.0,85.0,87.0,,,600.0,51830.0,,aabishkar2_nepse_data,0.7
2019-06-16,JOSHI,86.0,86.0,84.0,86.0,,,660.0,56010.0,,aabishkar2_nepse_data,0.7
2019-06-17,JOSHI,85.0,85.0,83.0,84.0,,,480.0,40420.0,,aabishkar2_nepse_data,0.7
2019-06-18,JOSHI,83.0,84.0,83.0,84.0,,,480.0,40220.0,,aabishkar2_nepse_data,0.7
2019-06-19,JOSHI,83.0,85.0,83.0,84.0,,,260.0,21800.0,,aabishkar2_nepse_data,0.7
2019-06-20,JOSHI,80.0,85.0,80.0,84.0,,,470.0,38550.0,,aabishkar2_nepse_data,0.7
2019-06-23,JOSHI,83.0,84.0,82.0,83.0,,,640.0,53040.0,,aabishkar2_nepse_data,0.7
2019-06-24,JOSHI,82.0,83.0,80.0,83.0,,,760.0,62120.0,,aabishkar2_nepse_data,0.7
2019-06-25,JOSHI,82.0,83.0,81.0,83.0,,,390.0,32030.0,,aabishkar2_nepse_data,0.7
2019-06-26,JOSHI,82.0,83.0,81.0,82.0,,,760.0,62500.0,,aabishkar2_nepse_data,0.7
2019-06-27,JOSHI,81.0,84.0,81.0,83.0,,,480.0,39470.0,,aabishkar2_nepse_data,0.7
2019-06-30,JOSHI,79.0,82.0,79.0,81.0,,,860.0,69500.0,,aabishkar2_nepse_data,0.7
2019-07-01,JOSHI,80.0,81.0,79.0,80.0,,,950.0,75740.0,,aabishkar2_nepse_data,0.7
2019-07-02,JOSHI,81.0,81.0,79.0,80.0,,,530.0,42150.0,,aabishkar2_nepse_data,0.7
2019-07-03,JOSHI,79.0,80.0,78.0,78.0,,,1030.0,81760.0,,aabishkar2_nepse_data,0.7
2019-07-04,JOSHI,78.0,79.0,78.0,79.0,,,130.0,10240.0,,aabishkar2_nepse_data,0.7
2019-07-07,JOSHI,78.0,80.0,78.0,79.0,,,180.0,14160.0,,aabishkar2_nepse_data,0.7
2019-07-08,JOSHI,78.0,79.0,78.0,78.0,,,250.0,19530.0,,aabishkar2_nepse_data,0.7
2019-07-09,JOSHI,77.0,81.0,77.0,79.0,,,420.0,33100.0,,aabishkar2_nepse_data,0.7
2019-07-10,JOSHI,78.0,79.0,78.0,79.0,,,220.0,17220.0,,aabishkar2_nepse_data,0.7
2019-07-11,JOSHI,79.0,79.0,76.0,76.0,,,1050.0,81520.0,,aabishkar2_nepse_data,0.7
2019-07-14,JOSHI,75.0,77.0,75.0,77.0,,,290.0,21990.0,,aabishkar2_nepse_data,0.7
2019-07-15,JOSHI,77.0,78.0,77.0,78.0,,,100.0,7740.0,,aabishkar2_nepse_data,0.7
2019-07-16,JOSHI,77.0,79.0,77.0,77.0,,,370.0,28850.0,,aabishkar2_nepse_data,0.7
2019-07-17,JOSHI,78.0,80.0,78.0,79.0,,,450.0,35590.0,,aabishkar2_nepse_data,0.7
2019-07-18,JOSHI,80.0,80.0,77.0,77.0,,,170.0,13500.0,,aabishkar2_nepse_data,0.7
2019-07-21,JOSHI,78.0,79.0,77.0,79.0,,,270.0,21020.0,,aabishkar2_nepse_data,0.7
2019-07-22,JOSHI,79.0,79.0,77.0,79.0,,,520.0,40470.0,,aabishkar2_nepse_data,0.7
2019-07-23,JOSHI,79.0,80.0,78.0,78.0,,,280.0,22140.0,,aabishkar2_nepse_data,0.7
2019-07-24,JOSHI,78.0,80.0,76.0,79.0,,,430.0,33420.0,,aabishkar2_nepse_data,0.7
2019-07-25,JOSHI,79.0,80.0,79.0,79.0,,,380.0,30200.0,,aabishkar2_nepse_data,0.7
2019-07-28,JOSHI,78.0,78.0,78.0,78.0,,,190.0,14820.0,,aabishkar2_nepse_data,0.7
2019-07-29,JOSHI,78.0,78.0,74.0,75.0,,,160.0,12150.0,,aabishkar2_nepse_data,0.7
2019-07-30,JOSHI,75.0,76.0,74.0,75.0,,,440.0,32910.0,,aabishkar2_nepse_data,0.7
2019-07-31,JOSHI,74.0,76.0,74.0,75.0,,,330.0,24560.0,,aabishkar2_nepse_data,0.7
2019-08-01,JOSHI,74.0,76.0,74.0,74.0,,,330.0,24620.0,,aabishkar2_nepse_data,0.7
2019-08-04,JOSHI,73.0,75.0,73.0,74.0,,,480.0,35320.0,,aabishkar2_nepse_data,0.7
2019-08-05,JOSHI,74.0,74.0,73.0,73.0,,,230.0,16900.0,,aabishkar2_nepse_data,0.7
2019-08-06,JOSHI,74.0,75.0,73.0,75.0,,,650.0,47890.0,,aabishkar2_nepse_data,0.7
2019-08-07,JOSHI,74.0,74.0,71.0,74.0,,,200.0,14600.0,,aabishkar2_nepse_data,0.7
2019-08-08,JOSHI,73.0,76.0,73.0,74.0,,,680.0,50480.0,,aabishkar2_nepse_data,0.7
2019-08-11,JOSHI,73.0,73.0,68.0,68.0,,,1450.0,103140.0,,aabishkar2_nepse_data,0.7
2019-08-12,JOSHI,68.0,74.0,68.0,73.0,,,390.0,27420.0,,aabishkar2_nepse_data,0.7
2019-08-13,JOSHI,73.0,73.0,71.0,71.0,,,740.0,53440.0,,aabishkar2_nepse_data,0.7
2019-08-14,JOSHI,70.0,72.0,70.0,71.0,,,370.0,26270.0,,aabishkar2_nepse_data,0.7
2019-08-15,JOSHI,71.0,71.0,70.0,70.0,,,220.0,15520.0,,aabishkar2_nepse_data,0.7
2019-08-18,JOSHI,69.0,70.0,68.0,69.0,,,610.0,41730.0,,aabishkar2_nepse_data,0.7
2019-08-19,JOSHI,68.0,68.0,66.0,67.0,,,330.0,22180.0,,aabishkar2_nepse_data,0.7
2019-08-20,JOSHI,66.0,67.0,65.0,67.0,,,260.0,17240.0,,aabishkar2_nepse_data,0.7
2019-08-21,JOSHI,66.0,68.0,66.0,68.0,,,670.0,45000.0,,aabishkar2_nepse_data,0.7
2019-08-22,JOSHI,68.0,69.0,67.0,67.0,,,600.0,40790.0,,aabishkar2_nepse_data,0.7
2019-08-25,JOSHI,66.0,66.0,64.0,66.0,,,370.0,24160.0,,aabishkar2_nepse_data,0.7
2019-08-26,JOSHI,65.0,67.0,65.0,66.0,,,340.0,22510.0,,aabishkar2_nepse_data,0.7
2019-08-27,JOSHI,65.0,68.0,65.0,67.0,,,340.0,22670.0,,aabishkar2_nepse_data,0.7
2019-08-28,JOSHI,66.0,68.0,66.0,67.0,,,200.0,13360.0,,aabishkar2_nepse_data,0.7
2019-08-29,JOSHI,68.0,69.0,66.0,66.0,,,330.0,22310.0,,aabishkar2_nepse_data,0.7
2019-09-01,JOSHI,65.0,66.0,64.0,64.0,,,211.0,13645.0,,aabishkar2_nepse_data,0.7
2019-09-02,JOSHI,63.0,63.0,62.0,62.0,,,200.0,12480.0,,aabishkar2_nepse_data,0.7
2019-09-03,JOSHI,62.0,63.0,61.0,62.0,,,50.0,3100.0,,aabishkar2_nepse_data,0.7
2019-09-04,JOSHI,62.0,64.0,62.0,63.0,,,310.0,19530.0,,aabishkar2_nepse_data,0.7
2019-09-05,JOSHI,62.0,64.0,62.0,64.0,,,360.0,22750.0,,aabishkar2_nepse_data,0.7
2019-09-08,JOSHI,63.0,63.0,62.0,62.0,,,50.0,3120.0,,aabishkar2_nepse_data,0.7
2019-09-09,JOSHI,61.0,61.0,60.0,60.0,,,400.0,24320.0,,aabishkar2_nepse_data,0.7
2019-09-10,JOSHI,61.0,61.0,60.0,61.0,,,301.0,18310.0,,aabishkar2_nepse_data,0.7
2019-09-11,JOSHI,61.0,62.0,60.0,62.0,,,120.0,7300.0,,aabishkar2_nepse_data,0.7
2019-09-12,JOSHI,61.0,62.0,60.0,61.0,,,300.0,18240.0,,aabishkar2_nepse_data,0.7
2019-09-16,JOSHI,61.0,61.0,58.0,60.0,,,780.0,45770.0,,aabishkar2_nepse_data,0.7
2019-09-17,JOSHI,60.0,63.0,60.0,61.0,,,3194.0,200402.0,,aabishkar2_nepse_data,0.7
2019-09-18,JOSHI,61.0,62.0,61.0,62.0,,,140.0,8580.0,,aabishkar2_nepse_data,0.7
2019-09-19,JOSHI,61.0,62.0,60.0,62.0,,,290.0,17590.0,,aabishkar2_nepse_data,0.7
2019-09-22,JOSHI,61.0,61.0,57.0,57.0,,,320.0,18740.0,,aabishkar2_nepse_data,0.7
2019-09-23,JOSHI,56.0,59.0,56.0,59.0,,,240.0,13860.0,,aabishkar2_nepse_data,0.7
2019-09-24,JOSHI,58.0,59.0,58.0,58.0,,,170.0,9960.0,,aabishkar2_nepse_data,0.7
2019-09-25,JOSHI,58.0,58.0,57.0,57.0,,,330.0,18910.0,,aabishkar2_nepse_data,0.7
2019-09-26,JOSHI,56.0,57.0,54.0,54.0,,,290.0,16060.0,,aabishkar2_nepse_data,0.7
2019-09-29,JOSHI,53.0,54.0,53.0,54.0,,,200.0,10640.0,,aabishkar2_nepse_data,0.7
2019-09-30,JOSHI,54.0,57.0,54.0,57.0,,,230.0,12960.0,,aabishkar2_nepse_data,0.7
2019-10-01,JOSHI,56.0,57.0,56.0,56.0,,,250.0,14080.0,,aabishkar2_nepse_data,0.7
2019-10-02,JOSHI,55.0,56.0,55.0,56.0,,,60.0,3340.0,,aabishkar2_nepse_data,0.7
2019-10-03,JOSHI,57.0,58.0,57.0,58.0,,,80.0,4600.0,,aabishkar2_nepse_data,0.7
2019-10-14,JOSHI,58.0,60.0,58.0,60.0,,,130.0,7640.0,,aabishkar2_nepse_data,0.7
2019-10-15,JOSHI,61.0,63.0,61.0,62.0,,,260.0,16300.0,,aabishkar2_nepse_data,0.7
2019-10-16,JOSHI,61.0,62.0,61.0,62.0,,,30.0,1850.0,,aabishkar2_nepse_data,0.7
2019-10-17,JOSHI,62.0,63.0,62.0,63.0,,,20.0,1250.0,,aabishkar2_nepse_data,0.7
2019-10-24,JOSHI,63.0,63.0,62.0,63.0,,,90.0,5640.0,,aabishkar2_nepse_data,0.7
2019-10-31,JOSHI,63.0,63.0,62.0,62.0,,,100.0,6220.0,,aabishkar2_nepse_data,0.7
2019-11-03,JOSHI,62.0,62.0,62.0,62.0,,,200.0,12400.0,,aabishkar2_nepse_data,0.7
2019-11-04,JOSHI,61.0,61.0,59.0,59.0,,,210.0,12550.0,,aabishkar2_nepse_data,0.7
2019-11-05,JOSHI,58.0,58.0,58.0,58.0,,,90.0,5220.0,,aabishkar2_nepse_data,0.7
2019-11-06,JOSHI,57.0,60.0,57.0,60.0,,,320.0,18420.0,,aabishkar2_nepse_data,0.7
2019-11-07,JOSHI,59.0,60.0,59.0,60.0,,,150.0,8960.0,,aabishkar2_nepse_data,0.7
2019-11-11,JOSHI,59.0,59.0,59.0,59.0,,,80.0,4720.0,,aabishkar2_nepse_data,0.7
2019-11-12,JOSHI,58.0,58.0,56.0,56.0,,,200.0,11420.0,,aabishkar2_nepse_data,0.7
2019-11-13,JOSHI,55.0,56.0,55.0,55.0,,,220.0,12200.0,,aabishkar2_nepse_data,0.7
2019-11-14,JOSHI,55.0,56.0,53.0,53.0,,,310.0,16810.0,,aabishkar2_nepse_data,0.7
2019-11-17,JOSHI,52.0,54.0,52.0,53.0,,,290.0,15340.0,,aabishkar2_nepse_data,0.7
2019-11-18,JOSHI,52.0,54.0,51.0,54.0,,,270.0,14210.0,,aabishkar2_nepse_data,0.7
2019-11-19,JOSHI,55.0,57.0,55.0,57.0,,,990.0,55500.0,,aabishkar2_nepse_data,0.7
2019-11-20,JOSHI,58.0,62.0,58.0,60.0,,,340.0,20490.0,,aabishkar2_nepse_data,0.7
2019-11-21,JOSHI,59.0,61.0,58.0,61.0,,,440.0,26220.0,,aabishkar2_nepse_data,0.7
2019-11-24,JOSHI,61.0,61.0,59.0,60.0,,,120.0,7160.0,,aabishkar2_nepse_data,0.7
2019-11-25,JOSHI,60.0,60.0,58.0,58.0,,,80.0,4700.0,,aabishkar2_nepse_data,0.7
2019-11-26,JOSHI,58.0,59.0,56.0,56.0,,,490.0,28080.0,,aabishkar2_nepse_data,0.7
2019-11-27,JOSHI,55.0,57.0,55.0,57.0,,,120.0,6770.0,,aabishkar2_nepse_data,0.7
