date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2011-03-20,KBL,260.0,270.0,260.0,270.0,,,90.0,23800.0,,aabishkar2_nepse_data,0.7
2011-03-24,KBL,260.0,261.0,256.0,261.0,,,33.0,8503.0,,aabishkar2_nepse_data,0.7
2011-03-25,KBL,261.0,266.0,260.0,260.0,,,80.0,20900.0,,aabishkar2_nepse_data,0.7
2011-03-27,KBL,260.0,256.0,255.0,255.0,,,28.0,7158.0,,aabishkar2_nepse_data,0.7
2011-03-28,KBL,255.0,260.0,260.0,260.0,,,77.0,20020.0,,aabishkar2_nepse_data,0.7
2011-03-29,KBL,260.0,255.0,245.0,249.0,,,338.0,83700.0,,aabishkar2_nepse_data,0.7
2011-03-30,KBL,249.0,258.0,234.0,234.0,,,809.0,195685.0,,aabishkar2_nepse_data,0.7
2011-03-31,KBL,234.0,246.0,238.0,243.0,,,1868.0,454426.0,,aabishkar2_nepse_data,0.7
2011-04-04,KBL,243.0,249.0,237.0,249.0,,,1301.0,314956.0,,aabishkar2_nepse_data,0.7
2011-04-05,KBL,249.0,256.0,237.0,256.0,,,733.0,179244.0,,aabishkar2_nepse_data,0.7
2011-04-06,KBL,256.0,257.0,243.0,243.0,,,577.0,143104.0,,aabishkar2_nepse_data,0.7
2011-04-07,KBL,243.0,267.0,243.0,266.0,,,505.0,128883.0,,aabishkar2_nepse_data,0.7
2011-04-10,KBL,266.0,279.0,261.0,279.0,,,420.0,112667.0,,aabishkar2_nepse_data,0.7
2011-04-11,KBL,279.0,274.0,264.0,264.0,,,50.0,13500.0,,aabishkar2_nepse_data,0.7
2011-04-13,KBL,264.0,290.0,268.0,290.0,,,160.0,44090.0,,aabishkar2_nepse_data,0.7
2011-04-19,KBL,290.0,285.0,284.0,284.0,,,171.0,48575.0,,aabishkar2_nepse_data,0.7
2011-04-21,KBL,284.0,279.0,279.0,279.0,,,10.0,2790.0,,aabishkar2_nepse_data,0.7
2011-04-25,KBL,279.0,274.0,274.0,274.0,,,34.0,9316.0,,aabishkar2_nepse_data,0.7
2011-04-27,KBL,274.0,269.0,264.0,269.0,,,102.0,27238.0,,aabishkar2_nepse_data,0.7
