date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2011-05-11,KRBL,90.0,96.0,91.0,95.0,,,820.0,76010.0,,aabishkar2_nepse_data,0.7
2011-05-12,KRBL,95.0,104.0,97.0,100.0,,,1340.0,132980.0,,aabishkar2_nepse_data,0.7
2011-05-15,KRBL,100.0,105.0,91.0,92.0,,,1940.0,186230.0,,aabishkar2_nepse_data,0.7
2011-05-16,KRBL,92.0,101.0,91.0,95.0,,,1690.0,161230.0,,aabishkar2_nepse_data,0.7
2011-05-18,KRBL,95.0,99.0,97.0,97.0,,,850.0,83190.0,,aabishkar2_nepse_data,0.7
2011-05-19,KRBL,97.0,100.0,97.0,97.0,,,430.0,42660.0,,aabishkar2_nepse_data,0.7
2011-05-22,KRBL,97.0,100.0,97.0,97.0,,,1040.0,102390.0,,aabishkar2_nepse_data,0.7
2011-05-23,KRBL,97.0,97.0,97.0,97.0,,,90.0,8730.0,,aabishkar2_nepse_data,0.7
2011-05-24,KRBL,97.0,96.0,93.0,95.0,,,670.0,63680.0,,aabishkar2_nepse_data,0.7
2011-05-25,KRBL,95.0,95.0,94.0,95.0,,,900.0,85490.0,,aabishkar2_nepse_data,0.7
2011-05-26,KRBL,95.0,97.0,96.0,97.0,,,750.0,72230.0,,aabishkar2_nepse_data,0.7
2011-05-30,KRBL,97.0,99.0,96.0,99.0,,,1300.0,126900.0,,aabishkar2_nepse_data,0.7
2011-05-31,KRBL,99.0,101.0,100.0,100.0,,,520.0,52120.0,,aabishkar2_nepse_data,0.7
2011-06-01,KRBL,100.0,104.0,100.0,100.0,,,410.0,41880.0,,aabishkar2_nepse_data,0.7
2011-06-02,KRBL,100.0,99.0,95.0,96.0,,,280.0,27590.0,,aabishkar2_nepse_data,0.7
2011-06-05,KRBL,96.0,98.0,96.0,96.0,,,1530.0,147430.0,,aabishkar2_nepse_data,0.7
2011-06-06,KRBL,96.0,96.0,91.0,93.0,,,910.0,86470.0,,aabishkar2_nepse_data,0.7
2011-06-07,KRBL,93.0,95.0,93.0,93.0,,,540.0,50650.0,,aabishkar2_nepse_data,0.7
2011-06-08,KRBL,93.0,93.0,92.0,93.0,,,210.0,19520.0,,aabishkar2_nepse_data,0.7
2011-06-15,KRBL,93.0,93.0,93.0,93.0,,,300.0,27900.0,,aabishkar2_nepse_data,0.7
2011-06-16,KRBL,93.0,89.0,89.0,89.0,,,190.0,16910.0,,aabishkar2_nepse_data,0.7
2011-06-19,KRBL,89.0,89.0,89.0,89.0,,,70.0,6230.0,,aabishkar2_nepse_data,0.7
2011-06-20,KRBL,89.0,89.0,89.0,89.0,,,70.0,6230.0,,aabishkar2_nepse_data,0.7
2011-06-23,KRBL,89.0,92.0,90.0,92.0,,,1310.0,118330.0,,aabishkar2_nepse_data,0.7
2011-06-26,KRBL,92.0,91.0,91.0,91.0,,,40.0,3640.0,,aabishkar2_nepse_data,0.7
2011-06-27,KRBL,91.0,98.0,95.0,95.0,,,910.0,87170.0,,aabishkar2_nepse_data,0.7
2011-06-29,KRBL,95.0,97.0,96.0,97.0,,,570.0,54790.0,,aabishkar2_nepse_data,0.7
2011-06-30,KRBL,97.0,98.0,96.0,97.0,,,1460.0,142800.0,,aabishkar2_nepse_data,0.7
2011-07-03,KRBL,97.0,96.0,93.0,93.0,,,580.0,55420.0,,aabishkar2_nepse_data,0.7
2011-07-04,KRBL,93.0,93.0,92.0,92.0,,,130.0,12080.0,,aabishkar2_nepse_data,0.7
2011-07-05,KRBL,92.0,93.0,92.0,92.0,,,250.0,23010.0,,aabishkar2_nepse_data,0.7
2011-07-06,KRBL,92.0,93.0,93.0,93.0,,,200.0,18600.0,,aabishkar2_nepse_data,0.7
2011-07-07,KRBL,93.0,93.0,91.0,91.0,,,350.0,32350.0,,aabishkar2_nepse_data,0.7
2011-07-10,KRBL,91.0,92.0,90.0,92.0,,,1100.0,99940.0,,aabishkar2_nepse_data,0.7
2011-07-11,KRBL,92.0,92.0,91.0,92.0,,,440.0,40450.0,,aabishkar2_nepse_data,0.7
2011-07-12,KRBL,92.0,93.0,93.0,93.0,,,400.0,37200.0,,aabishkar2_nepse_data,0.7
2011-07-13,KRBL,93.0,96.0,92.0,92.0,,,370.0,34520.0,,aabishkar2_nepse_data,0.7
2011-07-14,KRBL,92.0,95.0,95.0,95.0,,,200.0,19000.0,,aabishkar2_nepse_data,0.7
2011-07-18,KRBL,95.0,99.0,96.0,96.0,,,470.0,46050.0,,aabishkar2_nepse_data,0.7
2011-07-20,KRBL,96.0,95.0,95.0,95.0,,,40.0,3800.0,,aabishkar2_nepse_data,0.7
2011-07-24,KRBL,95.0,96.0,96.0,96.0,,,70.0,6720.0,,aabishkar2_nepse_data,0.7
2011-07-26,KRBL,96.0,97.0,97.0,97.0,,,480.0,46560.0,,aabishkar2_nepse_data,0.7
2011-07-27,KRBL,97.0,98.0,98.0,98.0,,,100.0,9800.0,,aabishkar2_nepse_data,0.7
2011-07-31,KRBL,98.0,97.0,96.0,96.0,,,130.0,12570.0,,aabishkar2_nepse_data,0.7
2011-08-01,KRBL,96.0,96.0,96.0,96.0,,,50.0,4800.0,,aabishkar2_nepse_data,0.7
2011-08-02,KRBL,96.0,95.0,95.0,95.0,,,50.0,4750.0,,aabishkar2_nepse_data,0.7
2011-08-03,KRBL,95.0,95.0,92.0,92.0,,,190.0,17810.0,,aabishkar2_nepse_data,0.7
2011-08-04,KRBL,92.0,92.0,86.0,86.0,,,460.0,41240.0,,aabishkar2_nepse_data,0.7
2011-08-07,KRBL,86.0,88.0,87.0,87.0,,,330.0,28780.0,,aabishkar2_nepse_data,0.7
2011-08-08,KRBL,87.0,88.0,85.0,86.0,,,730.0,62810.0,,aabishkar2_nepse_data,0.7
2011-08-09,KRBL,86.0,88.0,87.0,88.0,,,210.0,18280.0,,aabishkar2_nepse_data,0.7
2011-08-10,KRBL,88.0,87.0,86.0,86.0,,,840.0,72620.0,,aabishkar2_nepse_data,0.7
2011-08-11,KRBL,86.0,87.0,86.0,86.0,,,330.0,28400.0,,aabishkar2_nepse_data,0.7
2011-08-16,KRBL,86.0,86.0,85.0,85.0,,,70.0,6000.0,,aabishkar2_nepse_data,0.7
2011-08-17,KRBL,85.0,85.0,85.0,85.0,,,230.0,19550.0,,aabishkar2_nepse_data,0.7
2011-08-18,KRBL,85.0,84.0,83.0,83.0,,,290.0,24110.0,,aabishkar2_nepse_data,0.7
2011-08-22,KRBL,83.0,84.0,84.0,84.0,,,320.0,26880.0,,aabishkar2_nepse_data,0.7
2011-08-23,KRBL,84.0,85.0,85.0,85.0,,,90.0,7650.0,,aabishkar2_nepse_data,0.7
2011-08-24,KRBL,85.0,85.0,83.0,83.0,,,250.0,20900.0,,aabishkar2_nepse_data,0.7
2011-08-25,KRBL,83.0,82.0,79.0,79.0,,,420.0,33710.0,,aabishkar2_nepse_data,0.7
2011-08-28,KRBL,79.0,78.0,77.0,77.0,,,170.0,13190.0,,aabishkar2_nepse_data,0.7
2011-08-29,KRBL,77.0,76.0,71.0,71.0,,,170.0,12370.0,,aabishkar2_nepse_data,0.7
2011-08-30,KRBL,71.0,71.0,71.0,71.0,,,230.0,16330.0,,aabishkar2_nepse_data,0.7
2011-09-04,KRBL,71.0,72.0,72.0,72.0,,,10.0,720.0,,aabishkar2_nepse_data,0.7
2011-09-05,KRBL,72.0,75.0,73.0,74.0,,,240.0,17860.0,,aabishkar2_nepse_data,0.7
2011-09-06,KRBL,74.0,74.0,72.0,72.0,,,1800.0,132710.0,,aabishkar2_nepse_data,0.7
2011-09-07,KRBL,72.0,72.0,71.0,71.0,,,190.0,13510.0,,aabishkar2_nepse_data,0.7
2011-09-08,KRBL,71.0,71.0,70.0,70.0,,,560.0,39600.0,,aabishkar2_nepse_data,0.7
2011-09-12,KRBL,70.0,71.0,71.0,71.0,,,570.0,40470.0,,aabishkar2_nepse_data,0.7
2011-09-13,KRBL,71.0,72.0,69.0,72.0,,,130.0,9180.0,,aabishkar2_nepse_data,0.7
2011-09-14,KRBL,72.0,73.0,72.0,73.0,,,180.0,13100.0,,aabishkar2_nepse_data,0.7
2011-09-15,KRBL,73.0,77.0,73.0,77.0,,,800.0,59270.0,,aabishkar2_nepse_data,0.7
2011-09-18,KRBL,77.0,78.0,77.0,77.0,,,40.0,3100.0,,aabishkar2_nepse_data,0.7
2011-09-19,KRBL,77.0,77.0,74.0,77.0,,,220.0,16570.0,,aabishkar2_nepse_data,0.7
2011-09-20,KRBL,77.0,77.0,75.0,75.0,,,310.0,23720.0,,aabishkar2_nepse_data,0.7
2011-09-21,KRBL,75.0,74.0,70.0,70.0,,,710.0,51100.0,,aabishkar2_nepse_data,0.7
2011-09-22,KRBL,70.0,70.0,70.0,70.0,,,90.0,6300.0,,aabishkar2_nepse_data,0.7
2011-09-25,KRBL,70.0,72.0,71.0,72.0,,,270.0,19200.0,,aabishkar2_nepse_data,0.7
2011-09-26,KRBL,72.0,72.0,72.0,72.0,,,100.0,7200.0,,aabishkar2_nepse_data,0.7
2011-09-27,KRBL,72.0,73.0,72.0,73.0,,,360.0,26120.0,,aabishkar2_nepse_data,0.7
2011-09-29,KRBL,73.0,74.0,73.0,74.0,,,100.0,7350.0,,aabishkar2_nepse_data,0.7
2011-10-10,KRBL,74.0,75.0,73.0,73.0,,,210.0,15520.0,,aabishkar2_nepse_data,0.7
2011-10-12,KRBL,73.0,74.0,74.0,74.0,,,30.0,2220.0,,aabishkar2_nepse_data,0.7
2011-10-13,KRBL,74.0,75.0,74.0,75.0,,,560.0,41940.0,,aabishkar2_nepse_data,0.7
2011-10-16,KRBL,75.0,74.0,73.0,73.0,,,490.0,36230.0,,aabishkar2_nepse_data,0.7
2011-10-17,KRBL,73.0,76.0,74.0,76.0,,,160.0,11920.0,,aabishkar2_nepse_data,0.7
2011-10-19,KRBL,76.0,75.0,75.0,75.0,,,30.0,2250.0,,aabishkar2_nepse_data,0.7
2011-10-23,KRBL,75.0,75.0,75.0,75.0,,,100.0,7500.0,,aabishkar2_nepse_data,0.7
2011-10-24,KRBL,75.0,77.0,76.0,77.0,,,830.0,63130.0,,aabishkar2_nepse_data,0.7
2011-10-25,KRBL,77.0,76.0,75.0,75.0,,,240.0,18080.0,,aabishkar2_nepse_data,0.7
2011-10-30,KRBL,75.0,74.0,71.0,72.0,,,90.0,6490.0,,aabishkar2_nepse_data,0.7
2011-10-31,KRBL,72.0,73.0,72.0,72.0,,,250.0,18190.0,,aabishkar2_nepse_data,0.7
2011-11-08,KRBL,72.0,74.0,72.0,74.0,,,540.0,39420.0,,aabishkar2_nepse_data,0.7
2011-11-09,KRBL,74.0,75.0,75.0,75.0,,,390.0,29250.0,,aabishkar2_nepse_data,0.7
2011-11-10,KRBL,75.0,76.0,74.0,76.0,,,170.0,12690.0,,aabishkar2_nepse_data,0.7
2011-11-14,KRBL,76.0,76.0,76.0,76.0,,,50.0,3800.0,,aabishkar2_nepse_data,0.7
2011-11-15,KRBL,76.0,76.0,76.0,76.0,,,60.0,4560.0,,aabishkar2_nepse_data,0.7
2011-11-16,KRBL,76.0,76.0,75.0,76.0,,,270.0,20420.0,,aabishkar2_nepse_data,0.7
2011-11-17,KRBL,76.0,76.0,75.0,75.0,,,310.0,23350.0,,aabishkar2_nepse_data,0.7
2011-11-20,KRBL,75.0,76.0,75.0,75.0,,,70.0,5300.0,,aabishkar2_nepse_data,0.7
2011-11-21,KRBL,75.0,75.0,75.0,75.0,,,50.0,3750.0,,aabishkar2_nepse_data,0.7
2011-11-22,KRBL,75.0,75.0,71.0,71.0,,,140.0,10240.0,,aabishkar2_nepse_data,0.7
2011-11-23,KRBL,71.0,71.0,70.0,71.0,,,80.0,5640.0,,aabishkar2_nepse_data,0.7
2011-11-27,KRBL,71.0,72.0,70.0,72.0,,,190.0,13570.0,,aabishkar2_nepse_data,0.7
2011-12-01,KRBL,71.0,70.0,69.0,69.0,,,730.0,51010.0,,aabishkar2_nepse_data,0.7
2011-12-04,KRBL,69.0,69.0,66.0,66.0,,,260.0,17390.0,,aabishkar2_nepse_data,0.7
2011-12-07,KRBL,66.0,65.0,65.0,65.0,,,60.0,3900.0,,aabishkar2_nepse_data,0.7
2011-12-08,KRBL,65.0,66.0,65.0,66.0,,,100.0,6560.0,,aabishkar2_nepse_data,0.7
2011-12-12,KRBL,66.0,65.0,63.0,63.0,,,40.0,2550.0,,aabishkar2_nepse_data,0.7
2011-12-13,KRBL,63.0,64.0,64.0,64.0,,,120.0,7680.0,,aabishkar2_nepse_data,0.7
2011-12-18,KRBL,64.0,68.0,65.0,66.0,,,270.0,17860.0,,aabishkar2_nepse_data,0.7
2011-12-19,KRBL,66.0,66.0,66.0,66.0,,,10.0,660.0,,aabishkar2_nepse_data,0.7
2011-12-20,KRBL,66.0,67.0,67.0,67.0,,,40.0,2680.0,,aabishkar2_nepse_data,0.7
2011-12-22,KRBL,67.0,68.0,67.0,67.0,,,340.0,23110.0,,aabishkar2_nepse_data,0.7
2011-12-26,KRBL,67.0,67.0,65.0,65.0,,,500.0,33100.0,,aabishkar2_nepse_data,0.7
2011-12-27,KRBL,65.0,65.0,63.0,63.0,,,310.0,19810.0,,aabishkar2_nepse_data,0.7
2011-12-28,KRBL,63.0,65.0,61.0,65.0,,,670.0,42550.0,,aabishkar2_nepse_data,0.7
2011-12-29,KRBL,65.0,67.0,66.0,67.0,,,300.0,20000.0,,aabishkar2_nepse_data,0.7
2012-01-01,KRBL,67.0,67.0,66.0,66.0,,,140.0,9330.0,,aabishkar2_nepse_data,0.7
2012-01-02,KRBL,66.0,66.0,65.0,65.0,,,180.0,11800.0,,aabishkar2_nepse_data,0.7
2012-01-03,KRBL,65.0,65.0,65.0,65.0,,,40.0,2600.0,,aabishkar2_nepse_data,0.7
2012-01-04,KRBL,65.0,65.0,64.0,65.0,,,900.0,58000.0,,aabishkar2_nepse_data,0.7
2012-01-05,KRBL,65.0,65.0,64.0,65.0,,,460.0,29740.0,,aabishkar2_nepse_data,0.7
2012-01-08,KRBL,65.0,64.0,64.0,64.0,,,10.0,640.0,,aabishkar2_nepse_data,0.7
2012-01-09,KRBL,64.0,65.0,65.0,65.0,,,110.0,7150.0,,aabishkar2_nepse_data,0.7
2012-01-10,KRBL,65.0,66.0,65.0,65.0,,,630.0,41150.0,,aabishkar2_nepse_data,0.7
2012-01-11,KRBL,65.0,66.0,65.0,65.0,,,180.0,11750.0,,aabishkar2_nepse_data,0.7
2012-01-12,KRBL,65.0,65.0,65.0,65.0,,,70.0,4550.0,,aabishkar2_nepse_data,0.7
2012-01-17,KRBL,65.0,67.0,65.0,67.0,,,30.0,1980.0,,aabishkar2_nepse_data,0.7
2012-01-18,KRBL,67.0,68.0,68.0,68.0,,,10.0,680.0,,aabishkar2_nepse_data,0.7
2012-01-19,KRBL,68.0,69.0,68.0,69.0,,,190.0,13000.0,,aabishkar2_nepse_data,0.7
2012-01-22,KRBL,69.0,68.0,66.0,67.0,,,240.0,15960.0,,aabishkar2_nepse_data,0.7
2012-01-23,KRBL,67.0,69.0,68.0,69.0,,,90.0,6160.0,,aabishkar2_nepse_data,0.7
2012-01-25,KRBL,69.0,69.0,69.0,69.0,,,230.0,15870.0,,aabishkar2_nepse_data,0.7
2012-01-29,KRBL,69.0,70.0,70.0,70.0,,,20.0,1400.0,,aabishkar2_nepse_data,0.7
