date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2019-05-12,MHNL,91.0,91.0,88.0,88.0,,,200.0,17890.0,,aabishkar2_nepse_data,0.7
2019-05-13,MHNL,89.0,93.0,89.0,93.0,,,730.0,65870.0,,aabishkar2_nepse_data,0.7
2019-05-14,MHNL,94.0,94.0,90.0,90.0,,,300.0,27560.0,,aabishkar2_nepse_data,0.7
2019-05-15,MHNL,86.0,89.0,86.0,89.0,,,550.0,48560.0,,aabishkar2_nepse_data,0.7
2019-05-16,MHNL,90.0,92.0,90.0,92.0,,,360.0,32660.0,,aabishkar2_nepse_data,0.7
2019-05-19,MHNL,88.0,94.0,88.0,94.0,,,660.0,60860.0,,aabishkar2_nepse_data,0.7
2019-05-20,MHNL,95.0,98.0,92.0,97.0,,,1540.0,146380.0,,aabishkar2_nepse_data,0.7
2019-05-21,MHNL,96.0,100.0,96.0,99.0,,,1270.0,124620.0,,aabishkar2_nepse_data,0.7
2019-05-22,MHNL,100.0,108.0,100.0,104.0,,,18720.0,2013140.0,,aabishkar2_nepse_data,0.7
2019-05-23,MHNL,106.0,109.0,97.0,99.0,,,5440.0,555350.0,,aabishkar2_nepse_data,0.7
2019-05-26,MHNL,100.0,105.0,100.0,102.0,,,5630.0,574920.0,,aabishkar2_nepse_data,0.7
2019-05-27,MHNL,100.0,107.0,99.0,105.0,,,1040.0,104560.0,,aabishkar2_nepse_data,0.7
2019-05-28,MHNL,102.0,102.0,98.0,98.0,,,2200.0,216430.0,,aabishkar2_nepse_data,0.7
2019-05-29,MHNL,99.0,107.0,99.0,105.0,,,7770.0,817510.0,,aabishkar2_nepse_data,0.7
2019-05-30,MHNL,107.0,113.0,104.0,104.0,,,4820.0,518950.0,,aabishkar2_nepse_data,0.7
2019-06-02,MHNL,102.0,112.0,102.0,110.0,,,790.0,83530.0,,aabishkar2_nepse_data,0.7
2019-06-03,MHNL,108.0,108.0,102.0,104.0,,,1850.0,195990.0,,aabishkar2_nepse_data,0.7
