date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2021-12-08,MKJC,517.5,538.0,500.0,538.0,5559.0,2843827.5,,aabishkar2_nepse_data,0.7
2021-12-09,MKJC,527.3,530.0,507.0,520.0,3576.0,1841363.0,,aabishkar2_nepse_data,0.7
2021-12-12,MKJC,509.6,509.6,470.1,506.0,6650.0,3252850.0,,aabishkar2_nepse_data,0.7
2021-12-13,MKJC,495.9,495.9,458.0,477.0,5768.0,2691366.0,,aabishkar2_nepse_data,0.7
2021-12-14,MKJC,485.0,518.5,458.2,518.5,9465.0,4646099.0,,aabishkar2_nepse_data,0.7
2021-12-15,MKJC,519.0,528.8,490.1,519.0,14255.0,7320306.5,,aabishkar2_nepse_data,0.7
2021-12-16,MKJC,508.7,508.7,480.0,480.0,4875.0,2390478.0,,aabishkar2_nepse_data,0.7
2021-12-20,MKJC,470.4,471.2,441.1,452.0,7119.0,3215133.9,,aabishkar2_nepse_data,0.7
2021-12-21,MKJC,457.0,459.0,436.4,443.0,8661.0,3849123.3,,aabishkar2_nepse_data,0.7
2021-12-22,MKJC,451.8,470.0,444.0,447.0,4255.0,1954094.0,,aabishkar2_nepse_data,0.7
2021-12-23,MKJC,455.0,468.0,444.9,448.0,6635.0,2995650.3,,aabishkar2_nepse_data,0.7
2021-12-26,MKJC,456.0,463.0,442.1,445.9,4808.0,2162715.0,,aabishkar2_nepse_data,0.7
2021-12-27,MKJC,453.9,453.9,416.5,430.0,4649.0,2007627.3,,aabishkar2_nepse_data,0.7
2021-12-28,MKJC,434.0,434.0,409.0,409.0,5055.0,2111389.0,,aabishkar2_nepse_data,0.7
2021-12-29,MKJC,417.1,430.0,409.0,416.8,4132.0,1730523.0,,aabishkar2_nepse_data,0.7
2022-01-02,MKJC,425.0,425.0,410.0,420.0,1877.0,783187.2,,aabishkar2_nepse_data,0.7
2022-01-03,MKJC,411.6,436.0,411.6,423.3,2710.0,1134084.0,,aabishkar2_nepse_data,0.7
2022-01-04,MKJC,422.0,428.0,415.1,428.0,3112.0,1316003.0,,aabishkar2_nepse_data,0.7
2022-01-05,MKJC,428.0,462.7,427.8,445.0,10708.0,4758177.4,,aabishkar2_nepse_data,0.7
2022-01-06,MKJC,445.0,474.3,428.0,474.3,7956.0,3649732.5,,aabishkar2_nepse_data,0.7
