date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2024-01-02,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-03,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-04,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-05,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-08,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-09,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-10,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-11,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-12,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-15,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-16,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-17,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-18,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-19,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-22,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-23,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-24,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-25,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-26,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-29,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-30,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-01-31,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-01,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-02,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-05,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-06,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-07,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-08,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-09,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-12,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-13,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-14,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-15,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-16,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-19,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-20,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-21,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-22,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-23,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-26,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-27,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-28,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2024-02-29,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,sharesansar,0.9
2026-05-02,NABIL,1450.0,1465.0,1445.0,1460.0,50000,73000000,250.0,https://www.sharesansar.com/today-share-price,
