date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2011-05-10,NBB,181.0,178.0,163.0,163.0,1190.0,194420.0,,aabishkar2_nepse_data,0.7
2011-05-11,NBB,163.0,160.0,148.0,148.0,150.0,22845.0,,aabishkar2_nepse_data,0.7
2011-05-12,NBB,148.0,146.0,134.0,136.0,5400.0,730320.0,,aabishkar2_nepse_data,0.7
2011-05-15,NBB,136.0,144.0,134.0,134.0,863.0,119786.0,,aabishkar2_nepse_data,0.7
2011-05-16,NBB,134.0,136.0,134.0,134.0,780.0,104720.0,,aabishkar2_nepse_data,0.7
2011-05-18,NBB,134.0,132.0,130.0,130.0,440.0,57600.0,,aabishkar2_nepse_data,0.7
2011-05-19,NBB,130.0,133.0,130.0,132.0,1570.0,206250.0,,aabishkar2_nepse_data,0.7
2011-05-22,NBB,132.0,132.0,124.0,124.0,2280.0,294720.0,,aabishkar2_nepse_data,0.7
2011-05-23,NBB,124.0,131.0,120.0,131.0,5100.0,626505.0,,aabishkar2_nepse_data,0.7
2011-05-24,NBB,131.0,140.0,131.0,138.0,540.0,73040.0,,aabishkar2_nepse_data,0.7
2011-05-25,NBB,138.0,144.0,140.0,144.0,205.0,29050.0,,aabishkar2_nepse_data,0.7
2011-05-31,NBB,144.0,142.0,132.0,132.0,3553.0,473886.0,,aabishkar2_nepse_data,0.7
2011-06-01,NBB,132.0,134.0,134.0,134.0,20.0,2680.0,,aabishkar2_nepse_data,0.7
2011-06-02,NBB,134.0,132.0,129.0,129.0,600.0,78000.0,,aabishkar2_nepse_data,0.7
2011-06-06,NBB,129.0,127.0,125.0,125.0,160.0,20120.0,,aabishkar2_nepse_data,0.7
2011-06-07,NBB,125.0,127.0,125.0,125.0,502.0,62904.0,,aabishkar2_nepse_data,0.7
2011-06-08,NBB,125.0,127.0,121.0,121.0,190.0,23490.0,,aabishkar2_nepse_data,0.7
2011-06-09,NBB,121.0,127.0,113.0,113.0,610.0,73150.0,,aabishkar2_nepse_data,0.7
2011-06-12,NBB,113.0,111.0,102.0,102.0,2325.0,243225.0,,aabishkar2_nepse_data,0.7
2011-06-13,NBB,102.0,108.0,104.0,105.0,1100.0,116640.0,,aabishkar2_nepse_data,0.7
2011-06-14,NBB,105.0,115.0,107.0,115.0,1390.0,155970.0,,aabishkar2_nepse_data,0.7
2011-06-16,NBB,115.0,114.0,114.0,114.0,300.0,34200.0,,aabishkar2_nepse_data,0.7
2011-06-19,NBB,114.0,124.0,116.0,122.0,1410.0,171990.0,,aabishkar2_nepse_data,0.7
2011-06-20,NBB,114.0,124.0,116.0,122.0,1410.0,171990.0,,aabishkar2_nepse_data,0.7
2011-06-21,NBB,130.0,143.0,130.0,142.0,11068.0,1546216.0,,aabishkar2_nepse_data,0.7
2011-06-23,NBB,142.0,156.0,144.0,145.0,7470.0,1121900.0,,aabishkar2_nepse_data,0.7
2011-06-26,NBB,145.0,154.0,147.0,147.0,810.0,121775.0,,aabishkar2_nepse_data,0.7
2011-06-27,NBB,147.0,145.0,133.0,133.0,3101.0,419067.0,,aabishkar2_nepse_data,0.7
2011-06-29,NBB,133.0,135.0,125.0,126.0,2900.0,368890.0,,aabishkar2_nepse_data,0.7
2011-06-30,NBB,126.0,130.0,126.0,126.0,2960.0,374540.0,,aabishkar2_nepse_data,0.7
2011-07-03,NBB,126.0,124.0,120.0,120.0,270.0,32580.0,,aabishkar2_nepse_data,0.7
2011-07-04,NBB,120.0,124.0,121.0,124.0,238.0,29358.0,,aabishkar2_nepse_data,0.7
2011-07-05,NBB,124.0,127.0,123.0,127.0,850.0,105430.0,,aabishkar2_nepse_data,0.7
2011-07-06,NBB,127.0,132.0,125.0,132.0,1980.0,252500.0,,aabishkar2_nepse_data,0.7
2011-07-10,NBB,132.0,136.0,132.0,132.0,260.0,34700.0,,aabishkar2_nepse_data,0.7
2011-07-11,NBB,132.0,130.0,127.0,127.0,888.0,114811.0,,aabishkar2_nepse_data,0.7
2011-07-12,NBB,127.0,125.0,125.0,125.0,350.0,43750.0,,aabishkar2_nepse_data,0.7
2011-07-13,NBB,125.0,132.0,127.0,132.0,2550.0,330720.0,,aabishkar2_nepse_data,0.7
2011-07-14,NBB,132.0,138.0,130.0,130.0,2275.0,299990.0,,aabishkar2_nepse_data,0.7
2011-07-17,NBB,130.0,143.0,132.0,143.0,5720.0,787450.0,,aabishkar2_nepse_data,0.7
2011-07-18,NBB,143.0,157.0,145.0,157.0,960.0,149910.0,,aabishkar2_nepse_data,0.7
2011-07-19,NBB,157.0,154.0,142.0,142.0,3601.0,518272.0,,aabishkar2_nepse_data,0.7
2011-07-20,NBB,142.0,147.0,143.0,147.0,3248.0,470636.0,,aabishkar2_nepse_data,0.7
2011-07-21,NBB,147.0,149.0,138.0,138.0,2740.0,391340.0,,aabishkar2_nepse_data,0.7
2011-07-24,NBB,138.0,142.0,140.0,140.0,200.0,28100.0,,aabishkar2_nepse_data,0.7
2011-07-25,NBB,140.0,138.0,132.0,132.0,800.0,108700.0,,aabishkar2_nepse_data,0.7
2011-07-27,NBB,132.0,135.0,130.0,130.0,1885.0,247010.0,,aabishkar2_nepse_data,0.7
2011-07-28,NBB,130.0,136.0,130.0,130.0,1270.0,168620.0,,aabishkar2_nepse_data,0.7
2011-07-31,NBB,130.0,130.0,126.0,127.0,2025.0,259200.0,,aabishkar2_nepse_data,0.7
2011-08-02,NBB,127.0,137.0,129.0,135.0,280.0,37600.0,,aabishkar2_nepse_data,0.7
2011-08-03,NBB,135.0,133.0,130.0,130.0,450.0,59500.0,,aabishkar2_nepse_data,0.7
2011-08-04,NBB,130.0,130.0,130.0,130.0,100.0,13000.0,,aabishkar2_nepse_data,0.7
2011-08-09,NBB,130.0,128.0,124.0,125.0,1703.0,214248.0,,aabishkar2_nepse_data,0.7
2011-08-10,NBB,125.0,127.0,121.0,121.0,3395.0,420795.0,,aabishkar2_nepse_data,0.7
2011-08-11,NBB,121.0,129.0,119.0,129.0,6245.0,754580.0,,aabishkar2_nepse_data,0.7
2011-08-15,NBB,129.0,132.0,129.0,131.0,535.0,69190.0,,aabishkar2_nepse_data,0.7
2011-08-17,NBB,131.0,133.0,131.0,131.0,270.0,35610.0,,aabishkar2_nepse_data,0.7
2011-08-18,NBB,131.0,135.0,129.0,135.0,80.0,10550.0,,aabishkar2_nepse_data,0.7
2011-08-22,NBB,135.0,137.0,137.0,137.0,100.0,13700.0,,aabishkar2_nepse_data,0.7
2011-08-23,NBB,137.0,139.0,139.0,139.0,30.0,4170.0,,aabishkar2_nepse_data,0.7
2011-08-24,NBB,139.0,137.0,126.0,126.0,3728.0,473531.0,,aabishkar2_nepse_data,0.7
2011-08-25,NBB,126.0,124.0,122.0,122.0,663.0,81886.0,,aabishkar2_nepse_data,0.7
2011-08-28,NBB,122.0,120.0,116.0,118.0,395.0,46040.0,,aabishkar2_nepse_data,0.7
2011-08-29,NBB,118.0,120.0,116.0,120.0,2855.0,335250.0,,aabishkar2_nepse_data,0.7
2011-08-30,NBB,120.0,126.0,122.0,123.0,1115.0,136730.0,,aabishkar2_nepse_data,0.7
2011-09-01,NBB,123.0,125.0,122.0,125.0,665.0,81895.0,,aabishkar2_nepse_data,0.7
2011-09-07,NBB,125.0,123.0,123.0,123.0,75.0,9225.0,,aabishkar2_nepse_data,0.7
2011-09-12,NBB,123.0,121.0,121.0,121.0,625.0,75625.0,,aabishkar2_nepse_data,0.7
2011-09-13,NBB,121.0,119.0,114.0,114.0,500.0,57955.0,,aabishkar2_nepse_data,0.7
2011-09-14,NBB,114.0,114.0,111.0,111.0,1625.0,182580.0,,aabishkar2_nepse_data,0.7
2011-09-15,NBB,111.0,112.0,108.0,112.0,531.0,58579.0,,aabishkar2_nepse_data,0.7
2011-09-18,NBB,112.0,111.0,102.0,106.0,3518.0,366800.0,,aabishkar2_nepse_data,0.7
2011-09-20,NBB,106.0,114.0,108.0,114.0,1445.0,159640.0,,aabishkar2_nepse_data,0.7
2011-09-21,NBB,114.0,117.0,116.0,117.0,185.0,21515.0,,aabishkar2_nepse_data,0.7
2011-09-22,NBB,117.0,119.0,115.0,115.0,295.0,34605.0,,aabishkar2_nepse_data,0.7
2011-09-25,NBB,115.0,118.0,115.0,118.0,1095.0,127095.0,,aabishkar2_nepse_data,0.7
2011-09-26,NBB,118.0,121.0,119.0,119.0,490.0,58350.0,,aabishkar2_nepse_data,0.7
2011-09-27,NBB,119.0,117.0,109.0,115.0,3065.0,341345.0,,aabishkar2_nepse_data,0.7
2011-09-29,NBB,115.0,116.0,115.0,115.0,2075.0,239125.0,,aabishkar2_nepse_data,0.7
2011-10-10,NBB,115.0,117.0,115.0,115.0,500.0,58100.0,,aabishkar2_nepse_data,0.7
