date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2018-01-01,NHDL,211.0,217.0,211.0,217.0,,,80.0,17150.0,,aabishkar2_nepse_data,0.7
2018-01-02,NHDL,217.0,221.0,213.0,218.0,,,130.0,28400.0,,aabishkar2_nepse_data,0.7
2018-01-03,NHDL,218.0,216.0,214.0,216.0,,,40.0,8610.0,,aabishkar2_nepse_data,0.7
2018-01-04,NHDL,216.0,217.0,212.0,217.0,,,50.0,10670.0,,aabishkar2_nepse_data,0.7
2018-01-07,NHDL,217.0,220.0,216.0,220.0,,,160.0,35160.0,,aabishkar2_nepse_data,0.7
2018-01-08,NHDL,220.0,229.0,220.0,229.0,,,270.0,60960.0,,aabishkar2_nepse_data,0.7
2018-01-09,NHDL,229.0,229.0,227.0,229.0,,,110.0,25080.0,,aabishkar2_nepse_data,0.7
2018-01-10,NHDL,229.0,229.0,221.0,229.0,,,90.0,20220.0,,aabishkar2_nepse_data,0.7
2018-01-14,NHDL,229.0,230.0,222.0,222.0,,,90.0,20100.0,,aabishkar2_nepse_data,0.7
2018-01-16,NHDL,222.0,218.0,215.0,215.0,,,90.0,19420.0,,aabishkar2_nepse_data,0.7
2018-01-17,NHDL,215.0,219.0,213.0,216.0,,,423.0,92247.0,,aabishkar2_nepse_data,0.7
2018-01-21,NHDL,216.0,218.0,212.0,215.0,,,220.0,47410.0,,aabishkar2_nepse_data,0.7
2018-01-22,NHDL,215.0,218.0,211.0,216.0,,,120.0,25910.0,,aabishkar2_nepse_data,0.7
2018-01-23,NHDL,216.0,214.0,212.0,213.0,,,110.0,23410.0,,aabishkar2_nepse_data,0.7
2018-01-24,NHDL,213.0,220.0,214.0,220.0,,,340.0,74270.0,,aabishkar2_nepse_data,0.7
2018-01-25,NHDL,220.0,220.0,216.0,216.0,,,90.0,19550.0,,aabishkar2_nepse_data,0.7
2018-01-28,NHDL,216.0,215.0,212.0,215.0,,,100.0,21350.0,,aabishkar2_nepse_data,0.7
2018-01-29,NHDL,215.0,218.0,213.0,215.0,,,250.0,53850.0,,aabishkar2_nepse_data,0.7
2018-01-31,NHDL,215.0,213.0,208.0,210.0,,,160.0,33860.0,,aabishkar2_nepse_data,0.7
2018-02-01,NHDL,210.0,207.0,206.0,207.0,,,70.0,14480.0,,aabishkar2_nepse_data,0.7
2018-02-04,NHDL,207.0,209.0,207.0,207.0,,,300.0,62310.0,,aabishkar2_nepse_data,0.7
2018-02-05,NHDL,207.0,206.0,204.0,204.0,,,70.0,14300.0,,aabishkar2_nepse_data,0.7
2018-02-06,NHDL,204.0,204.0,204.0,204.0,,,40.0,8160.0,,aabishkar2_nepse_data,0.7
2018-02-07,NHDL,204.0,208.0,204.0,207.0,,,880.0,179800.0,,aabishkar2_nepse_data,0.7
2018-02-08,NHDL,207.0,209.0,202.0,207.0,,,70.0,14350.0,,aabishkar2_nepse_data,0.7
2018-02-11,NHDL,207.0,211.0,208.0,211.0,,,140.0,29400.0,,aabishkar2_nepse_data,0.7
2018-02-12,NHDL,211.0,208.0,208.0,208.0,,,30.0,6240.0,,aabishkar2_nepse_data,0.7
2018-02-14,NHDL,208.0,215.0,200.0,215.0,,,330.0,69390.0,,aabishkar2_nepse_data,0.7
2018-02-15,NHDL,215.0,222.0,216.0,218.0,,,190.0,41580.0,,aabishkar2_nepse_data,0.7
2018-02-18,NHDL,222.0,222.0,211.0,211.0,,,520.0,112990.0,,aabishkar2_nepse_data,0.7
2018-02-20,NHDL,210.0,214.0,210.0,212.0,,,130.0,27570.0,,aabishkar2_nepse_data,0.7
2018-02-21,NHDL,208.0,214.0,208.0,214.0,,,100.0,20950.0,,aabishkar2_nepse_data,0.7
2018-02-22,NHDL,210.0,214.0,210.0,213.0,,,540.0,115310.0,,aabishkar2_nepse_data,0.7
2018-02-25,NHDL,210.0,210.0,203.0,210.0,,,160.0,33470.0,,aabishkar2_nepse_data,0.7
2018-02-26,NHDL,213.0,213.0,205.0,206.0,,,50.0,10460.0,,aabishkar2_nepse_data,0.7
2018-02-27,NHDL,206.0,206.0,206.0,206.0,,,10.0,2060.0,,aabishkar2_nepse_data,0.7
2018-02-28,NHDL,202.0,205.0,202.0,203.0,,,70.0,14180.0,,aabishkar2_nepse_data,0.7
2018-03-04,NHDL,199.0,199.0,196.0,196.0,,,170.0,33700.0,,aabishkar2_nepse_data,0.7
2018-03-06,NHDL,199.0,199.0,187.0,190.0,,,220.0,42580.0,,aabishkar2_nepse_data,0.7
2018-03-07,NHDL,187.0,196.0,184.0,196.0,,,70.0,13270.0,,aabishkar2_nepse_data,0.7
2018-03-11,NHDL,194.0,197.0,194.0,194.0,,,1866.0,364304.0,,aabishkar2_nepse_data,0.7
2018-03-12,NHDL,197.0,198.0,194.0,198.0,,,130.0,25640.0,,aabishkar2_nepse_data,0.7
2018-03-13,NHDL,199.0,199.0,199.0,199.0,,,10.0,1990.0,,aabishkar2_nepse_data,0.7
2018-03-14,NHDL,199.0,199.0,199.0,199.0,,,10.0,1990.0,,aabishkar2_nepse_data,0.7
