date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2020-09-09,NRN,374.0,374.0,354.0,354.0,,,14498.0,5145882.0,,aabishkar2_nepse_data,0.7
2020-09-10,NRN,337.0,389.0,319.0,389.0,,,83295.0,28900909.0,,aabishkar2_nepse_data,0.7
2020-09-13,NRN,408.0,427.0,408.0,427.0,,,71494.0,30413883.0,,aabishkar2_nepse_data,0.7
2020-09-14,NRN,448.0,456.0,400.0,416.0,,,115029.0,48817754.0,,aabishkar2_nepse_data,0.7
2020-09-15,NRN,436.0,436.0,400.0,408.0,,,40769.0,16625804.0,,aabishkar2_nepse_data,0.7
2020-09-16,NRN,408.0,412.0,400.0,406.0,,,28882.0,11725930.0,,aabishkar2_nepse_data,0.7
2020-09-17,NRN,401.0,405.0,398.0,401.0,,,37908.0,15184272.0,,aabishkar2_nepse_data,0.7
2020-09-20,NRN,395.0,396.0,385.0,387.0,,,37140.0,14379455.0,,aabishkar2_nepse_data,0.7
2020-09-21,NRN,370.0,380.0,370.0,371.0,,,45446.0,16918850.0,,aabishkar2_nepse_data,0.7
2020-09-22,NRN,366.0,367.0,358.0,360.0,,,42449.0,15355897.0,,aabishkar2_nepse_data,0.7
2020-09-23,NRN,358.0,386.0,355.0,375.0,,,26060.0,9547070.0,,aabishkar2_nepse_data,0.7
2020-09-24,NRN,375.0,380.0,369.0,375.0,,,19135.0,7183145.0,,aabishkar2_nepse_data,0.7
2020-09-27,NRN,371.0,374.0,364.0,368.0,,,16779.0,6193073.0,,aabishkar2_nepse_data,0.7
2020-09-28,NRN,351.0,369.0,351.0,365.0,,,17357.0,6307747.0,,aabishkar2_nepse_data,0.7
2020-09-29,NRN,361.0,366.0,358.0,359.0,,,31940.0,11525000.0,,aabishkar2_nepse_data,0.7
2020-09-30,NRN,355.0,360.0,355.0,357.0,,,24501.0,8761426.0,,aabishkar2_nepse_data,0.7
2020-10-01,NRN,352.0,377.0,352.0,359.0,,,30235.0,10918760.0,,aabishkar2_nepse_data,0.7
2020-10-04,NRN,359.0,368.0,356.0,362.0,,,24105.0,8719500.0,,aabishkar2_nepse_data,0.7
2020-10-05,NRN,357.0,363.0,357.0,358.0,,,15312.0,5505303.0,,aabishkar2_nepse_data,0.7
2020-10-06,NRN,365.0,365.0,355.0,357.0,,,14308.0,5103312.0,,aabishkar2_nepse_data,0.7
2020-10-07,NRN,352.0,371.0,352.0,371.0,,,25735.0,9246946.0,,aabishkar2_nepse_data,0.7
2020-10-08,NRN,364.0,371.0,359.0,360.0,,,15029.0,5460448.0,,aabishkar2_nepse_data,0.7
2020-10-11,NRN,365.0,370.0,351.0,357.0,,,9160.0,3253860.0,,aabishkar2_nepse_data,0.7
2020-10-12,NRN,354.0,357.0,353.0,354.0,,,12798.0,4540357.0,,aabishkar2_nepse_data,0.7
2020-10-13,NRN,350.0,358.0,350.0,354.0,,,10920.0,3865880.0,,aabishkar2_nepse_data,0.7
2020-10-14,NRN,352.0,353.0,345.0,350.0,,,17455.0,6099140.0,,aabishkar2_nepse_data,0.7
2020-10-15,NRN,350.0,355.0,347.0,350.0,,,10859.0,3794565.0,,aabishkar2_nepse_data,0.7
2020-10-18,NRN,344.0,350.0,342.0,346.0,,,7560.0,2624720.0,,aabishkar2_nepse_data,0.7
2020-10-19,NRN,342.0,361.0,342.0,347.0,,,7100.0,2480040.0,,aabishkar2_nepse_data,0.7
2020-10-20,NRN,343.0,360.0,343.0,353.0,,,5910.0,2079340.0,,aabishkar2_nepse_data,0.7
2020-10-21,NRN,360.0,364.0,350.0,353.0,,,14264.0,5056432.0,,aabishkar2_nepse_data,0.7
2020-10-22,NRN,346.0,360.0,346.0,352.0,,,7400.0,2592780.0,,aabishkar2_nepse_data,0.7
2020-10-28,NRN,345.0,353.0,345.0,351.0,,,8865.0,3111115.0,,aabishkar2_nepse_data,0.7
2020-10-29,NRN,340.0,353.0,340.0,350.0,,,16375.0,5722450.0,,aabishkar2_nepse_data,0.7
2020-11-01,NRN,350.0,354.0,341.0,348.0,,,11915.0,4107665.0,,aabishkar2_nepse_data,0.7
2020-11-02,NRN,342.0,350.0,342.0,347.0,,,11672.0,4052815.0,,aabishkar2_nepse_data,0.7
2020-11-03,NRN,341.0,350.0,341.0,345.0,,,9276.0,3200632.0,,aabishkar2_nepse_data,0.7
2020-11-04,NRN,350.0,350.0,343.0,347.0,,,10345.0,3564840.0,,aabishkar2_nepse_data,0.7
2020-11-05,NRN,355.0,355.0,342.0,342.0,,,12990.0,4475911.0,,aabishkar2_nepse_data,0.7
2020-11-08,NRN,340.0,345.0,340.0,342.0,,,20365.0,6976230.0,,aabishkar2_nepse_data,0.7
2020-11-09,NRN,345.0,366.0,342.0,353.0,,,31120.0,10977894.0,,aabishkar2_nepse_data,0.7
2020-11-10,NRN,355.0,360.0,350.0,353.0,,,13169.0,4649869.0,,aabishkar2_nepse_data,0.7
2020-11-11,NRN,347.0,386.0,347.0,374.0,,,47089.0,17426869.0,,aabishkar2_nepse_data,0.7
2020-11-12,NRN,380.0,380.0,359.0,362.0,,,47620.0,17327324.0,,aabishkar2_nepse_data,0.7
