date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2011-03-25,PLIC,190.0,189.0,185.0,187.0,1030.0,192990.0,,aabishkar2_nepse_data,0.7
2011-03-27,PLIC,187.0,188.0,181.0,181.0,1820.0,336480.0,,aabishkar2_nepse_data,0.7
2011-03-28,PLIC,181.0,180.0,177.0,179.0,1370.0,245080.0,,aabishkar2_nepse_data,0.7
2011-03-29,PLIC,179.0,180.0,180.0,180.0,60.0,10800.0,,aabishkar2_nepse_data,0.7
2011-03-30,PLIC,180.0,183.0,180.0,180.0,230.0,41460.0,,aabishkar2_nepse_data,0.7
2011-03-31,PLIC,180.0,194.0,182.0,194.0,970.0,183940.0,,aabishkar2_nepse_data,0.7
2011-04-04,PLIC,194.0,196.0,194.0,196.0,520.0,101680.0,,aabishkar2_nepse_data,0.7
2011-04-05,PLIC,196.0,197.0,184.0,184.0,2060.0,400670.0,,aabishkar2_nepse_data,0.7
2011-04-06,PLIC,184.0,185.0,179.0,181.0,840.0,152930.0,,aabishkar2_nepse_data,0.7
2011-04-07,PLIC,181.0,184.0,176.0,180.0,1920.0,348000.0,,aabishkar2_nepse_data,0.7
2011-04-10,PLIC,180.0,180.0,176.0,176.0,1110.0,199280.0,,aabishkar2_nepse_data,0.7
2011-04-11,PLIC,176.0,178.0,175.0,176.0,530.0,93310.0,,aabishkar2_nepse_data,0.7
2011-04-17,PLIC,176.0,174.0,170.0,170.0,750.0,129190.0,,aabishkar2_nepse_data,0.7
2011-04-18,PLIC,170.0,173.0,168.0,173.0,650.0,109950.0,,aabishkar2_nepse_data,0.7
2011-04-19,PLIC,173.0,172.0,168.0,172.0,640.0,108560.0,,aabishkar2_nepse_data,0.7
2011-04-20,PLIC,172.0,174.0,166.0,170.0,910.0,154740.0,,aabishkar2_nepse_data,0.7
2011-04-21,PLIC,170.0,173.0,168.0,169.0,940.0,160220.0,,aabishkar2_nepse_data,0.7
2011-04-25,PLIC,169.0,170.0,164.0,164.0,150.0,24720.0,,aabishkar2_nepse_data,0.7
2011-04-27,PLIC,164.0,166.0,162.0,162.0,330.0,53700.0,,aabishkar2_nepse_data,0.7
2011-04-28,PLIC,162.0,169.0,160.0,169.0,450.0,74240.0,,aabishkar2_nepse_data,0.7
2011-05-02,PLIC,169.0,169.0,157.0,163.0,670.0,108600.0,,aabishkar2_nepse_data,0.7
2011-05-03,PLIC,163.0,162.0,148.0,151.0,980.0,149750.0,,aabishkar2_nepse_data,0.7
2011-05-04,PLIC,151.0,162.0,154.0,162.0,550.0,86650.0,,aabishkar2_nepse_data,0.7
2011-05-05,PLIC,162.0,162.0,159.0,162.0,80.0,12780.0,,aabishkar2_nepse_data,0.7
2011-05-08,PLIC,162.0,169.0,163.0,166.0,390.0,64200.0,,aabishkar2_nepse_data,0.7
2011-05-10,PLIC,166.0,166.0,155.0,159.0,1590.0,252310.0,,aabishkar2_nepse_data,0.7
2011-05-11,PLIC,159.0,162.0,160.0,161.0,470.0,75750.0,,aabishkar2_nepse_data,0.7
2011-05-12,PLIC,161.0,160.0,152.0,156.0,580.0,90680.0,,aabishkar2_nepse_data,0.7
2011-05-15,PLIC,156.0,156.0,150.0,155.0,1060.0,163130.0,,aabishkar2_nepse_data,0.7
2011-05-16,PLIC,155.0,158.0,152.0,158.0,410.0,63180.0,,aabishkar2_nepse_data,0.7
2011-05-18,PLIC,158.0,159.0,155.0,158.0,310.0,48680.0,,aabishkar2_nepse_data,0.7
2011-05-19,PLIC,158.0,157.0,154.0,155.0,360.0,55820.0,,aabishkar2_nepse_data,0.7
2011-05-22,PLIC,155.0,154.0,151.0,151.0,180.0,27420.0,,aabishkar2_nepse_data,0.7
2011-05-23,PLIC,151.0,151.0,151.0,151.0,10.0,1510.0,,aabishkar2_nepse_data,0.7
2011-05-24,PLIC,151.0,159.0,151.0,159.0,460.0,72700.0,,aabishkar2_nepse_data,0.7
2011-05-25,PLIC,159.0,159.0,154.0,156.0,650.0,102190.0,,aabishkar2_nepse_data,0.7
2011-05-26,PLIC,156.0,160.0,155.0,160.0,2230.0,348110.0,,aabishkar2_nepse_data,0.7
2011-05-30,PLIC,160.0,160.0,157.0,157.0,80.0,12620.0,,aabishkar2_nepse_data,0.7
2011-05-31,PLIC,157.0,163.0,160.0,163.0,390.0,63000.0,,aabishkar2_nepse_data,0.7
2011-06-01,PLIC,163.0,160.0,148.0,150.0,500.0,76050.0,,aabishkar2_nepse_data,0.7
2011-06-02,PLIC,150.0,151.0,147.0,151.0,430.0,64360.0,,aabishkar2_nepse_data,0.7
2011-06-05,PLIC,151.0,150.0,149.0,150.0,120.0,17940.0,,aabishkar2_nepse_data,0.7
2011-06-06,PLIC,150.0,153.0,150.0,153.0,220.0,33540.0,,aabishkar2_nepse_data,0.7
2011-06-07,PLIC,153.0,150.0,144.0,144.0,1300.0,190020.0,,aabishkar2_nepse_data,0.7
2011-06-08,PLIC,144.0,142.0,134.0,135.0,1710.0,233300.0,,aabishkar2_nepse_data,0.7
2011-06-09,PLIC,135.0,145.0,137.0,145.0,520.0,72580.0,,aabishkar2_nepse_data,0.7
2011-06-12,PLIC,145.0,145.0,143.0,143.0,1440.0,208740.0,,aabishkar2_nepse_data,0.7
2011-06-13,PLIC,143.0,142.0,140.0,140.0,240.0,33680.0,,aabishkar2_nepse_data,0.7
2011-06-15,PLIC,140.0,140.0,140.0,140.0,240.0,33600.0,,aabishkar2_nepse_data,0.7
2011-06-16,PLIC,140.0,139.0,134.0,138.0,960.0,132890.0,,aabishkar2_nepse_data,0.7
2011-06-19,PLIC,138.0,142.0,140.0,142.0,3100.0,434160.0,,aabishkar2_nepse_data,0.7
2011-06-20,PLIC,138.0,142.0,140.0,142.0,3100.0,434160.0,,aabishkar2_nepse_data,0.7
2011-06-21,PLIC,156.0,171.0,159.0,171.0,190.0,31830.0,,aabishkar2_nepse_data,0.7
2011-06-23,PLIC,171.0,188.0,174.0,188.0,930.0,173100.0,,aabishkar2_nepse_data,0.7
2011-06-26,PLIC,188.0,191.0,191.0,191.0,20.0,3820.0,,aabishkar2_nepse_data,0.7
2011-06-29,PLIC,191.0,182.0,182.0,182.0,80.0,14560.0,,aabishkar2_nepse_data,0.7
2011-06-30,PLIC,182.0,173.0,164.0,164.0,1420.0,242180.0,,aabishkar2_nepse_data,0.7
