date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2019-08-01,PPCL,133.0,137.0,131.0,135.0,730.0,96770.0,,aabishkar2_nepse_data,0.7
2019-08-04,PPCL,133.0,133.0,130.0,131.0,1860.0,243710.0,,aabishkar2_nepse_data,0.7
2019-08-05,PPCL,129.0,132.0,129.0,132.0,970.0,126710.0,,aabishkar2_nepse_data,0.7
2019-08-06,PPCL,130.0,133.0,128.0,133.0,840.0,109220.0,,aabishkar2_nepse_data,0.7
2019-08-07,PPCL,131.0,137.0,128.0,137.0,1060.0,137440.0,,aabishkar2_nepse_data,0.7
2019-08-11,PPCL,135.0,135.0,126.0,126.0,870.0,110760.0,,aabishkar2_nepse_data,0.7
2019-08-12,PPCL,125.0,127.0,124.0,126.0,1860.0,233940.0,,aabishkar2_nepse_data,0.7
2019-08-13,PPCL,125.0,126.0,119.0,122.0,8400.0,1025560.0,,aabishkar2_nepse_data,0.7
2019-08-14,PPCL,120.0,122.0,120.0,120.0,900.0,108580.0,,aabishkar2_nepse_data,0.7
2019-08-15,PPCL,118.0,119.0,114.0,116.0,1220.0,142760.0,,aabishkar2_nepse_data,0.7
2019-08-18,PPCL,114.0,117.0,113.0,117.0,1000.0,114110.0,,aabishkar2_nepse_data,0.7
2019-08-19,PPCL,115.0,117.0,113.0,115.0,1165.0,133935.0,,aabishkar2_nepse_data,0.7
2019-08-20,PPCL,113.0,113.0,104.0,104.0,19951.0,2101114.0,,aabishkar2_nepse_data,0.7
2019-08-21,PPCL,102.0,99.0,100.0,109.0,6490.0,656724.0,,aabishkar2_nepse_data,0.7
2019-08-22,PPCL,107.0,111.0,105.0,111.0,3900.0,413090.0,,aabishkar2_nepse_data,0.7
2019-08-25,PPCL,109.0,109.0,101.0,103.0,1000.0,102980.0,,aabishkar2_nepse_data,0.7
2019-08-26,PPCL,102.0,105.0,102.0,105.0,620.0,63540.0,,aabishkar2_nepse_data,0.7
2019-08-27,PPCL,103.0,103.0,102.0,102.0,340.0,34810.0,,aabishkar2_nepse_data,0.7
2019-08-28,PPCL,100.0,103.0,100.0,102.0,2530.0,257850.0,,aabishkar2_nepse_data,0.7
2019-08-29,PPCL,100.0,102.0,100.0,100.0,580.0,58350.0,,aabishkar2_nepse_data,0.7
