date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2019-08-11,RHPL,210.0,219.0,207.0,214.0,,,217982.0,45959468.0,,aabishkar2_nepse_data,0.7
2019-08-12,RHPL,212.0,216.0,210.0,212.0,,,120516.0,25688270.0,,aabishkar2_nepse_data,0.7
2019-08-13,RHPL,212.0,215.0,210.0,211.0,,,67725.0,14345573.0,,aabishkar2_nepse_data,0.7
2019-08-14,RHPL,209.0,212.0,207.0,208.0,,,75889.0,15871479.0,,aabishkar2_nepse_data,0.7
2019-08-15,RHPL,204.0,212.0,204.0,210.0,,,42895.0,8952760.0,,aabishkar2_nepse_data,0.7
2019-08-18,RHPL,210.0,211.0,205.0,205.0,,,82602.0,17052528.0,,aabishkar2_nepse_data,0.7
2019-08-19,RHPL,205.0,208.0,200.0,206.0,,,105338.0,21516356.0,,aabishkar2_nepse_data,0.7
2019-08-20,RHPL,206.0,207.0,200.0,207.0,,,81600.0,16560280.0,,aabishkar2_nepse_data,0.7
2019-08-21,RHPL,203.0,204.0,200.0,200.0,,,47080.0,9448315.0,,aabishkar2_nepse_data,0.7
2019-08-22,RHPL,200.0,203.0,200.0,200.0,,,31447.0,6318507.0,,aabishkar2_nepse_data,0.7
2019-08-25,RHPL,200.0,202.0,192.0,195.0,,,55104.0,10742252.0,,aabishkar2_nepse_data,0.7
2019-08-26,RHPL,195.0,195.0,187.0,187.0,,,45230.0,8546790.0,,aabishkar2_nepse_data,0.7
2019-08-27,RHPL,187.0,195.0,185.0,191.0,,,27836.0,5290598.0,,aabishkar2_nepse_data,0.7
2019-08-28,RHPL,188.0,190.0,184.0,185.0,,,15595.0,2896715.0,,aabishkar2_nepse_data,0.7
2019-08-29,RHPL,182.0,187.0,182.0,185.0,,,31482.0,5802952.0,,aabishkar2_nepse_data,0.7
2019-09-01,RHPL,185.0,185.0,174.0,174.0,,,39290.0,7034340.0,,aabishkar2_nepse_data,0.7
2019-09-02,RHPL,172.0,174.0,170.0,173.0,,,32525.0,5584080.0,,aabishkar2_nepse_data,0.7
2019-09-03,RHPL,173.0,179.0,167.0,179.0,,,31313.0,5396414.0,,aabishkar2_nepse_data,0.7
2019-09-04,RHPL,181.0,181.0,172.0,177.0,,,25040.0,4403430.0,,aabishkar2_nepse_data,0.7
2019-09-05,RHPL,177.0,177.0,171.0,173.0,,,31245.0,5414465.0,,aabishkar2_nepse_data,0.7
2019-09-08,RHPL,173.0,176.0,168.0,168.0,,,19940.0,3393376.0,,aabishkar2_nepse_data,0.7
2019-09-09,RHPL,170.0,170.0,166.0,166.0,,,22735.0,3803325.0,,aabishkar2_nepse_data,0.7
2019-09-10,RHPL,166.0,170.0,160.0,161.0,,,45858.0,7449020.0,,aabishkar2_nepse_data,0.7
2019-09-11,RHPL,161.0,164.0,160.0,161.0,,,20610.0,3318470.0,,aabishkar2_nepse_data,0.7
2019-09-12,RHPL,158.0,162.0,158.0,158.0,,,28131.0,4486298.0,,aabishkar2_nepse_data,0.7
2019-09-15,RHPL,158.0,159.0,152.0,154.0,,,56655.0,8812910.0,,aabishkar2_nepse_data,0.7
2019-09-16,RHPL,152.0,159.0,151.0,155.0,,,38818.0,6026696.0,,aabishkar2_nepse_data,0.7
2019-09-17,RHPL,155.0,170.0,153.0,167.0,,,73396.0,11517294.0,,aabishkar2_nepse_data,0.7
2019-09-18,RHPL,168.0,172.0,162.0,169.0,,,78420.0,13065398.0,,aabishkar2_nepse_data,0.7
2019-09-19,RHPL,168.0,169.0,164.0,165.0,,,27410.0,4554790.0,,aabishkar2_nepse_data,0.7
2019-09-22,RHPL,163.0,163.0,155.0,155.0,,,32550.0,5104320.0,,aabishkar2_nepse_data,0.7
2019-09-23,RHPL,155.0,161.0,153.0,154.0,,,27512.0,4285448.0,,aabishkar2_nepse_data,0.7
2019-09-24,RHPL,153.0,156.0,153.0,155.0,,,14940.0,2311310.0,,aabishkar2_nepse_data,0.7
2019-09-25,RHPL,153.0,159.0,153.0,157.0,,,23697.0,3716505.0,,aabishkar2_nepse_data,0.7
2019-09-26,RHPL,155.0,161.0,155.0,157.0,,,29355.0,4626660.0,,aabishkar2_nepse_data,0.7
2019-09-29,RHPL,155.0,161.0,155.0,156.0,,,25010.0,3919780.0,,aabishkar2_nepse_data,0.7
2019-09-30,RHPL,156.0,161.0,156.0,160.0,,,10185.0,1607130.0,,aabishkar2_nepse_data,0.7
2019-10-01,RHPL,160.0,161.0,158.0,159.0,,,14012.0,2233706.0,,aabishkar2_nepse_data,0.7
2019-10-02,RHPL,159.0,162.0,157.0,158.0,,,14100.0,2249340.0,,aabishkar2_nepse_data,0.7
2019-10-03,RHPL,161.0,161.0,158.0,160.0,,,18535.0,2961030.0,,aabishkar2_nepse_data,0.7
2019-10-10,RHPL,158.0,162.0,158.0,161.0,,,5720.0,921630.0,,aabishkar2_nepse_data,0.7
2019-10-14,RHPL,163.0,163.0,158.0,158.0,,,6600.0,1045780.0,,aabishkar2_nepse_data,0.7
2019-10-15,RHPL,160.0,161.0,159.0,159.0,,,8600.0,1374390.0,,aabishkar2_nepse_data,0.7
2019-10-16,RHPL,159.0,163.0,159.0,161.0,,,15173.0,2449539.0,,aabishkar2_nepse_data,0.7
2019-10-17,RHPL,161.0,167.0,158.0,167.0,,,17962.0,2937949.0,,aabishkar2_nepse_data,0.7
2019-10-20,RHPL,167.0,167.0,161.0,166.0,,,20430.0,3342590.0,,aabishkar2_nepse_data,0.7
2019-10-21,RHPL,166.0,166.0,163.0,165.0,,,12250.0,2014510.0,,aabishkar2_nepse_data,0.7
2019-10-22,RHPL,165.0,174.0,163.0,169.0,,,22444.0,3751298.0,,aabishkar2_nepse_data,0.7
2019-10-23,RHPL,169.0,180.0,167.0,174.0,,,26193.0,4571307.0,,aabishkar2_nepse_data,0.7
2019-10-24,RHPL,175.0,182.0,172.0,180.0,,,63175.0,11303825.0,,aabishkar2_nepse_data,0.7
2019-10-31,RHPL,181.0,184.0,172.0,175.0,,,22420.0,3936640.0,,aabishkar2_nepse_data,0.7
2019-11-03,RHPL,175.0,177.0,170.0,171.0,,,23491.0,4061574.0,,aabishkar2_nepse_data,0.7
2019-11-04,RHPL,171.0,174.0,169.0,172.0,,,14780.0,2515120.0,,aabishkar2_nepse_data,0.7
2019-11-05,RHPL,171.0,173.0,170.0,171.0,,,10196.0,1746556.0,,aabishkar2_nepse_data,0.7
2019-11-06,RHPL,170.0,173.0,170.0,172.0,,,13085.0,2243640.0,,aabishkar2_nepse_data,0.7
2019-11-07,RHPL,172.0,172.0,169.0,171.0,,,9850.0,1672980.0,,aabishkar2_nepse_data,0.7
2019-11-10,RHPL,170.0,172.0,167.0,172.0,,,23095.0,3906770.0,,aabishkar2_nepse_data,0.7
2019-11-11,RHPL,175.0,176.0,168.0,170.0,,,23960.0,4057100.0,,aabishkar2_nepse_data,0.7
2019-11-12,RHPL,167.0,170.0,167.0,168.0,,,16365.0,2748740.0,,aabishkar2_nepse_data,0.7
2019-11-13,RHPL,167.0,169.0,166.0,167.0,,,14885.0,2484780.0,,aabishkar2_nepse_data,0.7
2019-11-14,RHPL,167.0,170.0,166.0,169.0,,,29211.0,4913870.0,,aabishkar2_nepse_data,0.7
2019-11-17,RHPL,169.0,169.0,166.0,166.0,,,23170.0,3873810.0,,aabishkar2_nepse_data,0.7
2019-11-18,RHPL,165.0,166.0,162.0,166.0,,,13089.0,2147357.0,,aabishkar2_nepse_data,0.7
2019-11-19,RHPL,164.0,165.0,163.0,163.0,,,9551.0,1562793.0,,aabishkar2_nepse_data,0.7
2019-11-20,RHPL,162.0,169.0,162.0,164.0,,,11875.0,1949300.0,,aabishkar2_nepse_data,0.7
2019-11-21,RHPL,164.0,166.0,162.0,166.0,,,16819.0,2752744.0,,aabishkar2_nepse_data,0.7
2019-11-24,RHPL,167.0,167.0,162.0,163.0,,,5791.0,946537.0,,aabishkar2_nepse_data,0.7
2019-11-25,RHPL,162.0,164.0,162.0,163.0,,,15870.0,2583480.0,,aabishkar2_nepse_data,0.7
2019-11-26,RHPL,163.0,163.0,162.0,162.0,,,14800.0,2400450.0,,aabishkar2_nepse_data,0.7
2019-11-27,RHPL,162.0,166.0,161.0,164.0,,,9754.0,1592634.0,,aabishkar2_nepse_data,0.7
2019-11-28,RHPL,165.0,166.0,163.0,163.0,,,8200.0,1340790.0,,aabishkar2_nepse_data,0.7
2019-12-01,RHPL,163.0,165.0,163.0,164.0,,,9217.0,1514268.0,,aabishkar2_nepse_data,0.7
2019-12-02,RHPL,166.0,169.0,164.0,166.0,,,17920.0,2990640.0,,aabishkar2_nepse_data,0.7
2019-12-03,RHPL,167.0,171.0,166.0,169.0,,,22080.0,3732970.0,,aabishkar2_nepse_data,0.7
2019-12-04,RHPL,169.0,175.0,169.0,172.0,,,18185.0,3136410.0,,aabishkar2_nepse_data,0.7
2019-12-05,RHPL,172.0,175.0,170.0,173.0,,,15070.0,2594060.0,,aabishkar2_nepse_data,0.7
2019-12-08,RHPL,170.0,172.0,169.0,171.0,,,10250.0,1741670.0,,aabishkar2_nepse_data,0.7
2019-12-09,RHPL,171.0,177.0,170.0,172.0,,,18712.0,3252804.0,,aabishkar2_nepse_data,0.7
2019-12-10,RHPL,174.0,177.0,171.0,171.0,,,18560.0,3206250.0,,aabishkar2_nepse_data,0.7
2019-12-11,RHPL,170.0,176.0,170.0,173.0,,,11020.0,1901390.0,,aabishkar2_nepse_data,0.7
2019-12-12,RHPL,172.0,185.0,172.0,179.0,,,32795.0,5817265.0,,aabishkar2_nepse_data,0.7
2019-12-15,RHPL,180.0,182.0,174.0,176.0,,,23055.0,4079590.0,,aabishkar2_nepse_data,0.7
2019-12-16,RHPL,173.0,177.0,171.0,172.0,,,13736.0,2377766.0,,aabishkar2_nepse_data,0.7
2019-12-17,RHPL,169.0,178.0,169.0,172.0,,,14180.0,2446090.0,,aabishkar2_nepse_data,0.7
2019-12-18,RHPL,173.0,173.0,170.0,171.0,,,10250.0,1755170.0,,aabishkar2_nepse_data,0.7
2019-12-19,RHPL,171.0,174.0,170.0,173.0,,,8010.0,1365520.0,,aabishkar2_nepse_data,0.7
2019-12-22,RHPL,170.0,173.0,170.0,172.0,,,20610.0,3521300.0,,aabishkar2_nepse_data,0.7
2019-12-23,RHPL,172.0,178.0,170.0,175.0,,,30561.0,5251281.0,,aabishkar2_nepse_data,0.7
2019-12-24,RHPL,176.0,179.0,168.0,171.0,,,14638.0,2534946.0,,aabishkar2_nepse_data,0.7
2019-12-25,RHPL,171.0,173.0,171.0,172.0,,,5130.0,881380.0,,aabishkar2_nepse_data,0.7
2019-12-26,RHPL,172.0,175.0,170.0,171.0,,,20065.0,3448380.0,,aabishkar2_nepse_data,0.7
2019-12-29,RHPL,172.0,173.0,167.0,169.0,,,28610.0,4839360.0,,aabishkar2_nepse_data,0.7
2019-12-30,RHPL,170.0,170.0,168.0,168.0,,,8759.0,1482171.0,,aabishkar2_nepse_data,0.7
2019-12-31,RHPL,168.0,170.0,167.0,170.0,,,10890.0,1831680.0,,aabishkar2_nepse_data,0.7
2020-01-01,RHPL,170.0,171.0,167.0,169.0,,,22030.0,3711910.0,,aabishkar2_nepse_data,0.7
2020-01-02,RHPL,169.0,171.0,168.0,168.0,,,11515.0,1944840.0,,aabishkar2_nepse_data,0.7
2020-01-05,RHPL,165.0,172.0,165.0,169.0,,,20910.0,3560250.0,,aabishkar2_nepse_data,0.7
2020-01-06,RHPL,169.0,175.0,168.0,169.0,,,17250.0,2940850.0,,aabishkar2_nepse_data,0.7
2020-01-07,RHPL,172.0,176.0,169.0,174.0,,,31644.0,5427022.0,,aabishkar2_nepse_data,0.7
2020-01-08,RHPL,175.0,175.0,168.0,170.0,,,37322.0,6336533.0,,aabishkar2_nepse_data,0.7
2020-01-09,RHPL,170.0,173.0,168.0,168.0,,,30700.0,5188750.0,,aabishkar2_nepse_data,0.7
2020-01-12,RHPL,170.0,175.0,168.0,172.0,,,26900.0,4605930.0,,aabishkar2_nepse_data,0.7
2020-01-13,RHPL,172.0,183.0,172.0,183.0,,,78955.0,14028490.0,,aabishkar2_nepse_data,0.7
2020-01-14,RHPL,180.0,180.0,171.0,174.0,,,48478.0,8459366.0,,aabishkar2_nepse_data,0.7
2020-01-15,RHPL,175.0,181.0,173.0,175.0,,,41940.0,7400470.0,,aabishkar2_nepse_data,0.7
2020-01-16,RHPL,175.0,180.0,175.0,176.0,,,59895.0,10588145.0,,aabishkar2_nepse_data,0.7
2020-01-19,RHPL,176.0,188.0,173.0,178.0,,,80225.0,14357000.0,,aabishkar2_nepse_data,0.7
2020-01-20,RHPL,180.0,181.0,174.0,174.0,,,30529.0,5394379.0,,aabishkar2_nepse_data,0.7
2020-01-21,RHPL,176.0,177.0,171.0,173.0,,,33962.0,5871192.0,,aabishkar2_nepse_data,0.7
2020-01-22,RHPL,175.0,175.0,169.0,171.0,,,27860.0,4760880.0,,aabishkar2_nepse_data,0.7
2020-01-23,RHPL,170.0,173.0,167.0,168.0,,,33110.0,5596180.0,,aabishkar2_nepse_data,0.7
2020-01-26,RHPL,166.0,169.0,166.0,166.0,,,21180.0,3545330.0,,aabishkar2_nepse_data,0.7
2020-01-27,RHPL,165.0,174.0,165.0,173.0,,,15197.0,2579215.0,,aabishkar2_nepse_data,0.7
2020-01-28,RHPL,170.0,172.0,166.0,166.0,,,23380.0,3931986.0,,aabishkar2_nepse_data,0.7
2020-01-29,RHPL,165.0,170.0,165.0,165.0,,,25950.0,4310620.0,,aabishkar2_nepse_data,0.7
2020-01-30,RHPL,164.0,168.0,164.0,164.0,,,36248.0,6003892.0,,aabishkar2_nepse_data,0.7
2020-02-02,RHPL,167.0,167.0,164.0,164.0,,,21978.0,3622342.0,,aabishkar2_nepse_data,0.7
2020-02-03,RHPL,166.0,178.0,164.0,178.0,,,123950.0,21518936.0,,aabishkar2_nepse_data,0.7
2020-02-04,RHPL,176.0,180.0,172.0,175.0,,,54000.0,9490850.0,,aabishkar2_nepse_data,0.7
2020-02-05,RHPL,172.0,174.0,167.0,169.0,,,24340.0,4119580.0,,aabishkar2_nepse_data,0.7
2020-02-06,RHPL,167.0,171.0,167.0,167.0,,,27888.0,4703542.0,,aabishkar2_nepse_data,0.7
2020-02-09,RHPL,169.0,171.0,167.0,168.0,,,11708.0,1971358.0,,aabishkar2_nepse_data,0.7
2020-02-10,RHPL,171.0,171.0,167.0,170.0,,,18210.0,3055850.0,,aabishkar2_nepse_data,0.7
2020-02-11,RHPL,168.0,173.0,167.0,168.0,,,23800.0,4014570.0,,aabishkar2_nepse_data,0.7
2020-02-12,RHPL,171.0,171.0,167.0,167.0,,,10010.0,1682956.0,,aabishkar2_nepse_data,0.7
2020-02-13,RHPL,165.0,168.0,165.0,165.0,,,22940.0,3809190.0,,aabishkar2_nepse_data,0.7
2020-02-16,RHPL,164.0,171.0,164.0,171.0,,,16365.0,2724230.0,,aabishkar2_nepse_data,0.7
2020-02-17,RHPL,170.0,173.0,168.0,170.0,,,19219.0,3274780.0,,aabishkar2_nepse_data,0.7
2020-02-18,RHPL,169.0,173.0,165.0,166.0,,,31820.0,5326288.0,,aabishkar2_nepse_data,0.7
2020-02-19,RHPL,164.0,169.0,164.0,166.0,,,13810.0,2306740.0,,aabishkar2_nepse_data,0.7
2020-02-20,RHPL,166.0,170.0,164.0,167.0,,,35796.0,5963321.0,,aabishkar2_nepse_data,0.7
2020-02-23,RHPL,170.0,172.0,164.0,168.0,,,27530.0,4660210.0,,aabishkar2_nepse_data,0.7
