date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2020-09-09,RLI,346.0,374.0,346.0,374.0,,,230.0,85280.0,,aabishkar2_nepse_data,0.7
2020-09-10,RLI,392.0,411.0,392.0,411.0,,,610.0,249420.0,,aabishkar2_nepse_data,0.7
2020-09-13,RLI,423.0,452.0,423.0,452.0,,,810.0,363760.0,,aabishkar2_nepse_data,0.7
2020-09-14,RLI,474.0,497.0,474.0,497.0,,,1250.0,620830.0,,aabishkar2_nepse_data,0.7
2020-09-15,RLI,521.0,546.0,521.0,546.0,,,2980.0,1625380.0,,aabishkar2_nepse_data,0.7
2020-09-16,RLI,573.0,600.0,573.0,600.0,,,18390.0,11024880.0,,aabishkar2_nepse_data,0.7
2020-09-17,RLI,630.0,660.0,630.0,660.0,,,52531.0,34639320.0,,aabishkar2_nepse_data,0.7
2020-09-20,RLI,693.0,726.0,660.0,665.0,,,281168.0,194764516.0,,aabishkar2_nepse_data,0.7
2020-09-21,RLI,665.0,665.0,623.0,640.0,,,203152.0,129855865.0,,aabishkar2_nepse_data,0.7
2020-09-22,RLI,635.0,637.0,625.0,630.0,,,112770.0,70853501.0,,aabishkar2_nepse_data,0.7
2020-09-23,RLI,600.0,668.0,600.0,662.0,,,70575.0,44664106.0,,aabishkar2_nepse_data,0.7
2020-09-24,RLI,631.0,669.0,631.0,649.0,,,55191.0,35961089.0,,aabishkar2_nepse_data,0.7
2020-09-27,RLI,618.0,665.0,618.0,636.0,,,43591.0,27818214.0,,aabishkar2_nepse_data,0.7
2020-09-28,RLI,636.0,643.0,630.0,631.0,,,31320.0,19761850.0,,aabishkar2_nepse_data,0.7
2020-09-29,RLI,631.0,635.0,625.0,626.0,,,30275.0,18970951.0,,aabishkar2_nepse_data,0.7
2020-09-30,RLI,624.0,626.0,617.0,621.0,,,36350.0,22544670.0,,aabishkar2_nepse_data,0.7
2020-10-01,RLI,620.0,647.0,615.0,630.0,,,47051.0,29706996.0,,aabishkar2_nepse_data,0.7
2020-10-04,RLI,633.0,640.0,624.0,625.0,,,44110.0,27737920.0,,aabishkar2_nepse_data,0.7
2020-10-05,RLI,630.0,630.0,611.0,625.0,,,36105.0,22519652.0,,aabishkar2_nepse_data,0.7
2020-10-06,RLI,630.0,630.0,618.0,620.0,,,36439.0,22607699.0,,aabishkar2_nepse_data,0.7
2020-10-07,RLI,620.0,630.0,616.0,618.0,,,26615.0,16468825.0,,aabishkar2_nepse_data,0.7
2020-10-08,RLI,618.0,624.0,614.0,615.0,,,46551.0,28695822.0,,aabishkar2_nepse_data,0.7
2020-10-11,RLI,610.0,615.0,607.0,608.0,,,29873.0,18205136.0,,aabishkar2_nepse_data,0.7
2020-10-12,RLI,608.0,618.0,603.0,608.0,,,28035.0,17048705.0,,aabishkar2_nepse_data,0.7
2020-10-13,RLI,605.0,610.0,605.0,606.0,,,18610.0,11290376.0,,aabishkar2_nepse_data,0.7
2020-10-14,RLI,602.0,606.0,599.0,601.0,,,28238.0,16997625.0,,aabishkar2_nepse_data,0.7
2020-10-15,RLI,604.0,608.0,599.0,600.0,,,22030.0,13231876.0,,aabishkar2_nepse_data,0.7
2020-10-18,RLI,612.0,612.0,592.0,593.0,,,19653.0,11674406.0,,aabishkar2_nepse_data,0.7
2020-10-19,RLI,591.0,600.0,588.0,598.0,,,13786.0,8196557.0,,aabishkar2_nepse_data,0.7
2020-10-20,RLI,598.0,612.0,590.0,603.0,,,10145.0,6094500.0,,aabishkar2_nepse_data,0.7
2020-10-21,RLI,603.0,610.0,600.0,603.0,,,11598.0,6977358.0,,aabishkar2_nepse_data,0.7
2020-10-22,RLI,603.0,605.0,597.0,600.0,,,15776.0,9448998.0,,aabishkar2_nepse_data,0.7
2020-10-28,RLI,600.0,600.0,592.0,598.0,,,22855.0,13566390.0,,aabishkar2_nepse_data,0.7
2020-10-29,RLI,595.0,600.0,590.0,592.0,,,26470.0,15681700.0,,aabishkar2_nepse_data,0.7
2020-11-01,RLI,595.0,595.0,587.0,588.0,,,28986.0,17061753.0,,aabishkar2_nepse_data,0.7
2020-11-02,RLI,588.0,588.0,580.0,582.0,,,33423.0,19475204.0,,aabishkar2_nepse_data,0.7
2020-11-03,RLI,585.0,590.0,572.0,589.0,,,24904.0,14575236.0,,aabishkar2_nepse_data,0.7
2020-11-04,RLI,590.0,593.0,582.0,584.0,,,17620.0,10297110.0,,aabishkar2_nepse_data,0.7
2020-11-05,RLI,584.0,585.0,579.0,581.0,,,25734.0,14939380.0,,aabishkar2_nepse_data,0.7
2020-11-08,RLI,600.0,610.0,590.0,593.0,,,48860.0,29200485.0,,aabishkar2_nepse_data,0.7
2020-11-09,RLI,591.0,600.0,591.0,591.0,,,28945.0,17190580.0,,aabishkar2_nepse_data,0.7
2020-11-10,RLI,592.0,615.0,591.0,613.0,,,57450.0,34803806.0,,aabishkar2_nepse_data,0.7
2020-11-11,RLI,619.0,619.0,610.0,611.0,,,24171.0,14813075.0,,aabishkar2_nepse_data,0.7
2020-11-12,RLI,611.0,612.0,599.0,604.0,,,29095.0,17592205.0,,aabishkar2_nepse_data,0.7
2020-11-18,RLI,604.0,614.0,593.0,613.0,,,24030.0,14515045.0,,aabishkar2_nepse_data,0.7
2020-11-19,RLI,620.0,624.0,607.0,614.0,,,78505.0,48320147.0,,aabishkar2_nepse_data,0.7
2020-11-22,RLI,614.0,627.0,600.0,603.0,,,53222.0,32498796.0,,aabishkar2_nepse_data,0.7
2020-11-23,RLI,603.0,614.0,598.0,599.0,,,30067.0,18084327.0,,aabishkar2_nepse_data,0.7
2020-11-24,RLI,593.0,617.0,593.0,613.0,,,43740.0,26618265.0,,aabishkar2_nepse_data,0.7
2020-11-25,RLI,620.0,624.0,612.0,620.0,,,62829.0,38847811.0,,aabishkar2_nepse_data,0.7
2020-11-26,RLI,620.0,629.0,614.0,615.0,,,67091.0,41634838.0,,aabishkar2_nepse_data,0.7
2020-11-29,RLI,610.0,621.0,605.0,610.0,,,36133.0,22031902.0,,aabishkar2_nepse_data,0.7
2020-11-30,RLI,615.0,652.0,606.0,633.0,,,89177.0,56034295.0,,aabishkar2_nepse_data,0.7
2020-12-01,RLI,664.0,680.0,631.0,673.0,,,202285.0,133999885.0,,aabishkar2_nepse_data,0.7
2020-12-02,RLI,706.0,706.0,664.0,688.0,,,87335.0,59747980.0,,aabishkar2_nepse_data,0.7
2020-12-03,RLI,680.0,700.0,657.0,665.0,,,67757.0,45596061.0,,aabishkar2_nepse_data,0.7
2020-12-06,RLI,695.0,695.0,619.0,619.0,,,59166.0,37633525.0,,aabishkar2_nepse_data,0.7
2020-12-07,RLI,619.0,650.0,615.0,642.0,,,55654.0,35336401.0,,aabishkar2_nepse_data,0.7
2020-12-08,RLI,645.0,653.0,630.0,630.0,,,37058.0,23723397.0,,aabishkar2_nepse_data,0.7
2020-12-09,RLI,661.0,661.0,620.0,621.0,,,28625.0,17858060.0,,aabishkar2_nepse_data,0.7
2020-12-10,RLI,612.0,635.0,612.0,623.0,,,20555.0,12837585.0,,aabishkar2_nepse_data,0.7
2020-12-13,RLI,616.0,637.0,616.0,629.0,,,30175.0,19039981.0,,aabishkar2_nepse_data,0.7
2020-12-14,RLI,629.0,654.0,629.0,646.0,,,45075.0,29088353.0,,aabishkar2_nepse_data,0.7
2020-12-15,RLI,614.0,656.0,614.0,638.0,,,32645.0,21006850.0,,aabishkar2_nepse_data,0.7
2020-12-16,RLI,638.0,644.0,630.0,639.0,,,24292.0,15466094.0,,aabishkar2_nepse_data,0.7
2020-12-17,RLI,630.0,637.0,628.0,629.0,,,26434.0,16698982.0,,aabishkar2_nepse_data,0.7
2020-12-20,RLI,629.0,635.0,595.0,600.0,,,55209.0,33674717.0,,aabishkar2_nepse_data,0.7
2020-12-21,RLI,590.0,620.0,570.0,605.0,,,36626.0,21725390.0,,aabishkar2_nepse_data,0.7
2020-12-22,RLI,610.0,622.0,605.0,618.0,,,43722.0,26903196.0,,aabishkar2_nepse_data,0.7
2020-12-23,RLI,620.0,640.0,611.0,615.0,,,27099.0,16775359.0,,aabishkar2_nepse_data,0.7
2020-12-24,RLI,610.0,618.0,604.0,612.0,,,16393.0,10014045.0,,aabishkar2_nepse_data,0.7
2020-12-27,RLI,613.0,618.0,608.0,610.0,,,18373.0,11239157.0,,aabishkar2_nepse_data,0.7
2020-12-28,RLI,605.0,614.0,601.0,610.0,,,14580.0,8843404.0,,aabishkar2_nepse_data,0.7
2020-12-29,RLI,602.0,611.0,601.0,602.0,,,22450.0,13552122.0,,aabishkar2_nepse_data,0.7
2020-12-30,RLI,602.0,610.0,596.0,600.0,,,26357.0,15844258.0,,aabishkar2_nepse_data,0.7
2020-12-31,RLI,598.0,609.0,598.0,601.0,,,24999.0,15093648.0,,aabishkar2_nepse_data,0.7
2021-01-03,RLI,610.0,630.0,610.0,614.0,,,37151.0,22882272.0,,aabishkar2_nepse_data,0.7
2021-01-04,RLI,620.0,625.0,608.0,609.0,,,19670.0,12086800.0,,aabishkar2_nepse_data,0.7
2021-01-05,RLI,605.0,614.0,605.0,608.0,,,20194.0,12295764.0,,aabishkar2_nepse_data,0.7
2021-01-06,RLI,608.0,620.0,605.0,610.0,,,23920.0,14586985.0,,aabishkar2_nepse_data,0.7
2021-01-07,RLI,610.0,622.0,610.0,617.0,,,30580.0,18889225.0,,aabishkar2_nepse_data,0.7
2021-01-10,RLI,625.0,637.0,617.0,619.0,,,33857.0,21123257.0,,aabishkar2_nepse_data,0.7
2021-01-11,RLI,625.0,630.0,620.0,625.0,,,28788.0,17965508.0,,aabishkar2_nepse_data,0.7
