date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2012-07-17,SADBL,200.0,196.0,196.0,196.0,,,270.0,52920.0,,aabishkar2_nepse_data,0.7
2012-07-26,SADBL,196.0,193.0,193.0,193.0,,,20.0,3860.0,,aabishkar2_nepse_data,0.7
2012-08-12,SADBL,193.0,190.0,190.0,190.0,,,500.0,95000.0,,aabishkar2_nepse_data,0.7
2012-08-19,SADBL,190.0,181.0,181.0,181.0,,,1320.0,238920.0,,aabishkar2_nepse_data,0.7
2012-08-26,SADBL,181.0,172.0,172.0,172.0,,,110.0,18920.0,,aabishkar2_nepse_data,0.7
2012-09-09,SADBL,172.0,169.0,155.0,155.0,,,60.0,9700.0,,aabishkar2_nepse_data,0.7
2012-09-25,SADBL,155.0,152.0,147.0,147.0,,,30.0,4480.0,,aabishkar2_nepse_data,0.7
2012-09-26,SADBL,147.0,145.0,143.0,143.0,,,70.0,10030.0,,aabishkar2_nepse_data,0.7
2012-10-02,SADBL,137.0,135.0,124.0,124.0,,,200.0,25460.0,,aabishkar2_nepse_data,0.7
2012-10-03,SADBL,124.0,122.0,112.0,112.0,,,4850.0,544740.0,,aabishkar2_nepse_data,0.7
2012-10-04,SADBL,112.0,113.0,106.0,111.0,,,4670.0,510650.0,,aabishkar2_nepse_data,0.7
2012-10-07,SADBL,111.0,113.0,106.0,112.0,,,3980.0,440670.0,,aabishkar2_nepse_data,0.7
2012-10-08,SADBL,112.0,114.0,110.0,114.0,,,2710.0,301430.0,,aabishkar2_nepse_data,0.7
2012-10-09,SADBL,114.0,113.0,111.0,112.0,,,2770.0,309080.0,,aabishkar2_nepse_data,0.7
2012-10-10,SADBL,112.0,114.0,112.0,112.0,,,390.0,43880.0,,aabishkar2_nepse_data,0.7
2012-10-11,SADBL,112.0,114.0,114.0,114.0,,,50.0,5700.0,,aabishkar2_nepse_data,0.7
2012-10-14,SADBL,114.0,113.0,111.0,111.0,,,2020.0,224420.0,,aabishkar2_nepse_data,0.7
2012-10-15,SADBL,111.0,118.0,112.0,118.0,,,820.0,94570.0,,aabishkar2_nepse_data,0.7
2012-10-18,SADBL,118.0,120.0,118.0,120.0,,,1090.0,130420.0,,aabishkar2_nepse_data,0.7
2012-10-30,SADBL,120.0,119.0,118.0,119.0,,,780.0,92360.0,,aabishkar2_nepse_data,0.7
2012-10-31,SADBL,119.0,122.0,120.0,122.0,,,760.0,91740.0,,aabishkar2_nepse_data,0.7
2012-11-01,SADBL,122.0,121.0,119.0,120.0,,,550.0,65970.0,,aabishkar2_nepse_data,0.7
2012-11-04,SADBL,120.0,122.0,118.0,120.0,,,660.0,79620.0,,aabishkar2_nepse_data,0.7
2012-11-05,SADBL,120.0,124.0,122.0,124.0,,,1440.0,175860.0,,aabishkar2_nepse_data,0.7
2012-11-06,SADBL,124.0,128.0,125.0,128.0,,,490.0,61870.0,,aabishkar2_nepse_data,0.7
2012-11-07,SADBL,128.0,129.0,128.0,128.0,,,220.0,28280.0,,aabishkar2_nepse_data,0.7
2012-11-21,SADBL,128.0,130.0,130.0,130.0,,,720.0,93600.0,,aabishkar2_nepse_data,0.7
2012-11-22,SADBL,130.0,128.0,126.0,126.0,,,470.0,59760.0,,aabishkar2_nepse_data,0.7
2012-11-25,SADBL,126.0,124.0,116.0,116.0,,,660.0,77840.0,,aabishkar2_nepse_data,0.7
2012-11-26,SADBL,116.0,118.0,116.0,116.0,,,560.0,64980.0,,aabishkar2_nepse_data,0.7
2012-11-27,SADBL,116.0,117.0,117.0,117.0,,,2530.0,296010.0,,aabishkar2_nepse_data,0.7
2012-11-28,SADBL,117.0,119.0,119.0,119.0,,,520.0,61880.0,,aabishkar2_nepse_data,0.7
2012-11-29,SADBL,119.0,117.0,117.0,117.0,,,750.0,87750.0,,aabishkar2_nepse_data,0.7
2012-12-03,SADBL,117.0,116.0,116.0,116.0,,,80.0,9280.0,,aabishkar2_nepse_data,0.7
2012-12-04,SADBL,116.0,118.0,116.0,118.0,,,310.0,36220.0,,aabishkar2_nepse_data,0.7
2012-12-05,SADBL,118.0,118.0,117.0,117.0,,,730.0,85590.0,,aabishkar2_nepse_data,0.7
2012-12-06,SADBL,117.0,119.0,117.0,118.0,,,1180.0,138920.0,,aabishkar2_nepse_data,0.7
2012-12-09,SADBL,118.0,118.0,116.0,116.0,,,1430.0,166230.0,,aabishkar2_nepse_data,0.7
2012-12-10,SADBL,116.0,118.0,116.0,116.0,,,200.0,23500.0,,aabishkar2_nepse_data,0.7
2012-12-11,SADBL,116.0,118.0,114.0,118.0,,,910.0,104740.0,,aabishkar2_nepse_data,0.7
2012-12-12,SADBL,118.0,116.0,116.0,116.0,,,150.0,17400.0,,aabishkar2_nepse_data,0.7
2012-12-13,SADBL,116.0,117.0,117.0,117.0,,,360.0,42120.0,,aabishkar2_nepse_data,0.7
2012-12-17,SADBL,117.0,117.0,117.0,117.0,,,60.0,7020.0,,aabishkar2_nepse_data,0.7
2012-12-18,SADBL,117.0,116.0,116.0,116.0,,,430.0,49880.0,,aabishkar2_nepse_data,0.7
2012-12-19,SADBL,116.0,116.0,116.0,116.0,,,50.0,5800.0,,aabishkar2_nepse_data,0.7
2012-12-20,SADBL,116.0,120.0,118.0,120.0,,,160.0,19180.0,,aabishkar2_nepse_data,0.7
2012-12-24,SADBL,120.0,122.0,122.0,122.0,,,200.0,24400.0,,aabishkar2_nepse_data,0.7
2012-12-31,SADBL,122.0,121.0,120.0,120.0,,,1010.0,121700.0,,aabishkar2_nepse_data,0.7
2013-01-01,SADBL,120.0,118.0,118.0,118.0,,,80.0,9440.0,,aabishkar2_nepse_data,0.7
2013-01-03,SADBL,118.0,118.0,118.0,118.0,,,50.0,5900.0,,aabishkar2_nepse_data,0.7
2013-01-06,SADBL,118.0,118.0,118.0,118.0,,,60.0,7080.0,,aabishkar2_nepse_data,0.7
2013-01-08,SADBL,118.0,117.0,116.0,116.0,,,1690.0,196260.0,,aabishkar2_nepse_data,0.7
2013-01-10,SADBL,116.0,115.0,115.0,115.0,,,50.0,5750.0,,aabishkar2_nepse_data,0.7
2013-01-16,SADBL,115.0,116.0,115.0,115.0,,,690.0,79740.0,,aabishkar2_nepse_data,0.7
2013-01-20,SADBL,115.0,115.0,115.0,115.0,,,320.0,36800.0,,aabishkar2_nepse_data,0.7
2013-01-22,SADBL,115.0,125.0,117.0,125.0,,,1280.0,152120.0,,aabishkar2_nepse_data,0.7
2013-01-24,SADBL,125.0,130.0,127.0,130.0,,,2080.0,268420.0,,aabishkar2_nepse_data,0.7
2013-01-27,SADBL,130.0,132.0,128.0,128.0,,,3060.0,396110.0,,aabishkar2_nepse_data,0.7
2013-01-28,SADBL,128.0,127.0,125.0,125.0,,,670.0,84400.0,,aabishkar2_nepse_data,0.7
2013-01-30,SADBL,125.0,125.0,123.0,125.0,,,1440.0,179000.0,,aabishkar2_nepse_data,0.7
2013-01-31,SADBL,125.0,127.0,127.0,127.0,,,620.0,78740.0,,aabishkar2_nepse_data,0.7
2013-02-03,SADBL,127.0,129.0,127.0,127.0,,,780.0,100220.0,,aabishkar2_nepse_data,0.7
2013-02-04,SADBL,127.0,131.0,127.0,130.0,,,1340.0,173610.0,,aabishkar2_nepse_data,0.7
2013-02-05,SADBL,130.0,128.0,127.0,127.0,,,250.0,31850.0,,aabishkar2_nepse_data,0.7
2013-02-06,SADBL,127.0,130.0,128.0,129.0,,,1030.0,133210.0,,aabishkar2_nepse_data,0.7
2013-02-07,SADBL,129.0,129.0,127.0,129.0,,,440.0,56620.0,,aabishkar2_nepse_data,0.7
2013-02-12,SADBL,129.0,130.0,130.0,130.0,,,100.0,13000.0,,aabishkar2_nepse_data,0.7
2013-02-13,SADBL,130.0,129.0,129.0,129.0,,,450.0,58050.0,,aabishkar2_nepse_data,0.7
2013-02-14,SADBL,129.0,131.0,130.0,131.0,,,380.0,49610.0,,aabishkar2_nepse_data,0.7
2013-02-19,SADBL,131.0,133.0,133.0,133.0,,,430.0,57190.0,,aabishkar2_nepse_data,0.7
2013-02-20,SADBL,133.0,133.0,131.0,131.0,,,390.0,51190.0,,aabishkar2_nepse_data,0.7
2013-02-21,SADBL,131.0,129.0,129.0,129.0,,,200.0,25800.0,,aabishkar2_nepse_data,0.7
2013-02-24,SADBL,129.0,128.0,127.0,127.0,,,240.0,30540.0,,aabishkar2_nepse_data,0.7
2014-09-07,SADBL,127.0,139.0,129.0,139.0,,,60.0,8040.0,,aabishkar2_nepse_data,0.7
2014-09-09,SADBL,139.0,151.0,145.0,151.0,,,40.0,5920.0,,aabishkar2_nepse_data,0.7
2014-09-10,SADBL,151.0,166.0,154.0,166.0,,,50.0,8000.0,,aabishkar2_nepse_data,0.7
2014-09-11,SADBL,166.0,182.0,169.0,182.0,,,60.0,10570.0,,aabishkar2_nepse_data,0.7
2014-09-14,SADBL,182.0,200.0,191.0,200.0,,,40.0,7820.0,,aabishkar2_nepse_data,0.7
2014-09-15,SADBL,200.0,220.0,210.0,220.0,,,160.0,34700.0,,aabishkar2_nepse_data,0.7
2014-09-30,SADBL,220.0,235.0,231.0,235.0,,,260.0,60300.0,,aabishkar2_nepse_data,0.7
2014-10-08,SADBL,235.0,251.0,239.0,251.0,,,460.0,112460.0,,aabishkar2_nepse_data,0.7
2014-10-09,SADBL,251.0,266.0,256.0,266.0,,,430.0,111430.0,,aabishkar2_nepse_data,0.7
2014-10-12,SADBL,266.0,291.0,271.0,291.0,,,130.0,36330.0,,aabishkar2_nepse_data,0.7
2014-10-13,SADBL,291.0,320.0,296.0,320.0,,,21003.0,6718660.0,,aabishkar2_nepse_data,0.7
2014-10-14,SADBL,320.0,328.0,301.0,320.0,,,6800.0,2162410.0,,aabishkar2_nepse_data,0.7
2014-10-15,SADBL,320.0,325.0,314.0,320.0,,,4750.0,1513090.0,,aabishkar2_nepse_data,0.7
2014-10-16,SADBL,320.0,326.0,315.0,321.0,,,4661.0,1501325.0,,aabishkar2_nepse_data,0.7
2014-10-19,SADBL,321.0,327.0,321.0,322.0,,,756.0,243659.0,,aabishkar2_nepse_data,0.7
2014-10-20,SADBL,322.0,320.0,311.0,314.0,,,1573.0,496832.0,,aabishkar2_nepse_data,0.7
