date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2015-01-04,SHBL,451.0,496.0,460.0,496.0,480.0,235425.0,,aabishkar2_nepse_data,0.7
2015-01-05,SHBL,496.0,506.0,496.0,505.0,462.0,233190.0,,aabishkar2_nepse_data,0.7
2015-01-06,SHBL,505.0,495.0,485.0,485.0,397.0,194580.0,,aabishkar2_nepse_data,0.7
2015-01-07,SHBL,485.0,520.0,485.0,520.0,485.0,241453.0,,aabishkar2_nepse_data,0.7
2015-01-08,SHBL,520.0,515.0,510.0,515.0,173.0,88980.0,,aabishkar2_nepse_data,0.7
2015-01-11,SHBL,515.0,520.0,500.0,520.0,260.0,132480.0,,aabishkar2_nepse_data,0.7
2015-01-12,SHBL,520.0,525.0,510.0,525.0,322.0,165012.0,,aabishkar2_nepse_data,0.7
2015-01-13,SHBL,525.0,520.0,511.0,520.0,280.0,144170.0,,aabishkar2_nepse_data,0.7
2015-01-14,SHBL,520.0,572.0,530.0,572.0,1645.0,934504.0,,aabishkar2_nepse_data,0.7
2015-01-18,SHBL,572.0,629.0,583.0,629.0,1982.0,1237320.0,,aabishkar2_nepse_data,0.7
2015-01-19,SHBL,629.0,691.0,641.0,691.0,454.0,307712.0,,aabishkar2_nepse_data,0.7
2015-01-20,SHBL,691.0,760.0,678.0,711.0,3407.0,2452137.0,,aabishkar2_nepse_data,0.7
2015-01-22,SHBL,711.0,753.0,711.0,725.0,1650.0,1216188.0,,aabishkar2_nepse_data,0.7
2015-01-25,SHBL,725.0,770.0,739.0,770.0,818.0,616925.0,,aabishkar2_nepse_data,0.7
2015-01-26,SHBL,770.0,790.0,770.0,790.0,183.0,141325.0,,aabishkar2_nepse_data,0.7
2015-01-27,SHBL,790.0,775.0,775.0,775.0,20.0,15500.0,,aabishkar2_nepse_data,0.7
2015-01-28,SHBL,775.0,760.0,720.0,759.0,402.0,298702.0,,aabishkar2_nepse_data,0.7
2015-01-29,SHBL,759.0,744.0,716.0,730.0,109.0,79044.0,,aabishkar2_nepse_data,0.7
2015-02-01,SHBL,730.0,780.0,716.0,780.0,623.0,464006.0,,aabishkar2_nepse_data,0.7
2015-02-02,SHBL,780.0,770.0,741.0,770.0,83.0,62915.0,,aabishkar2_nepse_data,0.7
2015-02-03,SHBL,770.0,785.0,740.0,766.0,2489.0,1850220.0,,aabishkar2_nepse_data,0.7
2015-02-04,SHBL,766.0,833.0,746.0,833.0,1436.0,1150134.0,,aabishkar2_nepse_data,0.7
2015-02-05,SHBL,833.0,878.0,833.0,878.0,556.0,476601.0,,aabishkar2_nepse_data,0.7
2015-02-08,SHBL,878.0,965.0,895.0,965.0,858.0,809776.0,,aabishkar2_nepse_data,0.7
2015-02-09,SHBL,965.0,1022.0,963.0,963.0,204.0,201368.0,,aabishkar2_nepse_data,0.7
2015-02-10,SHBL,963.0,998.0,944.0,998.0,746.0,720892.0,,aabishkar2_nepse_data,0.7
2015-02-11,SHBL,998.0,1049.0,980.0,1049.0,1814.0,1847256.0,,aabishkar2_nepse_data,0.7
2015-02-12,SHBL,1049.0,1069.0,1048.0,1060.0,342.0,359470.0,,aabishkar2_nepse_data,0.7
2015-02-15,SHBL,1060.0,1090.0,1060.0,1090.0,1385.0,1476284.0,,aabishkar2_nepse_data,0.7
2015-02-16,SHBL,1090.0,1199.0,1111.0,1199.0,288.0,334723.0,,aabishkar2_nepse_data,0.7
2015-02-18,SHBL,1199.0,1271.0,1222.0,1256.0,587.0,736530.0,,aabishkar2_nepse_data,0.7
2015-02-22,SHBL,1256.0,1231.0,1183.0,1185.0,114.0,136082.0,,aabishkar2_nepse_data,0.7
2015-02-23,SHBL,1185.0,1168.0,1168.0,1168.0,36.0,42048.0,,aabishkar2_nepse_data,0.7
2015-02-24,SHBL,1168.0,1150.0,1083.0,1083.0,216.0,239772.0,,aabishkar2_nepse_data,0.7
2015-02-25,SHBL,1083.0,1080.0,1000.0,1058.0,567.0,588770.0,,aabishkar2_nepse_data,0.7
