date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2013-12-05,SHINE,197.0,200.0,200.0,200.0,,,290.0,58000.0,,aabishkar2_nepse_data,0.7
2013-12-08,SHINE,200.0,204.0,204.0,204.0,,,53.0,10812.0,,aabishkar2_nepse_data,0.7
2013-12-10,SHINE,204.0,208.0,208.0,208.0,,,12.0,2496.0,,aabishkar2_nepse_data,0.7
2013-12-11,SHINE,208.0,212.0,208.0,208.0,,,28.0,5880.0,,aabishkar2_nepse_data,0.7
2013-12-12,SHINE,208.0,208.0,204.0,208.0,,,84.0,17360.0,,aabishkar2_nepse_data,0.7
2013-12-16,SHINE,208.0,216.0,212.0,216.0,,,853.0,183500.0,,aabishkar2_nepse_data,0.7
2013-12-18,SHINE,216.0,220.0,220.0,220.0,,,13.0,2860.0,,aabishkar2_nepse_data,0.7
2013-12-19,SHINE,220.0,224.0,224.0,224.0,,,232.0,51968.0,,aabishkar2_nepse_data,0.7
2013-12-22,SHINE,224.0,246.0,228.0,246.0,,,531.0,127966.0,,aabishkar2_nepse_data,0.7
2013-12-23,SHINE,246.0,250.0,250.0,250.0,,,181.0,45250.0,,aabishkar2_nepse_data,0.7
2013-12-24,SHINE,250.0,260.0,250.0,260.0,,,695.0,179745.0,,aabishkar2_nepse_data,0.7
2013-12-26,SHINE,260.0,275.0,265.0,275.0,,,221.0,60365.0,,aabishkar2_nepse_data,0.7
2013-12-29,SHINE,275.0,285.0,275.0,285.0,,,487.0,136053.0,,aabishkar2_nepse_data,0.7
2013-12-31,SHINE,285.0,296.0,290.0,296.0,,,405.0,118782.0,,aabishkar2_nepse_data,0.7
2014-01-01,SHINE,296.0,292.0,292.0,292.0,,,131.0,38252.0,,aabishkar2_nepse_data,0.7
2014-01-02,SHINE,292.0,287.0,272.0,277.0,,,983.0,272058.0,,aabishkar2_nepse_data,0.7
2014-01-05,SHINE,277.0,282.0,277.0,278.0,,,1186.0,332881.0,,aabishkar2_nepse_data,0.7
2014-01-06,SHINE,278.0,288.0,280.0,283.0,,,487.0,138027.0,,aabishkar2_nepse_data,0.7
2014-01-07,SHINE,283.0,304.0,288.0,304.0,,,2291.0,675827.0,,aabishkar2_nepse_data,0.7
2014-01-08,SHINE,304.0,316.0,310.0,316.0,,,400.0,125200.0,,aabishkar2_nepse_data,0.7
2014-01-09,SHINE,316.0,334.0,316.0,331.0,,,1045.0,339740.0,,aabishkar2_nepse_data,0.7
2014-01-12,SHINE,331.0,354.0,325.0,354.0,,,6751.0,2316654.0,,aabishkar2_nepse_data,0.7
2014-01-13,SHINE,354.0,367.0,347.0,367.0,,,1193.0,429657.0,,aabishkar2_nepse_data,0.7
2014-01-14,SHINE,367.0,368.0,340.0,368.0,,,1236.0,436866.0,,aabishkar2_nepse_data,0.7
2014-01-16,SHINE,368.0,375.0,370.0,371.0,,,1235.0,460602.0,,aabishkar2_nepse_data,0.7
2014-01-19,SHINE,371.0,378.0,371.0,371.0,,,605.0,226760.0,,aabishkar2_nepse_data,0.7
2014-01-20,SHINE,371.0,387.0,373.0,380.0,,,3983.0,1502258.0,,aabishkar2_nepse_data,0.7
2014-01-21,SHINE,380.0,397.0,378.0,397.0,,,1937.0,750036.0,,aabishkar2_nepse_data,0.7
2014-01-22,SHINE,397.0,397.0,388.0,388.0,,,889.0,350035.0,,aabishkar2_nepse_data,0.7
2014-01-23,SHINE,388.0,396.0,382.0,382.0,,,938.0,363496.0,,aabishkar2_nepse_data,0.7
