date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2011-05-23,SRBL,134.0,137.0,128.0,129.0,1146.0,150746.0,,aabishkar2_nepse_data,0.7
2011-05-24,SRBL,129.0,133.0,130.0,133.0,319.0,41963.0,,aabishkar2_nepse_data,0.7
2011-05-25,SRBL,133.0,135.0,129.0,133.0,868.0,114890.0,,aabishkar2_nepse_data,0.7
2011-05-26,SRBL,133.0,133.0,131.0,133.0,395.0,52405.0,,aabishkar2_nepse_data,0.7
2011-05-30,SRBL,133.0,137.0,131.0,131.0,1674.0,223608.0,,aabishkar2_nepse_data,0.7
2011-05-31,SRBL,131.0,135.0,128.0,132.0,1532.0,201369.0,,aabishkar2_nepse_data,0.7
2011-06-01,SRBL,132.0,130.0,127.0,127.0,1078.0,138685.0,,aabishkar2_nepse_data,0.7
2011-06-02,SRBL,127.0,127.0,122.0,123.0,2671.0,329323.0,,aabishkar2_nepse_data,0.7
2011-06-05,SRBL,123.0,128.0,123.0,128.0,1366.0,170475.0,,aabishkar2_nepse_data,0.7
2011-06-06,SRBL,128.0,126.0,121.0,121.0,632.0,78095.0,,aabishkar2_nepse_data,0.7
2011-06-07,SRBL,121.0,119.0,114.0,117.0,908.0,105150.0,,aabishkar2_nepse_data,0.7
2011-06-08,SRBL,117.0,120.0,116.0,118.0,1818.0,214528.0,,aabishkar2_nepse_data,0.7
2011-06-09,SRBL,118.0,122.0,116.0,120.0,1754.0,208898.0,,aabishkar2_nepse_data,0.7
2011-06-12,SRBL,120.0,122.0,118.0,119.0,2492.0,297457.0,,aabishkar2_nepse_data,0.7
2011-06-13,SRBL,119.0,124.0,120.0,121.0,823.0,99834.0,,aabishkar2_nepse_data,0.7
2011-06-14,SRBL,121.0,120.0,116.0,116.0,221.0,26052.0,,aabishkar2_nepse_data,0.7
2011-06-15,SRBL,116.0,115.0,112.0,115.0,1241.0,140686.0,,aabishkar2_nepse_data,0.7
2011-06-16,SRBL,115.0,119.0,113.0,119.0,1282.0,148964.0,,aabishkar2_nepse_data,0.7
2011-06-19,SRBL,119.0,127.0,119.0,127.0,1447.0,173019.0,,aabishkar2_nepse_data,0.7
2011-06-20,SRBL,119.0,127.0,119.0,127.0,1447.0,173019.0,,aabishkar2_nepse_data,0.7
2011-06-21,SRBL,139.0,152.0,145.0,152.0,1708.0,259366.0,,aabishkar2_nepse_data,0.7
2011-06-23,SRBL,152.0,167.0,152.0,167.0,4237.0,700517.0,,aabishkar2_nepse_data,0.7
2011-06-26,SRBL,167.0,183.0,156.0,156.0,2701.0,470258.0,,aabishkar2_nepse_data,0.7
2011-06-27,SRBL,156.0,153.0,141.0,141.0,325.0,47297.0,,aabishkar2_nepse_data,0.7
2011-06-29,SRBL,141.0,139.0,127.0,135.0,4078.0,525500.0,,aabishkar2_nepse_data,0.7
2011-06-30,SRBL,135.0,144.0,136.0,142.0,6823.0,959414.0,,aabishkar2_nepse_data,0.7
2011-07-03,SRBL,142.0,142.0,134.0,135.0,1055.0,143483.0,,aabishkar2_nepse_data,0.7
2011-07-04,SRBL,135.0,137.0,135.0,135.0,811.0,110030.0,,aabishkar2_nepse_data,0.7
2011-07-05,SRBL,135.0,139.0,136.0,139.0,347.0,47433.0,,aabishkar2_nepse_data,0.7
2011-07-06,SRBL,139.0,152.0,139.0,152.0,1920.0,281137.0,,aabishkar2_nepse_data,0.7
2011-07-07,SRBL,152.0,156.0,139.0,156.0,1282.0,186740.0,,aabishkar2_nepse_data,0.7
2011-07-10,SRBL,156.0,156.0,147.0,156.0,2114.0,321384.0,,aabishkar2_nepse_data,0.7
2011-07-11,SRBL,156.0,158.0,150.0,153.0,1222.0,190322.0,,aabishkar2_nepse_data,0.7
2011-07-12,SRBL,153.0,162.0,152.0,157.0,1318.0,206896.0,,aabishkar2_nepse_data,0.7
2011-07-13,SRBL,157.0,167.0,160.0,160.0,1401.0,230371.0,,aabishkar2_nepse_data,0.7
2011-07-14,SRBL,160.0,168.0,163.0,163.0,1129.0,187382.0,,aabishkar2_nepse_data,0.7
2011-07-17,SRBL,163.0,169.0,166.0,169.0,50.0,8420.0,,aabishkar2_nepse_data,0.7
2011-07-18,SRBL,169.0,175.0,154.0,157.0,2874.0,487939.0,,aabishkar2_nepse_data,0.7
2011-07-19,SRBL,157.0,165.0,155.0,162.0,887.0,142629.0,,aabishkar2_nepse_data,0.7
2011-07-20,SRBL,162.0,163.0,158.0,162.0,2085.0,334779.0,,aabishkar2_nepse_data,0.7
2011-07-21,SRBL,162.0,174.0,162.0,170.0,2279.0,381058.0,,aabishkar2_nepse_data,0.7
2011-07-24,SRBL,170.0,170.0,157.0,157.0,701.0,116163.0,,aabishkar2_nepse_data,0.7
2011-07-25,SRBL,157.0,155.0,149.0,151.0,808.0,123657.0,,aabishkar2_nepse_data,0.7
2011-07-26,SRBL,151.0,150.0,147.0,150.0,392.0,58546.0,,aabishkar2_nepse_data,0.7
2011-07-27,SRBL,150.0,159.0,150.0,156.0,414.0,63940.0,,aabishkar2_nepse_data,0.7
2011-07-28,SRBL,156.0,161.0,155.0,156.0,1483.0,233005.0,,aabishkar2_nepse_data,0.7
2011-07-31,SRBL,156.0,155.0,150.0,155.0,931.0,142795.0,,aabishkar2_nepse_data,0.7
2011-08-01,SRBL,155.0,152.0,146.0,148.0,1320.0,196224.0,,aabishkar2_nepse_data,0.7
2011-08-02,SRBL,148.0,152.0,146.0,152.0,699.0,103246.0,,aabishkar2_nepse_data,0.7
2011-08-03,SRBL,152.0,154.0,150.0,150.0,696.0,104945.0,,aabishkar2_nepse_data,0.7
2011-08-04,SRBL,150.0,154.0,150.0,152.0,1333.0,201461.0,,aabishkar2_nepse_data,0.7
2011-08-07,SRBL,152.0,149.0,142.0,142.0,3882.0,556258.0,,aabishkar2_nepse_data,0.7
2011-08-08,SRBL,142.0,144.0,143.0,143.0,130.0,18642.0,,aabishkar2_nepse_data,0.7
2011-08-09,SRBL,143.0,143.0,139.0,143.0,1355.0,190756.0,,aabishkar2_nepse_data,0.7
2011-08-10,SRBL,143.0,150.0,144.0,150.0,802.0,118290.0,,aabishkar2_nepse_data,0.7
2011-08-11,SRBL,150.0,150.0,143.0,150.0,1047.0,152627.0,,aabishkar2_nepse_data,0.7
2011-08-15,SRBL,150.0,147.0,140.0,140.0,719.0,102485.0,,aabishkar2_nepse_data,0.7
2011-08-16,SRBL,140.0,146.0,140.0,146.0,1717.0,244579.0,,aabishkar2_nepse_data,0.7
2011-08-17,SRBL,146.0,148.0,145.0,145.0,579.0,84945.0,,aabishkar2_nepse_data,0.7
2011-08-18,SRBL,145.0,147.0,143.0,147.0,717.0,104067.0,,aabishkar2_nepse_data,0.7
2011-08-22,SRBL,147.0,147.0,147.0,147.0,144.0,21168.0,,aabishkar2_nepse_data,0.7
2011-08-23,SRBL,147.0,147.0,144.0,145.0,521.0,75783.0,,aabishkar2_nepse_data,0.7
2011-08-24,SRBL,145.0,145.0,143.0,144.0,1205.0,173805.0,,aabishkar2_nepse_data,0.7
2011-08-25,SRBL,144.0,142.0,140.0,142.0,489.0,69100.0,,aabishkar2_nepse_data,0.7
