date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2021-09-20,ULI,661.0,670.0,624.0,631.0,28614.0,18500577.0,,aabishkar2_nepse_data,0.7
2021-09-21,ULI,630.0,646.0,590.0,624.0,23020.0,14252890.0,,aabishkar2_nepse_data,0.7
2021-09-22,ULI,635.9,650.0,618.0,640.0,15041.0,9573696.0,,aabishkar2_nepse_data,0.7
2021-09-23,ULI,643.0,650.0,620.0,626.0,15154.0,9551448.4,,aabishkar2_nepse_data,0.7
2021-09-26,ULI,614.1,620.0,597.8,600.0,19878.0,12067317.5,,aabishkar2_nepse_data,0.7
2021-09-27,ULI,589.1,601.2,576.3,577.0,18945.0,11156888.0,,aabishkar2_nepse_data,0.7
2021-09-28,ULI,577.0,585.0,559.0,559.0,16435.0,9281451.0,,aabishkar2_nepse_data,0.7
2021-09-29,ULI,549.0,580.0,549.0,572.0,12403.0,6971251.6,,aabishkar2_nepse_data,0.7
2021-09-30,ULI,562.0,592.0,562.0,571.0,14560.0,8402482.0,,aabishkar2_nepse_data,0.7
2021-10-03,ULI,571.0,571.0,553.0,553.3,19512.0,10908902.5,,aabishkar2_nepse_data,0.7
2021-10-04,ULI,543.0,570.0,543.0,552.0,17365.0,9637554.0,,aabishkar2_nepse_data,0.7
2021-10-05,ULI,550.3,574.0,550.3,565.0,8632.0,4876095.9,,aabishkar2_nepse_data,0.7
2021-10-06,ULI,565.0,597.2,565.0,581.0,9179.0,5311918.2,,aabishkar2_nepse_data,0.7
2021-10-10,ULI,581.5,599.8,576.0,588.0,11100.0,6520001.4,,aabishkar2_nepse_data,0.7
2021-10-11,ULI,589.9,589.9,567.2,580.0,5976.0,3442812.5,,aabishkar2_nepse_data,0.7
2021-10-17,ULI,569.7,587.0,569.7,585.0,4000.0,2325807.0,,aabishkar2_nepse_data,0.7
2021-10-18,ULI,580.0,585.0,570.0,577.0,12270.0,7077621.0,,aabishkar2_nepse_data,0.7
2021-10-19,ULI,566.0,574.0,560.0,560.3,11053.0,6267207.5,,aabishkar2_nepse_data,0.7
2021-10-20,ULI,565.0,580.0,565.0,573.9,6445.0,3682293.5,,aabishkar2_nepse_data,0.7
2021-10-21,ULI,563.0,571.0,561.1,570.0,6075.0,3439066.8,,aabishkar2_nepse_data,0.7
2021-10-24,ULI,560.0,570.0,559.1,570.0,7451.0,4207726.2,,aabishkar2_nepse_data,0.7
2021-10-25,ULI,581.0,602.9,563.5,595.0,14869.0,8762859.0,,aabishkar2_nepse_data,0.7
2021-10-26,ULI,595.0,651.0,595.0,640.0,18559.0,11448010.4,,aabishkar2_nepse_data,0.7
