date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2019-07-24,UNHPL,95.0,95.0,94.0,94.0,100.0,9450.0,,aabishkar2_nepse_data,0.7
2019-07-25,UNHPL,90.0,90.0,85.0,85.0,3500.0,298087.0,,aabishkar2_nepse_data,0.7
2019-07-28,UNHPL,84.0,84.0,77.0,78.0,821.0,63698.0,,aabishkar2_nepse_data,0.7
2019-07-29,UNHPL,77.0,78.0,72.0,78.0,1900.0,142260.0,,aabishkar2_nepse_data,0.7
2019-07-30,UNHPL,77.0,77.0,73.0,73.0,3410.0,252320.0,,aabishkar2_nepse_data,0.7
2019-07-31,UNHPL,72.0,72.0,68.0,70.0,3041.0,209518.0,,aabishkar2_nepse_data,0.7
2019-08-01,UNHPL,70.0,72.0,70.0,72.0,600.0,42550.0,,aabishkar2_nepse_data,0.7
2019-08-04,UNHPL,73.0,73.0,71.0,71.0,1120.0,80650.0,,aabishkar2_nepse_data,0.7
2019-08-05,UNHPL,71.0,71.0,68.0,68.0,350.0,24450.0,,aabishkar2_nepse_data,0.7
2019-08-06,UNHPL,68.0,69.0,68.0,68.0,520.0,35510.0,,aabishkar2_nepse_data,0.7
2019-08-07,UNHPL,68.0,69.0,68.0,68.0,200.0,13650.0,,aabishkar2_nepse_data,0.7
2019-08-08,UNHPL,68.0,68.0,68.0,68.0,600.0,40800.0,,aabishkar2_nepse_data,0.7
2019-08-11,UNHPL,67.0,68.0,65.0,67.0,590.0,39440.0,,aabishkar2_nepse_data,0.7
2019-08-12,UNHPL,66.0,66.0,65.0,65.0,860.0,56300.0,,aabishkar2_nepse_data,0.7
2019-08-13,UNHPL,65.0,69.0,65.0,67.0,750.0,50450.0,,aabishkar2_nepse_data,0.7
2019-08-14,UNHPL,67.0,68.0,66.0,66.0,610.0,40910.0,,aabishkar2_nepse_data,0.7
2019-08-15,UNHPL,67.0,67.0,66.0,66.0,570.0,38120.0,,aabishkar2_nepse_data,0.7
2019-08-18,UNHPL,65.0,65.0,64.0,65.0,450.0,29100.0,,aabishkar2_nepse_data,0.7
2019-08-19,UNHPL,66.0,66.0,65.0,65.0,250.0,16300.0,,aabishkar2_nepse_data,0.7
2019-08-20,UNHPL,65.0,65.0,64.0,64.0,500.0,32050.0,,aabishkar2_nepse_data,0.7
2019-08-21,UNHPL,63.0,63.0,62.0,62.0,200.0,12560.0,,aabishkar2_nepse_data,0.7
2019-08-22,UNHPL,61.0,62.0,61.0,62.0,550.0,34050.0,,aabishkar2_nepse_data,0.7
2019-08-25,UNHPL,63.0,63.0,62.0,62.0,150.0,9350.0,,aabishkar2_nepse_data,0.7
2019-08-26,UNHPL,61.0,61.0,58.0,60.0,490.0,28980.0,,aabishkar2_nepse_data,0.7
2019-08-27,UNHPL,61.0,61.0,58.0,58.0,760.0,44870.0,,aabishkar2_nepse_data,0.7
2019-08-28,UNHPL,59.0,59.0,59.0,59.0,300.0,17700.0,,aabishkar2_nepse_data,0.7
2019-08-29,UNHPL,59.0,61.0,59.0,61.0,1440.0,86290.0,,aabishkar2_nepse_data,0.7
2019-09-01,UNHPL,61.0,61.0,60.0,60.0,190.0,11500.0,,aabishkar2_nepse_data,0.7
2019-09-02,UNHPL,60.0,61.0,60.0,60.0,250.0,15050.0,,aabishkar2_nepse_data,0.7
2019-09-03,UNHPL,59.0,62.0,59.0,62.0,400.0,24000.0,,aabishkar2_nepse_data,0.7
2019-09-04,UNHPL,61.0,62.0,60.0,62.0,400.0,24350.0,,aabishkar2_nepse_data,0.7
2019-09-05,UNHPL,61.0,61.0,60.0,60.0,700.0,42400.0,,aabishkar2_nepse_data,0.7
2019-09-08,UNHPL,59.0,59.0,57.0,57.0,400.0,23250.0,,aabishkar2_nepse_data,0.7
2019-09-09,UNHPL,58.0,58.0,54.0,55.0,560.0,31540.0,,aabishkar2_nepse_data,0.7
