date,symbol,open,high,low,close,volume,turnover,transactions,source,source_confidence
2024-01-02,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-02,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-02,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-02,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-03,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-03,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-03,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-03,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-04,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-04,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-04,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-04,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-05,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-05,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-05,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-05,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-08,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-08,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-08,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-08,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-09,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-09,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-09,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-09,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-10,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-10,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-10,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-10,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-11,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-11,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-11,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-11,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-12,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-12,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-12,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-12,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-15,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-15,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-15,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-15,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-16,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-16,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-16,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-16,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-17,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-17,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-17,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-17,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-18,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-18,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-18,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-18,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-19,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-19,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-19,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-19,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-22,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-22,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-22,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-22,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-23,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-23,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-23,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-23,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-24,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-24,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-24,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-24,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-25,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-25,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-25,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-25,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-26,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-26,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-26,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-26,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-29,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-29,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-29,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
2024-01-29,TRH,103.0,108.0,98.0,105.0,146403,7496403,,,
2024-01-30,HBL,136.0,141.0,131.0,138.0,83636,9733636,,,
2024-01-30,ICICIHFC,125.0,130.0,120.0,127.0,97625,8147625,,,
2024-01-30,NABIL,104.0,109.0,99.0,106.0,125954,7375954,,,
